page 1	我空軍昨飛台灣炸敵。
page 7	敵機
page 7	四十六架
page 7	鐵路
page 7	廣三客車
page 7	廣州
page 7	警報
page 7	時間
page 7	八小時
page 7	桂省府
page 7	倉庫
page 7	桂梧
page 7	農本局
page 7	運銷倉庫
page 7	木炭風潮
page 7	社會局
page 7	經濟
page 7	要求
page 7	交易
page 7	平常
page 7	賴斗岩
page 7	抵汕
page 7	衛生
page 7	日間
page 7	經潮
page 7	返梅
page 7	商店
page 7	百分之三八
page 7	營稅額
page 7	百三十萬
page 7	官商
page 7	問題
page 7	意見
page 7	中央農業試騐所
page 7	柳邕
page 7	農村試辦區
page 7	沙塘
page 7	柳辦事處
page 7	教廳
page 7	學校
page 7	辦法
page 7	中小學
page 7	潮梅米荒
page 7	軍政商
page 7	米銳
page 7	陳煥章
page 7	五區專署
page 7	汕米商
page 7	救亡工作
page 7	廣州潮汕靑年
page 7	自衛團
page 7	兵役
page 7	滬戰地服務團
page 7	回鄉工作隊
page 7	社會局
page 7	教員
page 7	街坊
page 7	學校
page 7	民食
page 7	粮食
page 7	戰時
page 7	省政府
page 7	十六架
page 7	曲江
page 7	我高射機槍
page 7	殘骸
page 7	花縣
page 7	中山
page 7	番禺
page 7	肇慶
page 7	順德
page 7	東江
page 7	惠陽
page 7	海面
page 7	漁船
page 7	敵艇
page 7	惠州
page 7	穀米
page 7	價格
page 7	敵兵
page 9	潮汕米荒
page 9	當局
page 9	救濟
page 9	潮民
page 9	絕食
page 9	五區專署
page 9	汕米商
page 9	米稅
page 9	聯合
page 9	汕市
page 9	日艦
page 9	英輪
page 9	港府
page 9	日本
page 9	船主基理亞
page 10	痘症
page 10	五十日
page 10	八百宗
page 10	死亡
page 10	四百餘人
page 10	敵艦
page 10	省港輪
page 10	行動
page 10	西安輪
page 10	四五四號
page 10	華探陳眞
page 10	高級法庭
page 10	佛山輪
page 10	男嬰
page 10	會議
page 10	老叟
page 10	印警
page 10	同侶
page 10	北河街刼案
page 10	馬海元
page 10	港督
page 10	仁慈會
page 11	輔政司署
page 11	燈火管制之五點
page 11	居民
page 11	警察
page 11	汽車
page 11	燈光
page 11	法例
page 11	洛克道
page 11	景生洋貨店
page 11	英探斑利
page 11	長沙灣
page 11	老虎
page 11	汎美機
page 11	香港
page 11	學界
page 11	雨具
page 11	學生
page 11	家屬
page 11	澳門
page 11	華商籌賑會
page 11	大坑籌賑會
page 11	中華醫學會
page 11	知行學生會
page 11	象棋
page 11	中醫救護隊
page 11	日人
page 11	漁業
page 11	港漁協會
page 11	漁民
page 11	港府
page 11	外人
page 11	領海
page 11	捕魚
page 12	許承基
page 12	網球
page 12	哥靈登
page 12	文員
page 12	港聯
page 12	最後勝利盃籌賑賽
page 12	友誼籃球賽
page 12	記者
page 12	仿林
page 12	木球友誼賽
page 12	木球會
page 12	足球
