page 1	敵總攻失敗死傷近萬。
page 9	富街
page 9	居民
page 9	業主
page 9	水費
page 9	政府
page 9	華代表
page 9	籌賑
page 9	物品
page 9	廣州灣
page 9	漁船
page 9	海口
page 9	住客
page 9	旅行
page 9	會議
page 9	跑馬地
page 9	飛天屎塔
page 9	竊匪
page 9	幹探
page 9	劉枝
page 9	漁民
page 9	遇難
page 9	調查團
page 9	下週
page 9	研究
page 9	侵畧
page 10	周壽臣
page 10	爵紳
page 10	救國
page 10	公債
page 10	推銷
page 10	香港
page 10	學生
page 10	賑濟會
page 10	組織
page 10	立法局
page 10	今日
page 10	會議
page 10	明年
page 10	政費
page 10	議員
page 10	沙甸魚
page 10	母子
page 10	中毒
page 11	巴士
page 11	乘客
page 11	旺角
page 11	彌敦道上
page 11	跳車
page 11	後輪
page 11	頭部
page 11	名片
page 11	墨水筆
page 11	曾少初
page 11	余漢雲
page 11	名字
page 11	香島
page 11	居民
page 11	每人
page 11	卅九
page 11	加倫四
page 11	銀禧
page 11	大潭
page 11	水塘
page 11	菲島
page 11	東南
page 11	颶風
page 11	肺病
page 11	中國之轉機
page 11	何永佶
page 11	博士
page 11	今晚
page 11	播音台
page 11	演講
page 11	新界
page 11	湧浪灣
page 11	海面
page 11	孤舟
page 11	槍劍
page 11	械刦
page 11	各匪
page 11	銀物
page 11	鷄鴨
page 11	新海門輪
page 11	富拉
page 11	昨日
page 11	陪審員
page 11	經濟
page 11	代督
page 11	夫人
page 11	臥病
page 11	醫院
page 11	本港
page 11	防軍
page 11	司令
page 11	薛史美
page 12	學界籃球
page 12	保羅
page 12	英皇
page 12	西南
page 12	帕拉刺
page 12	渡海泳
page 12	知潮
page 12	麥偉
page 12	南華會
page 12	足球賽
