page 1	滬敵軍擬分三路攻我。
page 7	陸豐
page 7	竹陂鄉
page 7	暴風雨
page 7	二百
page 7	男女
page 7	四十
page 7	番禺
page 7	新運會
page 7	工作
page 7	新洲
page 7	鄉民
page 7	水雷廠
page 7	六彈
page 7	鄉人
page 7	二百名
page 7	機槍
page 7	牧童
page 7	從化
page 7	貨船
page 7	一日
page 7	三次
page 9	香港仔
page 9	大舖
page 9	票廠
page 9	朱香
page 9	偵探
page 9	星夜
page 9	大帮
page 9	械器
page 9	印件
page 9	拘捕
page 9	四人
page 9	深圳
page 9	港方
page 9	工塲
page 9	國慶
page 9	紀念
page 9	前夕
page 9	闔港
page 9	僑胞
page 9	慶祝
page 9	華代表
page 9	外賓
page 9	學生
page 9	救國
page 9	全港
page 9	婦女
page 9	明晨
page 9	名媛
page 9	跳舞
page 9	籌欵
page 9	大會
page 9	明晚
page 9	八時
page 9	兩團體
page 9	賣花
page 9	中國
page 9	卡爾打
page 9	小姐
page 9	訪問記
page 9	麻雀
page 9	我們
page 9	英烈杜
page 9	上將
page 9	日間
page 9	抵港
page 9	拿運
page 9	輸艦
page 9	軍官
page 9	本港
page 9	海軍
page 9	當局
page 9	敵艦
page 9	英輪
page 9	報告
page 9	于斌
page 9	主教
page 9	昨日
page 9	飛意
page 9	公債
page 9	澳分會
page 9	明日
page 9	星期一
page 9	公衆
page 9	假期
page 9	郵局
page 9	銀行
page 9	港府
page 9	機關
page 9	休假
page 9	工人
page 9	捐欵
page 9	賑災
page 9	本報
page 10	婦女兵
page 10	灾籌
page 10	賑會
page 10	游藝
page 10	演劇
page 10	籌欵
page 10	大坑村
page 10	今日
page 10	舞火龍
page 10	女靑年會
page 10	棉衣
page 10	通菜街
page 10	下毒疑案
page 10	男女
page 10	昨晨
page 10	彭司
page 10	澳門
page 10	商會
page 10	明日
page 10	開會
page 10	祝國慶
page 10	經費
page 10	英艦
page 10	官員
page 10	抵港
page 10	重九
page 10	登高
page 10	山頂
page 10	纜車
page 10	快車
page 10	山下
page 10	航政署
page 10	佈告
page 10	破船
page 10	汽車
page 10	司機
page 10	關金伸
page 10	廖維新
page 10	家庭
page 10	算法
page 11	敵艦
page 11	封鎖
page 11	香港
page 11	海岸
page 11	本港
page 11	粮食
page 11	菜蔬
page 11	四分一
page 11	生猪
page 11	每月
page 11	四千頭
page 11	漁船
page 11	出海
page 11	漁協會
page 11	港府
page 11	保護
page 11	代表
page 11	華民
page 11	政務司
page 11	福生輪
page 11	日本
page 11	橋胞
page 11	三百
page 11	漢口
page 11	鯉魚門
page 11	砲台
page 11	砲兵
page 11	今日
page 11	上午
page 11	救濟會
page 11	年會
page 12	杯足球賽
page 12	出馬
page 12	施福
page 12	西警外師
page 12	陳汝正
page 12	朱珍眞
page 12	籃球
page 12	學界籃球賽
page 12	西南
page 12	英皇
page 12	振成乒乓隊
page 12	協會
page 12	女子隊
