page 1	敵機昨五襲粵三犯京。
page 11	赴澳
page 11	美艦
page 11	廣九尾車
page 11	昨晚
page 11	大廉巴輪
page 11	焗傷工
page 11	電車
page 11	汽車
page 11	本港
page 11	廣州
page 11	單車
page 11	清道伕
page 11	霍亂症
page 11	甘益街
page 11	疑犯
page 11	西人
page 11	螺絲釘
page 12	省港澳埠際
page 12	乒乓籌賑賽
