page 1	日本究將如何
page 3	駐華英大使定期南下大使夫人同行
page 3	西政府軍奪回班尼卡魯
page 3	粵被炸區續掘出屍體卅二具
page 3	美紅十字會濟我難民昨匯到十萬金元
page 3	三抗戰中的南昌
page 3	德顧問對我抗戰前途樂觀我長期戰爭力勝於日新訓練成功準備赴前線華軍有三十一師我全國統一各軍亦能化除省界互相聯絡
page 5	悽涼景況
page 5	抗戰期間圖書雜誌審查取締辦法審查會昨擬定呈准公佈施行
page 5	外領救災
page 5	河南情形
page 5	碼頭擠擁
page 5	防空補救
page 5	五路軍辦事處接電嶧縣敵軍全部待殲
page 5	給證辦法
page 5	取締條例
page 5	財政部在漢舉行整理廣西稅收會議商討各項進行現經閉幕黃鍾岳等會畢返桂覆命
page 5	財部令粵解釋禁鈔出口辦法
page 5	粵海敵艦蹤跡
page 5	拱北關通利輪被敵炸沉之續訊關員五人受槍擊微傷有一華員尚未知下落
page 5	敵機昨仍圖衝進市區被我高射砲隊擊退粵路各地均有投彈
page 5	廣州日報公會因停工事呈各機關文
page 5	廣州行商請改善轉口稅腐竹公會致市會函
page 5	敵機狂炸市區後之面面觀
page 6	統一根絕仇貨計劃
page 6	省市黨部增中意見
page 6	市商亦開緊急會議
page 6	粵女聯會組戰時童保會
page 6	菲記者團抵省
page 6	民廳擬訂各縣征自治戶捐辦法昨通令各縣遵行
page 6	粵省本年續辦蔗貸昨訊收蔗價之規定
page 6	余漢謀撫卹殉職空軍家屬
page 6	敵機連日犯各縣慘狀機槍掃射中山庶場工人英德投彈十五枚斃多人
page 6	新會縣府實施民眾補習教育
page 6	台山
page 6	新會
page 6	日艦駛近大嶼山之西南
page 6	中山召開公務員大會討論充實抗戰力量等問題
page 6	中山各島漁民組自衛團派代表到省請求機宜
page 6	新會十區梁黃兩鄉械鬥捕魚起禍
page 6	大火燒屋廿間
page 6	江門統制伕力
page 6	廣東全省動員委會嚴行根絕仇貨之計劃省市黨部增加意見市商會亦討論辦法現存仇貨集中設場清售以後發覺存貯決行嚴懲肅清仇貨兼顧商人血本
page 7	上海郵件經港運漢
page 7	二次爆炸一人暈倒
page 7	警察研究爆炸原因
page 7	執獲鐵殼有硫磺味
page 7	滬郵運　頓生問題
page 7	發現石腦油精數罐
page 7	疑奸人謀炸某要人
page 7	中航公司檢查郵件
page 7	蒲嶺海盜截劫貨艇財物劫掠一空刺傷榜人一名
page 7	兒保會將成立
page 7	習藝所設夜班
page 7	Ｘ戰區游擊隊
page 7	冀察游擊隊函
page 7	慰勞英勇空軍
page 7	搜獲大宗私煙
page 7	風災難民請東院發賑款
page 7	滬航空郵件藏易燃烈劑郵政局包裹二次爆炸事後發現毒針膠喉鐵殼硫磺氣味或疑奸人謀炸乘機飛漢之某要人
page 8	本年度賽馬第三次特別賽馬之第三日士吐列芙萊又創新紀錄中連　彩者達七十九票
page 8	調查屋租委會報告書六
page 8	法使由越返港
page 8	上水西人別墅被竊大宗珍飾
page 8	旭和杯決賽球迷額首稱慶南華會初奪錦標昨以七比零之數大敗英海軍海軍隊球藝不如情一面倒
page 8	少年墮樓慘死屍體　人認領
page 8	荷女泳家破世界紀錄一項
page 8	今明網球秩序明日小徐再戰小林珍
page 8	今夕籃球義賽中國隊戰鍾聲
page 8	昨宵普籃賽僅得兩場舉行甲組港大棄權
page 8	由七七戰事發生迄今敵砲燬港漁船四百艘死傷約二千人損失財產約百萬元漁協會將呈請港府保障生命財產
page 10	嫌貌醜竟自殺
page 10	書家陳礪齊到港
page 10	華人會徵求結果
page 10	英兵今日操炮
page 10	荷輪血案押候
page 10	三人食魚中毒
page 10	督憲夫人將返港
page 10	港英間帝航機上週實行新時間表修咸頓起飛經曼谷五日半抵港當局尚謀調飛船飛港曼一線
page 11	被炸毀了的黃河鐵橋
page 11	黃河邊岸的三日
page 11	平漢車上組織組發
page 11	皖北前線視察記
