page 1	平沼組閣之觀測
page 6	又一篇孤軍抗戰史大塘厚德壘之五壯士高樹蔭國旗扯起吊橋作殊死戰
page 7	本港海陸防務鞏固
page 7	防空演習三月舉行
page 7	陸軍舉行實彈操演
page 7	空軍試演實彈轟炸
page 7	史提露談防空工作
page 7	徵集人員分別編練
page 7	中國婦女會主席李樹培夫人明日南渡聯絡海外女同胞努力抗戰工作
page 7	臨別贈言
page 7	兩點意見
page 7	當前急務
page 7	英賑難會募捐委會辦事細則已修正通過劃分五組辦事舉定工作人員
page 7	辦事細則
page 7	各組人選
page 7	Ｘ艦又劫漁船被掠去銀物五六百元
page 7	廣九路員工防範漢奸活動
page 7	防空專員史提露談三月初舉行防空演習防空會加緊訓練各種防空人員新式警報機廿具下月可運抵港
page 8	因揭單文詞含糊發生訴訟糾紛
page 8	揭單原文
page 8	控訴理由
page 8	教授解釋
page 8	金銀貿易場響應一元還債運動電燈公司華職員努力捐輸
page 8	本年春季學生畢業會考不舉行
page 8	香港大學售旗
page 8	舊式結婚
page 8	報告事項
page 8	游擊司令函謝婦慰勞會
page 8	賬聯會昨會議決撥五千元救濟禺北
page 8	少婦與女服毒自殺案昨日審訊完結將案詳臬定讞
page 8	從無閒言
page 8	憤而離家
page 8	鄺光銀今飛美
page 8	討論事項
page 8	贖回耳環
page 8	番禺籌賑會昨開二次會議
page 8	九龍醫院
page 8	清遠同鄉積極進行籌振
page 8	汝南別墅追悼袁敬義
page 8	振成商學院消息
page 8	新　勒馬洲難民寮發生流血慘劇難民黃忠夫婦夜被兇徒槍擊黃婦中槍斃命黃與其子重傷
page 10	建設的意義
page 10	建設的內容
page 10	西陵峽中一險鎮三斗坪
page 10	餘毒不清　無愈時
page 10	論抗戰建國中的建設事業
page 11	香港學界體育會首次常務會議決要案
page 11	滬國際救濟會邀球王赴滬作義賽
page 11	校際乒乓賽下週開始
page 11	記者伶星足球義賽游藝大會改期十四日在加路連山舉行
