page 1	地中海霸權與遠東問題
page 3	日海軍各將領雲集東京將舉行晉級會議今日入宮參見日皇伺候詔命晉陞日海軍經此會議後勢必加倍擴大
page 3	伊勒政變英　特殊注意已向伊勒提警告
page 3	美國海員請各同業援助
page 3	意國首腦有將赴匈京說
page 3	重光葵昨日赴俄就任
page 3	首都鐵路輪渡歷年營業極佳所借英庚款之借款年底即可全部償清
page 4	胡耀東口供
page 4	精武排球隊致大會函
page 4	高級學界籃球賽皇仁擊敗中南今日港九各有一場舉行
page 4	香島小足球隊明日赴大埔比賽
page 4	英京銀價仍報漲
page 4	英美匯兌昨趨縮
page 4	港市外匯仍報堅
page 4	省法幣市價略降
page 4	八九金價昨趨跌
page 4	滬外匯市情趨堅
page 4	昨日廣州西紙市
page 4	各行股票之市情
page 4	精武會讓德可風自願棄權排球糾紛圓滿解決昨晚聚會委員人數不足改開談話會決定由比賽會函保羅隊仍派隊參戰
page 5	整理粵金融中財部令將汕商庫證收回明年一月杪即須結束
page 5	潮汕工界國選初選之糾紛
page 5	廣州釀酒業反對抽查商店資額之理由昨函覆市商會向當局陳請
page 5	路局定保安辦法
page 5	裁減中學班額撥充小學教育費
page 5	中央派員整理桂省鹽務
page 5	汕商請飭農稅局停止勒追欠繳稅款
page 5	各行政專員兼任行營軍法官
page 5	保安隊計劃編組中鄒洪之施行徵兵制談保安隊編制未實施前現有警隊祇改易名稱
page 6	米價飛漲之驚人原因有三貧民叫苦晚穀上市可望救濟
page 6	米店營業近情
page 6	旬日後或回跌
page 6	建廳調查米價
page 6	海校改隸訪問記江防司令部改隸後該校當然改隸海軍部已派定李某來粵商討接收辦法但江防部要員稱則謂海校改隸未有所聞
page 6	孫科返省赴桂訊
page 6	馮司令焯勳將出巡海南島
page 6	酒樓勞資爭佣中工人訴陳被壓迫痛苦酒樓工會分呈當道呼籲
page 6	廣東財政廳昨指令各營業稅局云查酒餅牌照稅一項為數不多且部章未有規定征收
page 6	粵海關稅務司李度
page 6	段祺瑞在滬逝世後
page 6	水利局長楊華日
page 6	黃濤昨由汕飛閩主持剿匪軍務
page 6	市商會請財部考慮港製商品減稅問題
page 7	港九各界歡迎會
page 7	曾氏答詞
page 7	高呼萬歲
page 7	中華各界歡迎會
page 7	參加團體
page 7	致歡迎詞
page 7	獻紀念品
page 7	羅旭和等歡宴會
page 7	羅氏致詞
page 7	黃氏演詞
page 7	致開會詞
page 7	參加人物
page 7	華商總會歡迎會
page 7	曾氏演詞
page 7	香港九龍各界歡迎會
page 7	黃慕松曾養甫抵港之第二日各團體舉行盛大歡迎會黃氏勗勉僑胞為國家民族努力曾氏闡述省港兩地之經濟關係
page 8	中西要人蒞場歡迎
page 8	戴恩基氏亦乘機來
page 8	黃氏演詞
page 8	三持一刻飛赴廣州
page 8	客票郵費價目訂定
page 8	崇正總會歡迎會
page 8	西商總會歡宴會
page 8	香港繁榮
page 8	穩定幣制
page 8	黃氏演辭
page 8	曾氏演詞
page 8	經濟建設
page 8	通貨管理
page 8	苛捐雜稅
page 8	何氏致謝
page 8	黃曾定今日返省
page 8	深水埔街市昨發生命案肉檯老板被刺斃命警察捕獲疑兇一名
page 8	借鋸起禍
page 8	揮刀行兇
page 8	歐戰和平紀今日華人紀念碑前行禮秩序
page 8	明春天氣奇寒為十年未所僅見
page 8	返魂無術
page 8	中航機昨正式飛港由滬載來遊客六人停留半小時即飛粵
page 10	中毒暴斃之研究
page 10	童軍野火游藝會明日在木球場舉行
page 10	控夫遺棄案初審
page 10	大道西汽車傷人
page 10	彌敦道劫案續審
page 10	美　遠東艦隊總司令恩彌路昨晨率八艦抵港停留一星期即轉赴星洲遊覽法遠東艦隊司令今日亦到港
page 11	召開會議
page 11	保護鐵路
page 11	防匪混入
page 11	匪徒投毒謀財害命
page 11	解決紀中學潮孫科令釋被捕學生
page 11	古勞警隊擊退賊船
page 11	小童守屋慘被焚斃
page 11	石岐白鶴派表演會
page 11	會城分局捕獲案匪
page 11	航局設江門辦事處
page 11	汕屈蛇案糾紛近訊蘇子賢發表辦理經過旅業會將有意見發表
page 11	九江五小學生罷課
page 11	長沙拘煙民百餘人
page 11	更調大批重要職員
page 11	如是我聞四齡幼童殺虎滾粥兩瓢虎負痛再經毒毆即斃命
page 11	大瀝火警燒斃四命
page 11	潮汕舉辦冬防之會議
page 14	因憂傷國事舊病復發段祺瑞逝世定五日下午大殮暫厝滬寓親友已組治喪處擇期安葬
page 14	國際青年和平大會表現反法西斯及反戰精神各宗教團體代表贊成與共產青年合作大會議決設國際委員會明年在美召開第二次大會號召國聯共起解決青年政治經濟諸問題召集太平洋青年論太平洋和平
page 14	卅五國均有派代表參加
page 14	我代表五海鏡斥日行
page 14	五日大殮
page 14	段氏略歷
page 14	起病經過
page 14	家屬在滬
page 14	英法美均宣稱保障和平
page 14	華北局勢忽轉緊張關東華北兩軍部有新決定將藉太原和中事件起波瀾
page 15	蔣委員長之故鄉
page 15	風俗淳厚之奉化
page 15	歷史上之光榮
page 15	壯美之山水
page 15	翠亨第二之溪口
page 15	樸素之偉人宅
page 15	武嶺學校
page 15	妙高臺
page 15	示威日並爭青年之權利
page 15	足跡遍寰宇之兩報人到滬希爾仙贊美首都建設賴斯穆仙曾謁蔣委長
page 15	再能聚首
page 15	軼事甚多
page 15	初在巴黎
page 15	觀戰五月
page 15	寓居內蒙
page 15	基督教與共產青年合作
