page 1	德國對遠東的外交攻勢
page 5	中大法學院遷往湘南開課
page 5	附日軍兵額缺乏日圖在中山抽壯丁補充在前山開所謂聯防會議限令各鄉報告壯丁實數各鄉壯丁急欲逃避出外三埠澳門交通暫無阻礙
page 6	擬定疏散辦法
page 6	集中工作人員
page 6	驛運處趕運米鹽互銷曲岐線運伕絡繹於道龍沙線下月亦可開始
page 6	中行籌設東江各辦事處
page 6	惠陽成立難民運配總站張子廉充站主任
page 6	粵省各縣徵募寒衣成績
page 6	粵衛生處擴收傷病士兵補助醫院次第成立
page 6	粵在非常時期公務員任用標準業經省務會議通過俟政院核准即施行
page 6	西江下游我日砲戰河清紅樓日拆砲壘
page 6	東江各縣招待馬來亞歸僑
page 6	廣佛電船險遭匪劫
page 6	潮屬禁煙狀況
page 6	粵組土地陳報處日隸省府掌理土地陳報事宜各縣區鄉亦將分設陳報機構
page 6	避免突襲損失台山各墟市強制疏散日機又炸台城市郊及湯湖鄉台城三埠民眾大部　散各鄉
page 7	連日狂炸沙魚涌線
page 7	昨晨突在壩頭登陸
page 7	稅關人員暫時撤退
page 7	慰勞團隊出發被阻
page 7	淡水商人逃避一空
page 7	日軍故意虛張聲勢
page 7	石塘嘴日富街一棉花店被焚發覺尚早示殃及鄰戶華物損失約值六百元
page 7	火勢猛烈
page 7	狼狽逃
page 7	交通斷絕
page 7	保衛團本年底可成立
page 7	露救會宿舍定期開放該會擬再借用維多利監獄
page 7	假冒舞票案續獲疑犯兩人
page 7	日軍砲擊鶴山死傷鄉民逾百
page 7	壩頭登陸日軍昨日下午侵入葵涌日兵力薄弱我團隊在奮勇抵抗中我政府機關為慎重計暫撤入英界
page 8	移民局設東區辦事處利便該區居民領證今日或可開始辦公
page 8	港越貨運間接維持越莊營業不　完全停頓
page 8	倫敦寄港郵件兩個月始收到空　牽　月餘
page 8	臬司警告報界新聞命題務須謹慎
page 8	警方查究油船被焚原因
page 8	私娼大鬧餐室
page 8	郵差串竊空郵案續審次被告朱專英病重獲釋首被告已認私藏郵件罪
page 8	海陸發生劫案三宗湃亞士灣海盜騎劫貨艇警輪聞耗追捕獲三疑犯
page 8	新界尚有難民四千餐風宿露為狀極苦中賑會將設法救濟
page 8	農戶被劫
page 8	水客遇盜
page 8	更練被控行劫勒索高級法庭昨日提審
page 8	砵崙街偽幣案三疑犯昨提審
page 8	市民營養不足玉蜀黍疹流行九個月內死二百餘人肺癆症則較去年略減
page 8	謀殺疑案判決苦力陳大頭獲釋
page 8	文化講座開課學員超過定額十餘人
page 8	警探搜捕三合會黨羽卅間附近歹徒聞風走避一空連搜四屋疑犯兩人被拘訊辦
page 10	記者公會主辦女子體育表演今夕在　身室舉行秩序豐富熱鬧可期
page 10	甚麼是雌雄劍客女子體育表演裡的一個節目
page 10	兩幕女子籃球比賽仿林對南華西南戰南洋
page 10	青支會舉行單車旅行沙田　校　兵定　　截報名
page 10	六團體昨函覆體協會但　　表示態度及條件協會商　決定辦法
page 10	昨日學籃兩場培英保羅告捷今日共有四戰
