page 1	兒童幸福會之先決問題
page 3	謝彬遺骸葬武昌卓刀泉武漢各界昨舉行公祭
page 3	漳綏署限期完成全省公路
page 3	水利委員會昨開四次大會議決要案八項
page 3	潘毓桂辭滄石路局長
page 3	江南京滬兩鐵路辦理水陸聯運與招商局商定合同
page 3	漢泊日艦三艘
page 3	中央昨開常會商辦會交下各案
page 3	兩兒童會定期月抵舉行
page 3	羅捷商建鐵路
page 3	海峽會議通過蘇俄提案
page 3	馬爾他島軍備英國決不放棄
page 3	里比亞意軍已有一批撤回地中海英艦可再減
page 3	日增華北駐軍議員質問艾登
page 3	各國撤銷對意制裁墨索里尼誇張勝利竟認各國高懸白旂向意降服
page 3	洛約國會議德意已允參加但須法國改變態度
page 3	德國發行公債國人踴躍認購
page 3	西國黨爭劇烈
page 3	英國引用梯形條約保留舊艦四艘
page 3	英皇出行遇險暴客一人被捕
page 3	尼加拉瓜說明退盟理由
page 3	北平礦業會社舉行股東年會主席報告遊華觀感
page 5	陳李就聯軍總司令後粵桂兩省之備戰佈置粵決分兩路備戰已推定總指揮必要時桂軍可全部調粵由民團防守地方連日軍運之情形
page 5	東路方面佈防情形
page 5	戰機即發之廣州金融與市面動態港申紙漲風仍盛各江輪渡與港澳輪船情形市面雖戒嚴地方安靖
page 5	輪渡情形
page 5	港紙絕市
page 5	物價騰貴
page 5	陳李昨就抗日聯軍職政務會派劉蘆隱監誓
page 5	市面安靖
page 5	銅仙高漲
page 5	銅鼓帽改塗藍綠色
page 5	軍界要人昨日來省
page 5	組衝鋒隊出發北路軍隊運輸舟車忙碌
page 5	李漢魂鄧龍光電促陳濟常入京
page 5	今之俞跗
page 6	大可注意日華南攷察團接踵而來台南州教育視察團抵汕記
page 6	艦隊司令部增派兵艦巡西江
page 6	西南開非常會議擬由八一至五日
page 6	外匯高漲中土制煤油略有機會
page 6	高法院改良監獄之新定計劃
page 6	湘穀米出口護照費已撤銷糧食會請款購湘米
page 6	組抗日宣傳委員會
page 6	省自治訓練所提前畢業
page 6	河南各鄉警隊不准抽收護費
page 6	廣九快車加速率昨日開始
page 6	限各輪依時入塢
page 6	桂林發行銅元券
page 6	柴艇無故被焚傳艇主到案訊究
page 6	晉源街火焚兩舖
page 6	防空展覽會將再展期將開幕
page 6	財廳令知修正懲治貪官條文
page 6	新會葵扇工商請撤葵扇出口捐原文
page 6	八和戲劇工會召開會員大會謀救班業與失業伶工
page 6	兩粵金融合作之進行雙方簽訂合約後即實現法幣會討論白銀運港事桂幣昨在粵市流通狀況
page 7	港空軍加緊練習黑夜裡機聲嗡嗡
page 7	機場設備
page 7	練習項目
page 7	航空專家主張在澳洲設製機廠準備應付太平洋上立體戰爭
page 7	西環海面燈塔電池爆炸傷斃三人死者為修理燈塔西技師兩傷者均為船政署水手
page 7	陳濟棠家眷來港男女共約三十人
page 7	張九娘以兇手殞命為可惜謂不能與之對質無從自白
page 7	粵桂新法幣百餘箱今日到港
page 7	南洋商業考察團昨已由滬乘輪南下
page 7	電池爆炸
page 7	一死兩傷
page 7	市民紛紛來港
page 7	粵法幣再跌價
page 7	兩艦昨仍留港
page 7	鄧龍光將北上
page 7	內戰恐怖中港方之種種消息鄧龍光日間離港北上兩魚雷艦仍留港候命
page 7	林翼中張任民昨來港啣陳李命請蕭返粵攜有陳濟棠親筆函一通即晚已返省蕭氏未同行
page 8	發生地點
page 8	積欠租金
page 8	持剪行兇
page 8	干諾道中昨午發生大打架兩人重傷拘獲疑犯多名
page 8	九龍關佈告撤消對意經濟制裁意國貨物將又充斥本港我國產品不免受其影響
page 8	出席委員
page 8	繁榮會昨日常會補選李志公為常委
page 8	兇手就擒
page 8	常會改期
page 8	商民會議
page 8	補選常委
page 8	復煙業社
page 8	意港貿易
page 8	買賣嬰孩案複審次三兩被告改判罰款
page 8	一幕貧苦階級的悲劇包租人全家喋血窮髮匠無力納租行兇持利剪刺傷四人被擒
page 10	車輛失事之統計
page 10	行兇案三宗提審一宗判決兩宗押候
page 10	火車客跳車重傷
page 10	購緝刺程案兇犯
page 10	丈夫失蹤六年婦人准承受產業
page 10	捐助救傷隊者題名
page 10	私藏手槍兩人被拘
page 10	華南各地聯青社將在港開代表大會
page 11	成立農林業促進會
page 11	截搜私煙乘機搶摸
page 11	九江戒嚴防匪續誌
page 11	新會東北區農村寫雜四
page 11	西江鴉雀沙河道之疏濬計劃
page 11	狂風吹塌劇台損傷
page 11	石灣歹徒冒官封船
page 11	台山被據脫險者述山匪截據樵人情形
page 11	都省成興火輪沉沒
page 11	葵扇工商懇撤扇捐
page 11	鄉間猛虎為患近誌
page 11	台山參議會請免征停租舖宅警費
page 14	國防前線之舊都日坦克車在大遊行並在蘆溝橋等處作同樣示威演習區已越出辛丑條約範圍
page 14	當關小駐交通為之擁塞
page 14	車轍所過道路多被壓毀
page 14	氣勢　　日兵阻止攝影
page 14	所謂中日經濟提攜所包含之嚴重性表面提攜為名實際作用為侵略是併吞整個華北的最狼毒計劃
page 14	鐵路問題
page 14	援助農村
page 14	浙省邊境殘餘匪眾復活開化縣城一度被攻陷邊區放賑亦感覺困難軍事當局分區派隊追剿
page 14	經濟外交
page 14	開發礦產
page 14	鐵騎所至及於平漢線上
page 14	日聯合艦隊七十二艘將到廈將校士兵共六萬人日艦在台廈汕間不斷演習
page 15	來杭避暑暢遊湖山
page 15	防空演習劣馬受驚
page 15	萬里梯航一天風雨赴伯力日蝕觀測隊失敗而歸李珩氏返青之談話
page 15	所用儀器
page 15	後腦骨碎回生乏術
page 15	蔣氏小史及其著述
page 15	王克敏到平過津時與關係方面有商談在平晤中日要人即將南旋
page 15	山色先變
page 15	我國政府
page 15	廣州大學教授蔣徑三在杭墜馬傷重殞命粵校放假赴杭避暑遭不幸著述頗富身後蕭條堪悲悼
