page 1	共同防共與共同防廠
page 5	黃曾回拜港督同行之人員
page 5	各行商昨在市商會討論改變國粵幣比率
page 5	廣九路整車貨物負責運輸昨開始
page 5	勒索影畫院不遂放蛇中傷被捕
page 5	社會局舉辦登記師資與攷試
page 5	黃鄒就職及其談話余漢謀代表中央監誓
page 5	行禮情形
page 5	余氏訓詞
page 5	司令答詞
page 5	鄒洪譚話
page 5	九龍居民遷移巡查交涉情形訪問記此案將在南京解決
page 6	中大校與意政府交換教授本月可到
page 6	公務員薪所得稅折合國幣徵收不足卅元　免
page 6	市禁煙會進行設立售吸所
page 6	河南石頭村掘獲藏鏹之糾紛該　填塘建校掘獲藏鏹日積月累金屑積
page 6	金鈕兩幫辦昨午視察廣九路
page 6	戲審會查木魚書
page 6	昨二日上午八時各機關團體假座中山紀念堂
page 6	財政部前據各省商會請求將國內手工製造土紙
page 6	日前報載　福林任廣州行營參議查實非李氏本人乃其介弟李芬云
page 6	　西綏靖主任李宗仁派徐文明為綏署駐京辦事處主任去月杪由桂動程
page 6	江防司令馮焯勳昨二日已到江防司令部接案卷已接收完竣
page 6	葉夏聲莫培先黎慶恩等
page 6	黃埔各鄉之冬防
page 6	粵省民食近狀昨滬市已無米運粵各地米價仍高貧民叫苦連天
page 7	孫科昨過港返中山王寵惠今日乘輪北返
page 7	國大初選之結果今日可公佈
page 7	各界籌備
page 7	羅旭和談
page 7	黃曾復函
page 7	澳門豬肉行昨日突停屠因當地政府加抽屠宰牌費
page 7	蔣介石電謝何東
page 7	利杭輪機壞折回
page 7	大選揭曉後要訊
page 7	第二次優生演講明晚舉行祇許女界到聽
page 7	警探搜樓拘三人
page 7	黃慕松等明日來港港政府歡迎秩序已編定
page 8	發生地點
page 8	自汕尾來
page 8	四樓躍下
page 8	招商局整理業務之經過裁去冗員一百零九名貨客腳均較去年銳增
page 8	組織與人事
page 8	營業之比較
page 8	材料及消費
page 8	大熱攻心
page 8	一窮漢服毒自殺死後兩日始發覺
page 8	台灣日警毆英兵案真相英軍官連日在港開庭研究
page 8	僱用汽車
page 8	日警拘留
page 8	三人受傷
page 8	在　研究
page 8	月來赴星華工之擠擁三等船票每張售至百餘元
page 8	紅丸案詳臬定讞
page 8	市政衛生局經歷勞
page 8	大熱攻心神經錯亂閩省孤客跳樓慘死墮地後懷中尚擁一毛氈逆旅主人已電告其家屬
page 10	英新運輸艦到港
page 10	初級法庭案彙誌
page 10	過海輪兩客投海
page 10	會計師公會常會期
page 10	神鞭俠昨拍外景
page 10	史塔士道火燒山草
page 10	後備警察華隊消息
page 10	衛生醫官時症報告
page 10	杜其章昨讌越華僑
page 10	誘良為娼案初審
page 11	淡平公路將與廣九路聯運
page 11	各縣市公安局定期改名警察局
page 11	兩機關之更動消息
page 11	縣府嚴厲整頓私塾
page 11	王用賓昨晨赴曲江先視察粵司法再赴桂地方法院新預算全文
page 11	縣府嚴禁演劇瞞捐
page 11	法官辦案遭眾毆辱
page 11	禁各校提前放寒假
page 11	蒲溪鄉發生大火災
page 11	羅定頑童首領解縣儲訊辦之供詞自供組織義和團經過
page 14	這時代裏的一個變態人物
page 14	德國真能進攻蘇俄嗎
page 14	德國進窺蘇俄是可能的
page 14	進攻蘇俄的五條路線
page 14	直趨莫斯科的兩條最短線
page 14	列寧格勒的形勢和波羅的海
page 14	波羅的海沿岸各國與德 國
page 14	駐華北日軍增員後第一次演習北平東西郊成戰場廿六日城內隱聞砲聲豐台蘆溝橋情勢緊張
page 14	攻陷列寧格勒在政治上的意義
page 14	德國攻蘇俄的戰略第一步佔領列寧格勒
page 15	發覺起火
page 15	灌救情形
page 15	檔案無恙
page 15	失火原因
page 15	損失估計
page 15	善後辦法
page 15	湘米價格飛漲棉紗土棉求過於供省儲嚴禁米商居奇
page 15	穀米
page 15	棉紗
page 15	土棉
page 15	內政部圖書室失火詳情原因係電燈線走火志書被焚最足珍惜
