page 1	論陳獨秀
page 8	印製偽幣擾亂金融四犯罪名成立承審官分別判處徒刑姚蔭康證據不足獲釋
page 8	軍事演習微傷士兵兩名
page 8	昨晨之大雷雨九龍街道多被水淹
page 8	敵潛艦又截搜荷輪留難三小時始放行
page 8	連日痘症略減
page 8	澳督明日來港　酢秩序略更改
page 8	　幹寵斃命
page 8	一人斬傷兩人
page 8	屈臣氏公司去年獲利甚厚
page 8	民用防毒面具進口准免護照
page 8	中國國貨銀行在本港設分行
page 8	英艦由菲返港
page 8	煤氣公司增價
page 8	李兆基醫師返港
page 8	美菲巨商聯倡企業組織
page 8	九龍關新稅費
page 8	粵海關九龍關聯合佈告九龍增設文錦渡分卡一管理省港公路車輛通過證檢發事宜負責徵收稅款及按款嚴防走私漏稅
page 10	一九三零年
page 10	香港之影響
page 10	歐亞機經港
page 10	至於西北線
page 10	民航線開闢
page 10	男子下墮斃命
page 10	水族會今晚開會
page 10	江夏堂新舊職員昨日下午行交代禮
page 10	中國航空事業之發達啟德機場總管摩士演講
page 11	一由臨城到臨沂
page 11	論臨沂形勢
page 11	三龐炳勛之強硬態度
page 11	誘敵深人
page 11	光榮之殲滅戰
page 11	葉賡常旅長訪問記
page 11	臨沂殲滅戰
