page 1	天津事件之形勢
page 7	廟宇司祝捐產充東華醫院經費
page 7	許畹君函
page 7	中國紅十字會最近工作報告
page 7	瑪利醫院醫生證明紅丸可枯人骨折足人脛骨枯朽無法駁續醫生認係紅丸毒侵蝕所致
page 7	購緝劫案匪犯
page 7	英艦衝破Ｘ封鎖線港英輪繼續運貨赴　渣甸輪和生號明日由港開行英艦決以武力保護進出英界
page 8	總動員的共同目標
page 8	救國道德建國信仰
page 8	改造精神實行動員
page 8	郭泉談彈劾張惠長案
page 8	閒話端陽
page 8	女同胞亟應精神動員重慶婦女界敦促留港女僑胞各婦女團體將討論實行辦法
page 10	乒乓義賽鑑泉杯今晚決戰女子明夕決雌雄
page 10	荔枝角泳場舉行水藝盛況
page 10	鐘聲社明日舉行龍舟競渡參加龍舟一共四艘
page 10	冠雲隊征澳戰績
page 10	夏令籃球定期開始報名李子飛報效冠軍獎
page 10	友誼排球賽記者今日戰西南
page 10	男乙組籃球賽國際榮獲冠軍昨以廿八比十九勝培英五八比三六勵行挫華雄
