page 1	歐洲侵略集團將聯絡日本
page 4	坐三年監
page 4	謂是偽幣
page 4	案情重大
page 4	奇而詢之
page 4	渝聯青社籲請僑胞捐贈書報
page 4	鴨　洲打架案押候一週公審
page 4	九龍關新稅費
page 4	警署傅譯員阮兆基勒索疑案初審主控律師述被告勒索經過原告劉熙煜到庭極力指證
page 5	江會Ｘ軍秘密調動
page 5	Ｘ機出動掩護築防
page 5	Ｘ汽艇圖偵我虛實
page 5	我軍準備作總反攻
page 5	游擊區已積極加強
page 5	Ｘ積極擴編挺進隊
page 5	以打單式勒索軍費
page 5	第四游擊司令嚴禁無故收繳民槍撤銷軍紀廢弛部隊
page 5	撤銷軍紀廢弛部隊
page 5	嚴禁收繳民有槍械
page 5	瓊島Ｘ犯屯昌我軍增援佈陣堅守襲嘉積市Ｘ軍分路撤退訊
page 5	我軍反攻猛襲嘉積
page 5	屯昌山地展開激戰
page 5	中山軍事和綏後航商展拓水道交通前小航線最近又增兩渡並由小欖接駁各地搭客
page 5	Ｘ犯金利不逞蔡廷楷之軍事談
page 5	嘉積市Ｘ分路撤退
page 5	國產出口檢查
page 5	外貨入口登記
page 5	粵加強經濟壁壘辦法根絕Ｘ貨進口嚴防國產資Ｘ將舉行入口登記及出口檢查
page 5	粵桂當局通令嚴禁濫拘報販
page 5	博增線我軍入增城燬Ｘ營
page 5	北路我克復大岡嶺大同太平場神岡均為我控制
page 5	在抗戰中滋長著的肇慶
page 5	積極維持法幣的價格
page 5	江會之Ｘ秘密調援廣州三水張弛抵某地任總攻江會指揮偽挺進隊長何某向各鄉索款睦洲等鄉團隊均已嚴陣以待
page 6	捲煙管理之意義及各種煙抽費標準
page 6	省參會開幕時李主席之致詞
page 6	花縣前線視察記三劫後的恢步
page 6	桂洲匪風猖獗四十七坊決聯防互衛每坊僱勇士二名組設一聯防會
page 6	省府令各縣頓整團隊不得任意征收費用
page 6	七區署派員視察縣政
page 6	河源婦女組補衣隊為前線將士服務
page 6	合浦駐軍助民耕作
page 6	廣東省臨時參議會首次會議開幕曲禮紀盛二
page 7	五賊持械入店行劫
page 7	中西警探與賊劇戰
page 7	過路婦人中彈慘死
page 7	賊匪沿途拋棄贓物
page 7	一幕喜劇影星胡蝶影昨結婚夫堉為少年律師關學霖新伉儷將赴菲島渡蜜月
page 7	余東璇兩子昨舉行結婚禮
page 7	五十年前之暴風雨陸上可行舟全市竟成澤國昨為紀念日亦得雨二寸餘
page 7	兩英艦決拍賣
page 7	纜車公司將開股東年會
page 7	佛山船由省載客千餘到港
page 7	中國航空協會擴充空軍建設蔣會長諭令各分會努力募捐捐美金五萬元可購一驅逐機
page 7	謀殺疑案撤銷
page 7	老婦服毒自殺
page 7	油麻地金舖被劫廣九火車橋附近警探與匪發生劇戰一婦人中彈死一華探受微傷三賊當場就捕拾回一部贓物
page 8	顧客扣門久無應聲
page 8	被害前夕如常營業
page 8	推門入見數屍橫陳
page 8	陳丕士獲准在港業律
page 8	店伴傭婦均告失蹤
page 8	保育會游藝會改下月十七日舉行
page 8	港督之演詞
page 8	新建設計劃
page 8	香港大學舉行畢業禮港督親臨頒授各生學位並演講港大將來之設施
page 8	五匪冒差截搶
page 8	畢業生題名
page 8	商會定期召開同人大會
page 8	賑聯會昨會議
page 8	中英文協會今日成立杭立武昨由渝飛港參加
page 8	兩人被控假設商號行騙三婦人損失二千餘元
page 8	市虎噬傷途人
page 8	水警署服務員勒索疑案押候
page 8	灣仔發生謀殺案米店老板全家遭害一家五口僅初生嬰兒微傷不死慘案發生後店伴傭婦均告失蹤
page 10	申報杯女籃義賽暫停舉行俟明日開委會始能定期角逐
page 10	南華王囿絨球場週末照常開用
page 10	南華水藝改期
page 10	因船期關係南華隊改今日出發
