page 1	歐局現階段
page 5	台山訓練一期壯丁防止壯丁藉名入學　役適齡壯丁不得納金緩役
page 5	大寺一帶在血戰中
page 5	日機在崑崙關肆虐
page 5	最近南寧日情種種
page 5	睦洲日軍亦已撤去龍泉睦洲又再為我收復江會各線昨仍有劇戰日軍撤退後中山情況
page 6	日軍強渡東溪情形
page 6	潮安我日激烈炮戰
page 6	從化團隊擊落日機
page 6	潮汕鐵路日車傾覆
page 6	惠陽稅局易長續訊
page 6	桂南戰區各縣政治經濟現況韋雲淞之報告
page 6	四戰區各部隊組織軍風紀督察團主管長官兼任團長
page 6	煤電油進出口須向稅局領證防奸徒漏稅資日
page 6	軍委會桂辦事處統制軍服材料
page 6	粵北我軍節節南進掃蕩從化克白田崗神岡太平場激戰我斬獲甚眾粵路日軍犯黃岐山慘敗詳情
page 6	日軍犯黃岐山慘敗
page 6	攻太平場衝入大埔
page 6	從化我軍克白田崗
page 6	潮安日軍由龍湖強渡東溪不逞血戰整日被殲凡百河水盡赤敗竄龍湖似圖再舉我已嚴防
page 7	利便僑胞回國服務人才調劑會舉辦貸款參驗合格者得請貸給旅費得業後始由薪金按月分還
page 7	車房倒塌五人被大木壓傷
page 7	蔣夫人言論集中宣部未派人在港兜銷
page 7	英人再開公民大會討論援助聯軍辦法擬捐飛機坦克車或魚雷艇
page 7	全港基督教徒舉行節約建國儲蓄禮拜今日舉行誓師出發儀式
page 7	又拾獲一浮雷
page 7	荷蘭與意大利斷絕外交關係荷駐港領事昨日發表聲明書荷意兩國公使各已離境歸國
page 7	文協漫協舉行文藝晚會
page 7	粵北死亡日軍運回廣州焚化死馬亦有二千餘匹
page 7	廠商定期義賣籌款救濟浙東米荒
page 7	刺繡展覽會今日正式開幕全場收入捐獻國家
page 7	海軍船塢設警衛處任賀爾斯威爾為警衛長官
page 7	獻劍團將出發
page 7	教部促進華僑教育舉辦教師暑期講習會預算中等校教師三百人參加由許地山陶百川莊澤宣等主持
page 8	東華醫院主席談調整嘗舖租項辦法嘗舖租金有增有減絕非濫加迫遷可比
page 8	日迫貨艇領旗每旗納　廿元
page 8	銀界聯誼會今開會員大會
page 8	大華飯店成立二週紀念十五日起增設茶點應市
page 8	寄歐洲空郵可由汛美機代運
page 8	英使前晚抵港
page 8	香港產業公司獲准取銷優先股
page 8	荃灣海有破船船隻航行須注意
page 8	沒收私運白銀
page 8	住客聯會六間義學招生
page 8	兩青年被控以石擲三少婦簽保並賠償損失
page 8	國貨宣傳社成立
page 8	東莞商會將賣花
page 8	澳門馬票之暢銷
page 8	民大會即將舉行香港昆明設通訊處港方由周雍能郭泉負責
page 8	四十餘名英僑請免服役
page 8	利威行劫殺案續審華人職員述遇劫情形吳庚澤擒賊幾被賊擊中槍響後門外之賊即逃去
page 8	中國航空建設協會派陳慶雲出國組分會航空建設實為我國當前爭務僑務委員會勸港僑予以協助
page 10	今日棒球聯賽港啤初逢中華工力悉敵劇戰難免勝負關係錦標前途
page 10	廣州運到大批菜蔬淡水魚亦運到七十餘擔
page 10	今夕籃球賽程
page 10	記者伶星小型球義賽今日在九龍球場舉行下午四時揭開戰幕另場尖沙嘴對同義
page 10	華人游泳會今夕舉行水藝籌賑會七時半開始秩序共十一項
page 10	學界排籃戰績
