page 1	英國如何應付嚴重之歐局
page 4	學賑會將改選最近工作進展極速
page 4	捐金購債彙誌
page 4	劫案疑犯提堂
page 4	衛生局之議案
page 4	真光女中公演愛國戲劇並贈前線將士大批藥品
page 4	港督夫婦赴粉嶺
page 4	查究西人投海案
page 4	非英領土一級郵件亦將改用飛機寄運郵局已與帝航空公司商妥郵費價目亦經訂定公布
page 5	禺南北涌鄉軍民聯合抗ＸＸ軍中伏被擊Ｘ酋亦受重傷鄉民畏Ｘ報復紛紛逃避
page 5	瓊崖紅軍女首領抗Ｘ戰績
page 5	粵省振濟會奉令舉辦救濟失業難工
page 5	廣州Ｘ連日增防佛山
page 5	粵擬訂戰時國民組織方案各地受訓民眾擬編為後備隊
page 5	梧州警察實施戰時訓練
page 5	我準備再反攻凰閣Ｘ圖在沙尾新村登陸知我有備退去
page 5	凰閣Ｘ軍炮轟大崗
page 5	沙尾新村我軍擊Ｘ
page 5	香洲海面Ｘ艦橫行
page 5	廣西省府調劑省內糧食
page 5	區壽年部增防南路
page 5	吳奇偉巡防完畢全線反攻即可動員
page 5	Ｘ增兵北窺後我軍集從清英向Ｘ包圍李師出擊馮涌牽制Ｘ軍聯絡我長官視察源潭香爐坑新陣神崗之Ｘ衝我陣線均被擊退
page 5	廣州Ｘ昨北調增防
page 5	從清英間我軍大增
page 5	北線長官源潭巡防
page 5	李師昨向馮涌挺攻
page 5	Ｘ軍用品躉存新街
page 5	神岡之Ｘ迭衝我陣
page 5	碧良公路我團隊炸毀Ｘ軍車Ｘ防我軍團再反攻大良連日增援軍車絡繹不絕在荔村站附近被我截擊Ｘ機在倫教鄉投彈續談
page 6	東寶惠博各縣當局積極綏靖增強抗戰組敢死隊設情報綱清剿匪盜保護春耕
page 6	四會舉行清奸運動
page 6	編敢死隊
page 6	組情報網
page 6	禁收規費
page 6	Ｘ機十三架冒雨窺汕但旋即竄去
page 6	保護春耕
page 6	贛省政府統制糧食贛江商民咸起恐慌聯請省府轉咨取銷
page 6	粵省各縣設自治指導員俟行政院核准即成立
page 6	汕黨部新書記長許業成已抵汕
page 6	瓊崖被Ｘ以來各縣鳥廠三
page 7	炮兵演習日期
page 7	洋米獲准免稅後各邑趕辦平糶中山商會派代表赴澳商辦法鶴山第一批平糶米起運返鄉
page 7	滬外僑駕帆船赴澳洲途次菲島遇風全舟破碎將再購一新船繼續前進
page 7	汎美波音機明日始能到港
page 7	孔聖堂兒童保康院昨舉行成立禮中央撥國幣二萬元為開辦費推中賑會許代委長為董事長
page 7	港廠商攷察團下月中旬赴澳
page 7	四邑方面
page 7	鶴山商會
page 7	中山商會
page 7	粵淪陷區機工來港僅百餘人
page 7	汽車撞傷途人
page 7	安德里昨逝世
page 7	各界籌備紀念黃花節戲劇界決公演名劇黃花崗婦女團體擴大慰勞傷兵運動
page 7	今日會議籌演名劇
page 7	僑團提倡焚燒債券
page 7	女界擴大慰勞運動
page 7	翁照垣昨過港
page 7	投機商人惟利是視日本貨運港按月遞增海關統計數位尚難代表進口總值本港華僑廠商出品均受重大打擊
page 8	轟斃Ｘ兵安然脫險
page 8	Ｘ軍厭戰渴望和平
page 8	我空軍連日炸廣州
page 8	活特主教談世界戰爭世界戰爭不因種族之不同觀中國抗戰可知純求自由
page 8	戰爭發生不因種族不同
page 8	中國係為全人類而抗戰
page 8	中緬朝聖應要互相援助
page 8	滇緬公路完成交通發達
page 8	商人路遇搶匪
page 8	金素琴等今晚演劇籌賑
page 8	二千餘青年履行國民公約今日在　公球場宣誓
page 8	漁協會四漁船日間行下水禮
page 8	民航機之來去
page 8	酒牌局議員舉定兩候選人
page 8	紅丸犯受重懲
page 8	金素琴等
page 8	我空軍頻飛廣州炸Ｘ毀沙角炮台一部重傷Ｘ艦多艘郊外游擊隊極活躍Ｘ疲于應付
page 11	掃桿埔之戰因天雨改期
page 11	甲組三雄績分表
page 11	上半時
page 11	下半時
page 11	足球總賬
page 11	香港小型球協會選出董事多名
page 11	我僑英女網球明星參加全菲網球錦標賽何卿女士現年十六藝確不凡
page 11	昨晚公開籃球賽甲組華僑南勝警察乙組兩戰勵行國際告捷今午三時半起戰事三場
page 11	昨
page 11	次
page 11	運動會消息
page 11	麗華杯決賽華聯戰西文員今午四時會師香港會
page 11	末
page 11	顛馬阜拉從此高掛球靴
page 11	雨中行軍南南奏凱旋歌三比零大破九龍對冠軍一席在望東方與米杜息之戰因雨改期
