page 1	中央當局宜注重增加農產
page 8	灣仔塌屋死傷三人舊樓拆卸中突然倒塌三人被壓一死兩重傷
page 10	滅火隊年操有期
page 10	太平洋發現颶風
page 10	女犯病死之研究
page 10	謀殺案疑犯提堂
page 10	彌敦道劫案詳臬
page 10	偷運偽幣被重懲
page 10	日艦磋峨號抵港
page 10	九龍關公署佈告
page 10	新街劫案犯入獄
page 10	演說比賽今日舉行
page 10	國際反婢會會議明年在爪哇舉行
page 11	中山縣偵緝拘獲行使偽幣犯
page 11	馮公平試用布劇棚
page 11	汶水又發現金礦訊
page 11	陳安仁向經建分會提議歡迎華僑抽資辦實業由政府與華僑合資設拓殖銀行由該銀行投資辦各種生產建設
page 11	提議書
page 11	其綱要
page 11	南邊火燒手托戲棚
page 11	匪徒遇警棄賊逃遁
page 11	各機關多遷設縣城
page 11	私校請免繳納警費
page 11	姦殺少女埋屍滅跡
page 11	統一各縣市預算
page 11	南華寺之林場大火
page 11	因借不遂火燒祖祠
page 11	河清店戶被匪打單
page 11	陳村三利貨渡觸礁
page 14	歡迎人員
page 14	當晚京晉
page 14	過滬談話
page 14	德俄問題
page 14	日軍大演習中懷仁堂之宴會田代過平赴通檢閱宋哲元設盛筵歡宴席間暢述真誠合作殿以中西歌曲而散
page 14	德王確已甘作傀儡
page 14	不認偽滿
page 14	中日糾紛
page 14	德日關係
page 14	倫敦泰晤土報紀日侵內蒙計劃造成高麗至新疆之防線張垣變為日經濟根據地百靈廟亦為日偽所統制
page 14	張垣已成活動中心
page 14	林主席抵滬檢驗身體下車後弔唁段祺瑞之喪並請陸醫仲安診察處方
page 14	特務人員曾往寧夏
page 14	德大使陶德曼抵滬後德國決不承認偽滿赴德總領宴後即晚晉京
page 15	各宗教團體代表贊成與共產青年合作大會決議設國際委員會明年在美召開第二次大會號召國聯共起解決青年政治經濟諸問題召集太平洋青年論太平洋和平
page 15	各黨派合作反戰反法西
page 15	邊省采風錄一介紹整個的察哈爾
page 15	設治未久金甌已缺
page 15	民情樸茂緩急可恃
page 15	國際青年和平大會表現反法西斯及反戰精神
