page 1	第二次歐洲大戰感言
page 7	港戰時負責長官委出禁居民通敵造謠僑港德籍壯丁百餘拘留集中營大小軍艦已盡駛出港嚴密佈防貨物未經許可概不得自由運澳
page 8	英對德宣戰後本港市民動態英法僑民痛飲高歌極感興奮華僑鎮靜如常娛樂場仍熱鬧
page 8	日本中立疑慮已釋
page 8	娛樂場所熱鬧如前
page 8	英法僑民極為興奮
page 8	切身關係則形焦灼
page 8	分別查封德國商行
page 8	德僑會所亦經封閉
page 8	警察嚴密守衛水電廠各廠屋頂均裝設高射炮
page 8	冒騙案昨判決被告入獄四月
page 8	港僑自衛團召開街坊會議
page 8	援助暹僑會今晚召開會議
page 8	食罐頭魚母子三人中毒
page 8	欲發國難財少年騙匪入獄
page 8	象棋奪鼎賽第四夕蘇天雄大勝董文淵四晚統計周德裕積分最高
page 8	雲浮同鄉慰勞守土將士
page 8	萬善緣法會第二日之情形
page 8	香港歐洲間祇拍普通電報
page 8	商會今日會議
page 8	邊境日軍現僅餘二千人
page 8	小童墜車重傷
page 8	汛美機已抵港
page 8	兵險保費增加一律增百分五十
page 8	周雍能宴謝李應林等
page 8	南遊日記卅二
page 8	今日夏令籃球聯賽飛鷹戰大中德貞對正社
page 8	南華消息彙誌
page 8	歌詠班
page 8	乒乓賽
page 8	小型球聯會議決要案兩項心嘉杯大通今戰　護
page 8	警察昨警告柴米商人不得抬高價格乘機圖利
