page 1	國際形勢與我國抗戰
page 4	霍亂症漸減少秋後可望消滅
page 4	駐港英艦一覽
page 4	得基保輪工友又獻金千餘元
page 4	五十歲老翁自殺
page 4	香海蓮社講經訊
page 4	九龍居民協會又提議遷移難民營會員　過海輪消防問題對電船設備簡陋表不滿
page 5	前線歸來之抗Ｘ談
page 5	當局公佈中山無恙
page 5	橫門之Ｘ全部退卻
page 5	犯橫門Ｘ已全部退去中山各地已全無Ｘ蹤岐關車已恢復原日行車時間某軍要前線歸來談激戰經過江會方面前夜突有砲聲甚密
page 5	Ｘ機昨又窺襲廣九路並轉向惠陽方面飛去寶安南頭等地現甚安謐
page 5	中山民眾捐輸慰勞
page 5	前晚江會砲聲甚密
page 5	增江我團隊截獲Ｘ軍糧械
page 5	省務會議紀要增撥全省教育經費張化為代陸豐縣長
page 5	Ｘ機昨襲粵北
page 5	我軍伍少武部夜入潮安城與Ｘ巷戰浮洋菴埠等處均有激戰
page 5	王若周函勉東莞橫坑鄉民
page 5	財廳訂定處置霉煙辦法
page 5	高等法院嚴定出差旅費辦法藉端苛索者嚴辦
page 5	我游擊隊夜襲西坑
page 5	Ｘ犯馬房中我伏兵
page 5	Ｘ兩路犯馬房不逞我團隊兩龍鎮南新墟毀Ｘ工事蘆西Ｘ軍陸續增援謀再犯楊梅
page 5	嚴禁私運法幣出境國防委會制定檢查辦法粵省政府奉令飭屬執行
page 5	番禺石樓鄉被Ｘ軍勒令交兇手因偽大隊長被匪擊斃
page 5	Ｘ機連日飛擾西江
page 5	鐳錠B發現對於人類的新貢獻
page 6	牛牯嶺我Ｘ血戰
page 6	犯平山Ｘ受重創
page 6	Ｘ新兵運送北江
page 6	粵振濟會擬定義民寄養與分養方案決先辦義民火柴紡織兩公廠
page 6	第四游擊區政訓會議
page 6	龍川縣民徵物勞軍
page 6	各縣農貸會次第成立
page 6	高等法院巡迴推事昨抵中山
page 6	河源婦女會慰問征人家屬
page 6	四區游擊部組軍風紀糾察隊
page 6	粵僑務處遷址
page 6	香港報界公社
page 6	北　戰事週來轉劇牛牯嶺我Ｘ血戰之劇烈我穩握馮涌象崗Ｘ犯平山受重創
page 7	停用期公布後小商販竟拒用舊鎳幣一部份找換店更任意低折庫務署職員解釋停用問題
page 7	少婦攜款還債樓梯間被截劫疑在我換店兌款時賊已窺伺隨至灣仔債主家梯次始下手
page 7	順德同鄉籌賑會積極推進救鄉運動舉辦邑人物資救鄉大會籲請各界同鄉踴躍贊助
page 7	車輛失事統計去週死二人傷廿八人
page 7	德忌利士輪行走廣州灣線
page 7	華商籌賑會決定八一三獻金辦法設獻金台六座指定負責人管理郭泉董仲偉將獻巨款以為之倡
page 8	所得稅在香港二
page 8	任何方式
page 8	冒大艱險
page 8	留營難民續減
page 8	永祥金舖劫案昨日正式公審三被告被加控謀殺傭婦罪被告等直認糾黨行劫不諱
page 8	謀殺傭婦
page 8	正式鞫訊
page 8	掠取金器
page 8	鄧探受傷
page 8	以槍指之
page 8	賊亦還槍
page 8	甘乃明畫展開幕
page 8	崑山中學大擴充
page 8	賽會昨開緊急會議解決水球糾紛事件結果再行補賽警告犯規球員
page 8	今日籃球賽程德員對南星飛鷹戰大中
page 8	太古華體會議決舉辦足球義賽響應八一三
page 8	友誼乒乓賽消息
page 8	記者水藝會定本月十二日舉行節目豐富有渡海泳舢舨賽等
page 8	九龍小型球總會召開裁判會議
page 8	廣州牙醫楊俊卿抵港澳
page 8	　財知法犯法英警官處徒刑九月法官謂被告行為實為警界之玷些路頓律師力為被告辯護無效
