page 1	新運推行中之廣州市民
page 8	王寄一過港談我國海員工會近狀華南海員最能團結故有力量整理粵分會計劃返滬後決定
page 10	紅丸案兩宗詳臬
page 10	初級法庭案彙誌
page 10	夥黨截劫
page 10	毆人圖劫
page 10	發假誓案
page 10	私帶舖票
page 10	偽報遇搶
page 10	入屋行竊
page 10	毆打印警案押候
page 11	財廳裁撤欽廉惠州生豬捐
page 11	台山公益區發現怪獸非牛非馬張口嚇人
page 11	省府禁各縣鬥蟀
page 11	呈復各項苛雜捐文
page 11	欖鎮成立賑災委會
page 11	查究縣民控檢察官
page 11	母女兩人被雷殛斃
page 11	商民請撤穀米苛捐
page 11	惠陽縣城發生殺夫疑案
page 11	沙口沉艇溺斃三人
page 11	崗頭赤崗爭地釀鬥
page 11	各縣市籌組禁煙委員會一限期辦煙民登記實施調驗公務員
page 11	市縣禁煙委會組織通則
page 11	李海雲堅辭南海令各界亦有挽留者
page 14	中原商會
page 14	招軍買馬
page 14	奸人引誘
page 14	日本陸軍散發滿洲事變五年小冊欺騙宣傳中並帶耀武揚威性質沉痛紀念日將屆國人作何感想
page 14	財次鄒琳抵滬談整理粵省財政經過使其收支均衡預算已能適合再圖復興實業繁榮前途有望
page 14	整理方針首重禁賭
page 14	財政收支必能適合
page 14	實業復興繁榮無量
page 14	謁孔財長報告經過
page 14	湘省府主席何健北伐時期中一段軼聞練拳寫日記從不間斷
page 14	察北匪軍圖再進犯綏東儼然大戰前夜匪軍首領定期開會商進犯步驟獨石口赤城一帶匪徒謀竄察北綏當局平　泉等地築防禦工程
page 15	蘇聯軍事的威力
page 16	蘇聯攝製彼得大帝片演員一千五百人
page 16	美國攝影師赫勃特在滬攝製新聞影片
page 16	美國重視教育電影對不良影片取締的規定
page 16	談環球百萬金圓鉅製
