page 1	英蘇談判之癥結
page 3	福州近郊美產業被Ｘ炸全座樓房被燬
page 3	蒙漢一家十餘萬人迎祭成吉思汗靈　
page 3	呂競存任桂省府委員
page 3	德將對但澤舉行初步軍事行動德人四千潛入但澤自由市活動波蘭全國民眾宣誓決抵抗侵略
page 4	倫敦空郵改用專機運港
page 4	粵衛生人員展延登記日期
page 4	衛生局之議案
page 4	中青救護團再組新隊出發
page 4	澳門賽馬改期
page 4	九龍關新稅費
page 4	粉嶺保育院與工建築本年十月間可落成全部建費約七萬元
page 5	Ｘ正規軍集中省禪
page 5	江門傀儡被擊斃說
page 5	我乘夜攻襲沙仔尾
page 5	中山沿邊已吉安謐
page 5	容奇Ｘ軍進犯中山大坳被擊潰我擊沉Ｘ艇傷斃Ｘ兵
page 5	瓊崖我軍反攻克復安定瓊山Ｘ根據地損失甚大Ｘ犯南陽遇伏傷亡慘重
page 5	省府獎勵救濟難民
page 5	伍觀淇提倡戰時生產
page 5	東莞劃定嚴禁穀米出口
page 5	省振會設置難救區辦法
page 5	Ｘ擾大鑊
page 5	張炎出巡
page 5	南鵬現狀
page 5	砲轟漁船
page 5	Ｘ佔南鵬後未有異動張炎親自指揮佈置防務陽江Ｘ艦他竄形勢已和緩
page 5	馬華青戰服務團返潮參加游擊
page 5	陣中簡報遷往肇慶出版
page 5	戰區購糧會成立統籌軍民糧食
page 5	廣州Ｘ軍紛紛開赴汕頭Ｘ機炸韶　公路
page 5	粵省戰區日廣決動員全民參加抗戰省黨部及動員委會合擬辦法凡我民眾統應起來共盡天職
page 5	江會Ｘ陸續撤退中我軍大舉夜襲沙尾Ｘ營江門傀儡何某有被擊斃說
page 6	攻奪新街及各據點
page 6	Ｘ軍潰退龍翔龍江
page 6	我奪馮涌謀反攻
page 6	相繼克復三個據點
page 6	攻大崗嶺斷Ｘ聯絡
page 6	句圍增城郊外激戰
page 6	潮安陷落轉守城北
page 6	旅暹僑眷最國被劫案僑民聯請緝拿主犯嚴懲以免華任視歸國為畏途
page 6	馬　屏召開四邑護航會議
page 6	粵南米荒潮嚴重米價高漲達於頂點洋米成本加高售　未低當局注意秋收　防資Ｘ米價平復須在半月以後
page 6	七七紀念日新會舉行廣大慰勞運動
page 6	三水縣蘆苞當局懸緝漢奸
page 6	四會難童抵韶
page 6	合浦縣長呈請救濟
page 6	張余兩長官發動反攻北路東江連日迭克要區神岡Ｘ聯絡已斷增城郊外有激戰揭陽Ｘ竄埠潮安我軍轉移城北
page 7	免稅出口十貨一覽粵海關監督之佈告
page 7	史泰克獻議改良統計制度
page 7	粵劇界將舉行國民宣誓典禮並演名劇籌服難胞
page 7	印刷業工潮已告解決印刷商會告同業及工友書
page 7	窺鄰家歸起床一少年被懲罰
page 7	馬嘉士歌舞班消息
page 7	興中中學教部批准立案
page 7	懷械案仍押候
page 7	軍官後備隊開始徵募隊員非英籍專門人材不得參加年齡限廿五歲至五十五歲
page 7	英駐華海軍總司令諾貝爾將軍今日抵港在港決不久留乘原艦趕程北上或將與顏尼爾商應付時局辦法
page 8	義華士供
page 8	交回銀物
page 8	所記憶者
page 8	先施公司化裝品部請法庭判梁新記破產詩亞利孖打律師求押候一月該店東主之妾正設法維持中
page 8	不欲辦理
page 8	中救的臨去秋波
page 8	破案情形
page 8	商業製造公司破產
page 8	暹華僑服務團第二隊昨抵港
page 8	第二街紅丸案詳臬警探供術破案之經過
page 8	均屬紅丸
page 8	星期一非補假
page 8	抗戰兩週年紀念宣傳週今開始
page 8	有海洛英
page 8	簽發防疫證時間略有更改
page 8	本港英艦一覽
page 8	棒球聯賽中華今戰西洋明日南華對友啤
page 8	王徐網球義賽的前瞻一
page 8	友誼排球賽西南湔雪前恥昨以三比二壓倒記者
page 8	友誼球賽彙誌
page 8	聯會小型球賽今日開始
page 8	溫勃爾頓網球蔡惠全敗績
page 8	　警官索賄疑案續審　士對當日情形多謂不復記憶　傳錄已畢業審官命詳臬定讞
