page 1	英日談判結果將如何
page 3	廢約問題張伯倫謂此一問題須徵各自治領意見
page 3	結束辯論關於日本排英風潮英已提出強硬抗議
page 3	行政院議決案
page 3	波蘭與但澤醞釀商戰
page 3	法國積極擴充海軍力量擬擴充至七十五萬噸列在世界海軍第四等
page 3	張伯倫在眾議院聲明不改變遠東政策亦未承認日本在華有交戰團體之權利英政府決不能與日討論天津白銀問題
page 4	騙廣告費敗露少年入獄四月
page 4	賑聯會昨會議常委會議案均通過
page 4	衛生局成立特委會研究改良清糞辦法清糞工作不良易生　疫現行辦法確有改善必要
page 5	夜襲尖峰戰情激烈
page 5	玻璃圍Ｘ忽自退卻
page 5	當局公佈Ｘ退情形
page 5	Ｘ機窺伺某渡被擊
page 5	民眾踴躍送物犒軍
page 5	疊石各地均告安謐
page 5	橫門Ｘ艦改窺寶安
page 5	中山再破壞公路
page 5	粵北我趙師進迫高塘破Ｘ兩度防線殲Ｘ百餘後撤回原陣太平場Ｘ增援固守
page 5	進迫高塘發生激戰
page 5	從化花縣戰事穩定
page 5	反攻潮安戰訊我克復東鳳進攻葫蘆山Ｘ艇進窺潮陽海門不逞
page 5	容良Ｘ軍抽調中山援增容良Ｘ軍之調查
page 5	中央當局實行收購物資並獎勵土產外銷
page 5	Ｘ機艦迭擾東江沿海
page 5	嚴格管制抗戰團體各團體行動須取得命令
page 5	昨日深圳Ｘ機兩度窺伺捕獲疑奸一名
page 5	粵南海外天氣變幻Ｘ艦窺擾各地其勢稍殺惟冠頭嶺地角仍見Ｘ開燈照射海口Ｘ橡皮艇已減少Ｘ艦他駛
page 5	公務員朝會擬定獎勵辦法
page 5	招募醫生回國服務
page 5	廣州附市水道團隊襲擊Ｘ艇
page 5	增強南路緝私力量
page 5	上下川島駛到Ｘ艦
page 5	我團隊大舉反攻橫門大尖峰玻璃圍之Ｘ已撤退芙蓉山腳尚留少數Ｘ兵與我相持當局公佈Ｘ撤退情形似改窺寶安中山各鄉民眾踴躍勞軍
page 6	調查新穀供求情形
page 6	嚴禁米糧入淪陷區
page 6	分令各縣存儲餘穀
page 6	蕉嶺縣屬各鄉洪水為災損害甚鉅田禾蔬荳等損失十餘萬元
page 6	番禺團隊鍾村殲Ｘ
page 6	台山後援會策動獻金勞軍
page 6	中山公佈實施統制穀米
page 6	河源鄉民發生械鬥
page 6	河口西南Ｘ兵大增
page 6	西線我方之捷音我軍猛攻官窯金山寺Ｘ再犯馮涌象崗楊梅墟均敗三水河口西南一帶Ｘ兵大集
page 6	有犯蘆苞楊梅趨勢
page 6	黃塘我軍出擊木棉
page 6	寶安縣府禁鄉警濫抽路費以免影響商旅
page 6	寶安警員緝獲一運私米糧
page 6	組織方面
page 6	器材方面
page 6	韶關軍政當局積極整頓消防之辦法指揮組織訓練已有統籌計劃器材水源等須妥為備置應用
page 6	統率方面
page 6	訓練方面
page 6	水源方面
page 6	預防方面
page 6	粵省新穀登場當局嚴密調劑統制禁米糧入淪陷區資Ｘ令各縣迅速存儲新穀
page 7	華南難民工業社出品展售會昨開幕中西人士踴躍赴會一日內籌得數千元
page 7	中西官紳踴躍赴會
page 7	各種貨品分部陳列
page 7	兩社歡迎定製衣物
page 7	海盜騎劫貨艇虎門海面鎗聲卜卜榜人四名幸獲脫險
page 7	港督同情捐購甚力
page 7	商會函各戲院借地設獻金台
page 7	報販商地昨開籌備會議
page 7	小販義賣決依期舉行僑港小販工商聯會昨正式成立吳鐵城派員監誓觀禮者數千人
page 8	黃滔作供
page 8	所得稅在香港一
page 8	不作一語
page 8	不尋常事
page 8	被告登台
page 8	必能聽得
page 8	如何處置
page 8	同意勒索
page 8	潮僑籌賑會又募得數萬元
page 8	粵紅十字會救護隊之工作
page 8	粵學生夏令會將在華英中學舉行
page 8	司徒雷登抵港
page 8	國立各院校考試地點已定
page 8	港督夫人返港今晨可乘輪抵　
page 8	灣仔　又發生截劫案
page 8	灣仔截劫疑犯昨加控潛回罪
page 8	夏令籃球賽仿中虹虹苦戰得勝警察僑星力抗而敗
page 8	南華南遊隊六比三擊敗雪蘭峨景　德輝兆　各進兩球
page 8	思思籃球隊暑期積極訓練約戰各友隊
page 8	春草體育會近訊
page 8	警官勒索疑案續審義華士自謂當日醉酒否認與通事阮兆基串同敲詐畢警司注意此案昨到堂旁聽
page 11	香港營造規律彙編續
