page 1	意軍慘敗與軸心會議
page 6	韶關當局設法收容遊民籌設貧民教養院
page 6	粵發動駐軍團隊冬耕冬耕墾荒督導處成立擬定辦法通飭一體遵行並由建廳農業人員協助
page 6	實施辦法
page 6	墾植作物
page 6	韶勸儲會送春聯
page 6	省振濟會搶救戰地婦孺又有兩批抵韶關
page 6	淡水增設醫院茜坑設贈醫所
page 6	文昌瓊東各地又起劇戰日在抱虎角登陸進犯鳳墟游擊隊進襲嘉積市殲日甚眾
page 7	艇上貨物值萬餘元
page 7	彈盡無援被賊屈服
page 7	首批義民返桂昨日上午首途
page 7	東江交通管理局規定船舶伕役費用利便歸國僑胞來往商旅
page 7	各地電船民船價目
page 7	伕役肩輿單車價目
page 7	居聯會籌辦戒煙宣傳週
page 7	元朗籌賑會獻車
page 7	港府計劃闢築西貢公路大埔道亦展拓路面
page 7	購辦英國糧食須向統制署領證
page 7	港政府委任令
page 7	日機炸茜坑釀成大火焚電油千餘罐死傷多人
page 7	港貨艇汕尾遇盜鏖戰兩小時傷榜人價值萬元貨物被掠一空艇主脫險昨日返港報案
page 8	團體可代領申請書
page 8	增聘職員協助辦公
page 8	重訂公眾假期中秋節定為例假
page 8	九龍電力公司獲利二百餘萬定廿一日開股東年會
page 8	不再增設代領證處
page 8	國貨展覽會開幕期近會場佈置大致已告就緒參加廠商一百五一餘家
page 8	聯美機昨抵港
page 8	茶葉價格略跌
page 8	與敵通商法例適用於索馬利蘭
page 8	蓄婢制度將可消滅本港婢女日漸減少反對蓄婢會之報告
page 8	砲兵繼續演習
page 8	陳倩如被騙案押候下星期一再審
page 8	新年准放爆竹但須依照合法手續
page 8	中華書局貨倉謀殺案再提堂
page 8	港府派送防空常識手冊
page 8	血案獲兩疑犯
page 8	中國馬秋季冠軍賽干非順卑奪獲錦標霎巴果獲澳洲馬冠軍騎師成績白力仍最高
page 8	開鎗拒捕兇犯法庭昨日提堂
page 8	去月南渡人數三十零二十七名
page 8	兩個竊匪入獄
page 8	衛生局之議案
page 8	兵災會賣物會勸募成績續誌
page 8	航政局耶誕休息
page 8	華人代表羅文錦談領移民證勿信流言當局草擬改善代領證處辦法正式團體領證手續絕無困難
page 10	今日加山球戰東方重逢警察工力悉敵精彩可期星島愉園迎擊約瑟
page 10	四比一南華挫香港二比二光華和米軍
page 10	協會陸運大會今日目止截報名
page 10	公開女子排球賽南華巧遇仿林
page 10	學界籃球戰績
page 11	戰場性話
page 11	倫敦小姐戰時飾物
page 11	第四章麥旦之死
page 11	兩用潛水艇
page 11	戰具的偽裝
page 11	戰爭的另一種元素一氮氣
