page 1	陝甘兩省之善後問題
page 4	舊中紙價昨報跌桂幣先起後降
page 4	滬外匯市情沉寂
page 4	港外匯市底趨穩
page 4	英美匯兌仍趨縮
page 4	英銀價近期略漲
page 4	團結與尖沙嘴比賽
page 4	廣州西紙市回升
page 4	雛鳳雖屬次席積分與奧隊差頗遠今日兄弟再度交鋒兄隊玉成好事乃有與奧隊爭冠軍資格施福對奧斯德極重要奧隊必全力應戰
page 5	華僑團體電宋子文請注意調節糧食辦法黃慕松電請中央禁蕪米商壟斷米價中央對救濟辦法仍注意　米運粵
page 5	黃慕松禁米商壟斷
page 5	華僑團體電宋子文
page 5	中央注意國米運粵
page 5	周祖晃奉派抵省
page 5	余漢謀南返消息返後將舉行會報昨有電到粵報告遊蹤
page 5	再派員查米荒財部覆商聯會電
page 5	緝私總處杜絕私貨治本法懸賞徵求舉報買私昨在高第路搜查記
page 5	粵財政設施之詳況實行設立機關監督地方財政
page 5	省河民船工會代表大會之決案
page 5	減低大小洋比率派鄒琳南下調查訊兼案定兩粵金融來粵後入桂一行
page 6	官商連日商討解決營業稅潮之真相政府額定每年征收四百萬係按照業體之精確調查商人請減為二百萬政府　將接納風潮可解決稅款仍由政府征收包額包繳不確申報期或可再展鄭芷湘與記者談話
page 6	潮汕官民合力防私後之近況
page 6	農稅收入激增
page 6	私菸葉之進口
page 6	工會防私之聯絡
page 6	娛樂捐加征案日內解決
page 6	曲江農稅局財廳決不撤銷
page 6	建築華僑學校請省府助廿萬元
page 6	長庚機失事後遇難要員之撫卹
page 6	開闢黃埔商埠與招商局航業之發展粵局經理之談話
page 6	堵塞琶江防潦會下月一日成立
page 6	汕舉行救火表演
page 6	胡銘藻條陳護僑
page 6	廣東僑務處長謝作民
page 6	四省特展代表昨開聯席會議
page 6	收買各縣白銀
page 6	昨廿六日正午十二時昨太平分局段內西榮巷四十一號生　店
page 6	從化溫泉管理處以載客汽車往來廣州從化間
page 6	航商公推代表向建廳請免封灘陳科長已允考慮與船務局商討　利辦法西江上游鄉人對炸灘封灘之意見續誌
page 7	李福林
page 7	何女士心愛之物
page 7	黃旭初
page 7	劉蘆隱
page 7	余漢謀
page 7	各國擴充軍備廢銅鐵求過于供星洲錫價亦突然高漲一週之內每擔增高十餘元赴星三等船位值百四十元
page 7	求過于供
page 7	赴星華工
page 7	星洲錫價
page 7	匯豐行股東年會今日上午十一時舉行
page 7	欲奪取巴黎東京飛行獎法飛行家二人中途失蹤原定昨日下午七時抵港
page 7	收買銅鐵
page 7	本港西商會昨討論特惠稅問題華商織造廠須聘合格核數員採用原料以孟買出產為原則
page 7	到會題名
page 7	議事程序
page 7	織造會議
page 7	討論結果
page 7	三中全會閉幕後粵桂中委紛紛南返李福林昨抵港黃旭和明日可到余漢謀曾養甫現在杭下月南歸
page 8	今晚秩序
page 8	門券價目
page 8	領入場證
page 8	前方工作
page 8	煤炭價貴
page 8	傷兵醫院
page 8	鹽業冰糖
page 8	兩種顏色
page 8	女看護隊
page 8	棉被布袋
page 8	美海員工潮告一段落胡佛總統輪復航昨抵港客貨擠擁較平時多四五倍船員謂資方仍未履行新約
page 8	廣九死難家屬會議決要求鐵部償卹廿萬元查辦路局負責人員撥二萬元建立公墓
page 8	東華院新舊總理昨交代羅旭和李樹芬等均到院道賀周兆伍訓勉職工勿苛待病人
page 8	禮堂佈置
page 8	出席總理
page 8	行參　禮
page 8	接見職員
page 8	巡視各院
page 8	電車減收客腳後去年搭客增至四千餘萬打破一九三二年之最高紀錄溢利五十餘萬每股派息四毫
page 8	巴士競爭
page 8	搭客人數
page 8	車輛統計
page 8	溢利方面
page 8	九龍關禁米出口
page 8	時花賽會將開幕學生　觀每人祇收費二角
page 8	港澳電報昨不通被匪偷割海底線
page 8	賑綏美展會消息
page 8	劫殺案獲三疑犯
page 8	兩賊圖劫縫衣婦捕獲嫌疑犯一名
page 8	義學生書法比賽精武體育會倡辦
page 8	青年會建新泳場
page 8	汽車輾斃四命案押候下星期四再審
page 8	澳商會之新值理
page 8	九龍倉將開股東會
page 8	電車華員組織義學
page 8	來賓道賀
page 8	慶蔣賑綏建場香港娛樂場游藝會今晚開幕戲劇歌舞節目異常豐富綏遠前方工作的報告軍士需要鹽菜與冰糖
page 10	少婦團趕製棉衣定下月一日寄綏
page 10	進行組織中之國際婦孺救濟會昨會議討論銷滅本港私娼問題請港府協助斯會之進行
page 11	受災沙田捐費不准減免倘災農情實可憫當設法救濟
page 11	汕尾漁商聯請改善稅率
page 11	惠陽南海皆降雹
page 11	陸村演戲開賭糾紛
page 11	調查結果
page 11	調查綱要
page 11	出發行程
page 11	土地問題
page 11	開始墾殖
page 11	黎人陋習
page 11	個人觀感
page 11	調節糧食
page 11	開發瓊崖為調節粵省糧食先著調查員返省之談話
page 11	經建支會昨已成立
page 11	老夫妻同時死
page 11	明倫堂鐫不舉債碑
page 11	森村鄉間耆英大會
page 11	槍決庇販紅丸犯人
page 11	蛋民請求取締苛例
page 11	開平又破獲吸食紅丸窟
page 11	石龍徵兵之困難一再展限仍有阻礙
page 14	徐州男女青年十人宣言脫離人民陣線揭發人民陣線理論之謬誤並詳述彼等誤入歧途經過
page 14	孫媛貞等十人脫離人民陣線宣言宣言人履歷表
page 14	陝省善後兩問題張楊兩部之撤退各縣縣長之調整
page 14	二人民陣線的根本錯誤
page 14	三抗敵救國之正當途徑
page 14	緒言我們的經過
page 14	日勢力無孔不入之華北日軍下月初換防新徵部隊開到中國訓練在豐台購地建築新營壘
page 15	李張兩逆接防南大
page 15	察省當局沉著應付
page 15	西北近影七
page 15	犯綏計劃難逞匪偽軍已東退多倫張北南壕塹等陣地由張李二逆接守張北存留軍用物品亦東運多倫
