page 1	巴爾幹之和平問題
page 3	匈保要求羅國割地羅馬尼亞決心抵抗羅下總動員令答覆匈保要求匈國邊防軍已推進到羅邊界
page 5	日偽增到南頭深圳
page 5	昨日偽侵佔沙頭角
page 5	沙魚涌輪昨已復航
page 5	雙方在沙灣之激戰
page 5	龍崗各地受災慘重
page 5	新界邊境寧靜如常
page 5	沙魚涌之實地調查
page 5	某集團軍招待南僑慰勞團記王俊報告兩次大捷經過
page 5	梧州百物騰貴近訊
page 5	廣西鹽荒現狀
page 5	高法院分區視察各縣司法
page 5	中山八區海面日艦再增斗門情勢已緊張三澳交通連日已無形停頓江會有砲戰九江情勢混亂
page 5	屈仁則即嚴密佈防
page 5	三澳交通無形停頓
page 5	九江東方發生大火
page 5	江會連日均有砲戰
page 5	廣州灣緊張情形續誌攜帶物品出口受極嚴厲限制棉紗價暴跌各行商多受損失我當局增厚兵力以備應付事變
page 5	嚴厲禁止貨物運出
page 5	日機闖入赤坎上空
page 5	機關團體繼續撤退
page 5	我軍佈防準備抗戰
page 5	車輛轎艇乘機起價
page 5	當局發出安民佈告
page 5	侵淡龍日軍被擊退後昨沙頭角又被日偽侵佔大亞灣日兵續撤轉到深圳南頭寶惠邊境我軍逼沙灣雙方激戰大鵬灣小輪昨已復航新界邊境安謐
page 6	花縣當局加緊戰時工作
page 6	我游泳擊隊進襲偽南海行政署
page 6	順屬水藤六鄉聯防成績
page 6	粵北四縣下月實行新制
page 6	日汽艇在順屬截擊運貨民眾
page 6	廣東省政府羅致學界專才
page 6	粵北食鹽加價每擔三十九元五角
page 6	日機連日在高雷肆虐大炸遂溪廉江梅菉各地詳情逃難僑胞被機槍掃射死傷頗眾　聚海外日艦估計過百艘以外張炎召見游擊司令部署防務
page 6	遂溪廉江梅菉連日被炸
page 6	日軍侵犯青山頭非事實
page 6	難民口述欽縣縣城近況
page 6	小董大塘吳村各地激戰
page 6	一區公署視察員李英之台開實施新縣制談約本年九月開始實行
page 7	英國婦孺實行疏散
page 7	澳洲政府願意合作
page 7	英軍眷屬首先離港
page 7	美僑尚未奉令疏散
page 7	華人代表發表談話
page 7	法荷兩領事之表示
page 7	港府遣送難民回籍分三站發給通過證貧者酌給衣服糧食
page 7	港府四月份財政狀況庫收增加一百三十七萬餘元政費增加九十三萬九千餘元
page 7	廣州灣仍安謐昨日運到豬牛數千頭
page 7	銀行假期宣告取銷
page 7	港府修正輪船則例禁宣洩聯軍國輪船航期
page 7	數十英僑呈請免服兵役
page 7	環島鐵絲網現已佈置完成
page 7	港府下令疏散英婦孺疏散華僑婦孺亦有計劃美籍僑民尚未奉令撤退
page 8	港政府頒布儲糧新例兩　日內米商須儲米　干擔如有意外損失政府負責賠償
page 8	本港受繯首刑女關麗珍將為　一
page 8	港九工團組賑英難民會
page 8	名流抗建藝展參加者極踴躍
page 8	數千包白米昨晨運澳澳門米價已略低跌
page 8	孫寒冰追悼會今日下午舉行
page 8	孤軍營　殺案定星期三開審
page 8	英慰勞會去月收支統計
page 8	兩圖劫犯入獄
page 8	四個婦人被控買賣人口
page 8	粉嶺兒童保育　開幕麥基利哥到場剪綵葉貴松述建築經過
page 8	開幕典禮
page 8	難童教育
page 8	麥氏演詞
page 8	建築經過
page 8	少年暴斃路旁
page 8	英振華會近況募捐成績受時局影響
page 8	修築道路通告
page 8	衛生局之議案
page 8	日　岡　請日不　港日昨彼曾與港府討論華南　　赴上海及廣州灣輪船照常開　
page 10	昨日捧球聯賽南華慘遭敗績十四比一港啤大捷今日共有兩場戰事
page 10	宵來公開籃球賽甲組星島廣大告捷乙組青白棄權勵行獲勝
page 10	東方游泳場今夕開歌樂演奏會南華二次水藝舉行預賽
page 10	星島南遊足球隊已獲星總會批准
