page 1	我國獲任國聯理事
page 5	所得稅先征收公務員之俸薪
page 5	宋士台旅兩團明日開瓊崖
page 5	粵湘經濟合作湘米集中待運粵粵鹽銷湘擬具計劃
page 5	一五五師各部昨續開汕頭
page 5	財廳籌備設財務員訓練所
page 5	余漢謀電翁照垣著靈山民選縣長交代翁氏擬派員赴閩粵邊招撫十九路電舊部昨亦電余總司令請示
page 6	河南製炬煤油廠區所決定取締
page 6	台灣考察團昨到廣州觀光
page 6	看守所人犯前晚鼓噪之一瞥
page 6	中大校車失事記兩助教傷折手足
page 6	廣西軍政要聞近訊
page 6	軍進行
page 6	任命長官
page 6	法官就任
page 6	整理財政
page 6	廣州昨日之火警
page 6	馬萬里畫展情形
page 6	土造火柴衰落中各廠暫停工待銷貨訊聯請緩征統稅未得要領
page 6	國民大會近期商界代表仍在爭持中各派形勢又有變化
page 7	僑民選舉總事務所昨　釋本港國選疑義三點依舊成立之工會有推選權體育會及俱樂部無推選權商號會員名冊須填負責人
page 7	出席委員
page 7	報告事項
page 7	議決要案
page 7	總監督電
page 7	候選意義
page 7	選票問題
page 7	淺水灣今晨火警焚燬游泳棚兩座
page 7	蔣委長電候鄒魯
page 7	小販行兇持刀砍人
page 7	婦人失子憶恨成狂
page 7	汽車失事幸未傷人
page 7	西大將復課盤珠祁昨返梧州
page 7	馬師曾之護喉談
page 7	水澤孝策昨返港
page 7	三千箱白銀運港
page 7	購機祝籌勸捐團明日起總動員勸捐昨日舉行會議議決要案四件南華會定期舉行募捐足球賽
page 8	灣仔發現女乞丐屍
page 8	廣州尼姑紛紛遷港
page 8	英京銀價無變動
page 8	粵當局將建設廣州新魚市一建廳某參議之建議書
page 10	台商攷察團過港
page 10	體育領袖班開始
page 10	青年會德育演講
page 10	偷運製造偽幣銅模
page 10	刑事案件定期開審
page 10	私運中國銅元入口
page 10	當街搶銀被判入獄
page 10	電線失火汽車被焚
page 10	會計公會主席談應改良中式簿記
page 11	十二個縣長更調
page 11	裁撤容奇警察動機
page 11	塔腳鄉發生火警記
page 11	和平撤換教員小學罷課
page 11	撥款賑海晏區災民
page 11	百六師師部移廣州
page 11	司法部委出曲江等地方法院院長籌設高等分院下月改三三制
page 11	九江劫案事主受傷
page 11	公路橋樑被匪焚毀
page 11	台山公和市謀商業復興
page 11	九江塌棚壓傷多人
page 11	東門口發生大火災
page 11	請撤銷禪加二電費
page 11	蕭佛成赴暹過汕談話返國期約在國大開幕後
page 14	賦稅制度
page 14	整理經過
page 14	所得稅制
page 14	稅制原則
page 14	稅制特點
page 14	徵收所得稅制度與施行法孔財長在中央紀念週報告
page 15	日本人覬覦中的大珊礁
page 15	總會沿革
page 15	年會代表
page 15	年會日程
page 15	希特勒詞
page 15	我國留歐學生概況一
