page 1	越南問題的癥結
page 8	本港沮糞辦法將改良衛生局已擬有整個計劃
page 8	李右泉昨日出殯羅旭和之祭文
page 8	印度踴躍參加戰爭英國遠東情報局播
page 8	旅港閩　籌辦華僑建設公司暫定資本二千五百萬元
page 8	代督岳桐昨巡視貧民區
page 8	發起宗旨
page 8	認股踴躍
page 8	進行方針
page 8	八月份各塘所得雨水城門一號塘幾達三十四寸
page 8	畢打士將赴印托特代理財政司職務
page 8	港砲兵又演習
page 8	九龍新巴士梯口增設銅柱
page 8	澳門今日賽馬一元彩票同時開彩
page 8	元培紀念基金可望籌得十萬圓
page 8	九龍關　稅費
page 8	港九決築防空壕十個本港中西區兩個已興工建築九龍居民會力主挖掘防空洞
page 10	東方積極練兵今渡海戰警察下午五時會師界限街
page 10	昨日星島大勝香港南華光華均告敗績
page 10	星島輕取香港
page 10	南華不敵士葛
page 10	昨到暹羅米船一艘本港米價繼續報跌南船兩艘日間到港
page 10	光華敗於米軍
page 10	游泳冠軍賽昨截止報名中西健兒準備演身手本月十七日開始預賽
page 10	今日棒球義賽中華　投路沙
page 10	南華華人小童游泳對抗今夕舉行
page 10	陳福榆繼任東方足球部主任
page 10	李氏健身院海浴
page 10	申電昨日仍緊美荷宋匯繼續趨縮
