page 1	桂晉戰局
page 5	一區通令限制耕地加租未滿約前不得取回
page 5	防範日機轟炸韶關迫疏散物資軍警機關會議決定疏散辦法商店停止日間營業增築壕洞
page 5	撫卹傷亡
page 5	增築壕洞
page 5	防避空襲
page 5	日機昨又炸鯊魚涌投彈八枚斃兩人投下大石頭九塊日軍趕築大頭嶺公路
page 5	日圖變更進犯斗門計劃增兵睦洲龍泉圖牽制我軍所謂開放中山仍有限制僑外人民只准入不准出
page 5	睦洲增　再佔龍泉
page 5	江會各線我軍活躍
page 5	中山開放仍有　制
page 5	粵財廳整理金融近訊向四行借款四百萬元日內過付廿一個月清還以營稅契稅擔保
page 5	東莞雜軍充滿反正情緒雜軍多受疑被捕
page 5	曲江小本貸款處減輕借戶負擔
page 5	粵財廳人員因舞弊在渝被捕商民準備控告
page 5	日機炸桂境
page 5	台山北　鎢山傾瀉壓斃工人甘餘
page 5	我軍擴大攻擊範圍防城沿海各地再起激戰粉碎日囊括防城西北陰謀我軍沿越桂邊境直迫龍州日航空母艦突出現粵南海面
page 6	太平日機場被焚燬
page 6	廣州市及附郊各地饑饉情勢愈形慘重市內遺棄嬰孩時有所見饑民挖浮水蓮充作食料所謂省政府救濟辦法之敷衍
page 6	路上遺嬰
page 6	名浮水蓮
page 6	遺棄死畜
page 6	切實調查
page 6	台山民眾參加青年團訊
page 6	始興壯丁請纓抗日受獎
page 6	增江沿岸連日砲戰劇烈
page 6	順德我團隊大活動雜軍營中發現反戰標語
page 6	目窺潮陽野心未戢我襲澄海北郊
page 6	淪陷區鄉長之不易為因日軍荷責紛紛辭退
page 6	石龍日雜軍之糾紛郎擊天部被繳械解散太平日飛機場大火日空軍被捕十餘人
page 7	人在夢中禍從天降
page 7	消防隊員深宵出動
page 7	李宅不幸一死七傷
page 7	三樓挖出傷者五人
page 7	日軍誘挪輪代運米石直接由暹運至虎門交貨佛山輪事件尚在談判中
page 7	菜蔬市價微跌昨又運到千餘籮
page 7	焚劫貨艇慘案六疑犯詳臬定讞
page 7	華南基督教人士組兒童教養會周伯琴氏來港籌款擬設教養院二十所
page 7	無賴之徒竟勒索鉅款六間銀號確接打單信限三日交款逾期多日絕無反響沙輔頓副警司勸商人毋庸驚恐
page 7	無賴之徙實不足懼
page 7	警探決仍嚴密查緝
page 7	匪徒非欲擄馮儉生
page 7	礦工被毆慘死疑犯三人被拘
page 7	林中原被扣留警方疑遞解出境
page 7	兩茶客跳樓死
page 7	大道西舊樓倒塌釀成一死十二傷慘劇消防隊員深夜出動救傷尚有一婦失蹤疑已殉難
page 8	以閃電管制應付閃電戰
page 8	以戰時環境為演習背境
page 8	所有車輛必須遮蔽燈光
page 8	軍用車輛燈光不受約束
page 8	警　發出後須一律熄燈
page 8	溫州我漁民破日軍封鎖線岸上砲台常擊日艦某外輪船長之談話
page 8	公務人員仍得使用燈火
page 8	婦女兵災會售花成績良好華商會仍繼收捐款超立社可得五千元
page 8	僑胞獻金昨仍踴躍
page 8	小販會募款之成績
page 8	超立研究社昨　箱
page 8	中央警署防空　暫完成
page 8	女兵災會賣花成績
page 8	英籍疏散婦孺分六批離菲赴澳洲最後一批共達二千餘人另有一百餘人獲准回港
page 8	本港教育新例下學期決施行各區義學請免執行未獲准布政司指示各校補救辦法
page 8	羅旭和覆陳蘭芳函
page 8	布政司覆羅旭和函
page 8	跑馬地景光街械劫案昨公審事主自述被劫經過
page 8	七月份多雨港九水塘皆滿水　局之報告
page 8	四賊圖劫住戶一事主被斫傷
page 8	赴星旅客須種痘
page 8	港代督諾爾頓中將頒佈燈火管制演習令定廿七日日落時為開始演習時間採取閃電式燈火管制應付閃電戰中央警署三大防空壕塹已告完成
page 10	今日棒球決賽港啤四戰美兵收入撥作援英戰費工力悉敵定有看頭國際賽改明日揭幕
page 10	中華體協會主席莫慶對六團體退出之意見並闡述晉謁王正廷談話之經過
page 10	南華游泳會今夕對抗港大
page 10	本屆甲組足球聯賽首兩週秩序經已排定星島以香港會為主場東方移師加山作陣地
page 10	四屆德權鼎聯賽連日均有戰事
