page 1	平稀國際收支之重要措置
page 6	召見將領
page 6	進行改組
page 6	伍觀淇將軍領導下禺北游擊抗Ｘ經過一本報北區戰地記者與陳主任之談話
page 6	陽江Ｘ艦炮轟北津
page 6	旅暹華僑救護團回國服務李漢魂去電勗勉
page 6	經費分配
page 6	　鄰難民所
page 6	海豐開始疏散人口物資
page 6	海康捕Ｘ軍鴿
page 6	惠屬各縣奉命栽撤警局
page 6	陸豐成立婦女慰勞團
page 6	海口難船紛逃往廣州灣
page 6	中山舉辦甲長訓練
page 6	新任一區　擊司令昨在小欖召見游擊將領第一區團隊改組及經費分配均決定
page 7	該營屋宇用木建築
page 7	火警發生難民逃避
page 7	四輛機車迅速赴援
page 7	起火原因言人人殊
page 7	被焚之屋為二十號
page 7	難民衣物盡付一炬
page 7	潮僑賑難會再撥三萬元賑濟難民潮安潮陽等縣各得五千元惠來豐順災情現在調查中
page 7	本港某銀行運物中途被換到昆明後始行發覺現懸重獎澈底偵查
page 7	儲為國用
page 7	原令如下
page 7	商會奉令舉辦專門技術人才登記援助工人生活儲為國用有志者可即向商會呈報
page 7	該營難民來自外省
page 7	英賑難會捐訊
page 7	京士柏難民營昨火警貯物室被焚難民衣物盡付一炬消防隊迅速赴救幸無傷斃人命
page 8	僑委會勸僑胞踴躍購金公債購此種公債可厚集外匯基金金融穩固最後勝利愈有把握
page 8	令文如下
page 8	積極勸募
page 8	及格防空人員
page 8	聖約翰救傷隊在平湖設醫院專救治我傷病軍民
page 8	最後勝利
page 8	港九各社團七七實行素食杜其章領導小販義賣
page 8	中環小販團四次義賣特製杏仁餅一萬罐各附通啟籲請捐輸
page 8	廣聯商會購公債五千元七七實行素食一天
page 8	今日美國國慶
page 8	報際象棋賽本報勝朝報南中勝循環日
page 8	歐亞貨運快捷
page 8	年會議案
page 8	足球總會年會定期十日舉行增　義務副司　勸助會務
page 8	澳記者球隊籌備來港比賽屆時或有女子籃球隊同行
page 8	南遊日記三
page 8	籃聯會昨會議本屆頒獎定十六日舉行
page 8	政記公司糾紛案結果水　高級法庭昨日正式宣判仍由原負責人執行清算手續
