page 1	泰越邊氛果然擴大
page 7	禁止暹米入口不確
page 7	暹穀遲熟青黃不接
page 7	嚴防奸商乘機操縱
page 7	滬星商人來港搜購
page 7	暹越米石源源而來
page 7	當局飭令放發存米
page 7	香港青年會國語班歡迎各界男女諸君參加全期學費二元四角
page 7	九針島海盜又劫貨艇掠去貨物約值千元
page 7	新舊歷年關延長營業時間商人如認為需要可向政府請求輔政司那魯麟昨對記者之談話
page 7	居聯會派棉衣
page 7	六十歲老人被控教唆兇徒殺子　頭殺人滅屍案獲三疑犯死者屍體在一荒塚中尋得
page 7	保兒會之年報去年入不敷出
page 7	徐學禹昨返閩
page 7	糧食統制專員下令放發囤米平抑市價三日內港米價每擔竟漲二元餘貧民痛苦不堪為百年來所僅見
page 8	追述案情
page 8	拘捕五人
page 8	起回贓物
page 8	私藏無線電機被告押候再審
page 8	代督難市民注意營養方法昨在皇后戲院演講
page 8	明日試放警報各區同時舉行
page 8	聯美機昨抵港
page 8	中山同鄉會再撥款二十萬救濟故鄉難民
page 8	違犯工廠法例劉枝機器廠被重罰
page 8	英禁中立國商船航行敵國領海船東須具相當保證否則停止給養接濟
page 8	救濟新界難民賑聯會正謀根本辦法
page 8	龍蝦灣沙灘　髏之研究疑係風災死難者
page 8	大批魚菜到港內地貨運仍極困難
page 8	模型飛機協會首次理事會議比賽冠軍免費乘坐飛機
page 8	的士公司擬再增車費第一哩將增至六毫俟當局批准即實行
page 8	無業遊民藉代領移民證圖利索費由五元至十二元移民局積極設法防範
page 8	糖商會新董事
page 8	漫畫比賽揭曉培正學生獲冠軍
page 8	本港名流發起募捐運動謀自滇省建一臨時醫院
page 8	旅日英婦孺陸續撤退又有六十人過港赴澳洲津滬英僑紛紛回國請纓
page 8	華探長石堆破獲選南學校劫殺案捕獲案匪三人起回贓物一部尚有兩疑犯被扣留可望釋放
page 10	足球總會下週商討要案本季球事已屆繁忙階段銀牌賽明年二月始舉行
page 10	二屆白蘿仙盃現已開始報名
page 10	體協會陸運項目擬定
page 10	昨日學界籃球賽中級八桂擊敗華人初級華仁輕取仿林
page 10	友誼排球賽記者不敵西南
page 11	德國的作戰經費
page 11	海上軍用艇
page 11	納粹軍用飛機列傳上
page 11	南國統治者群像
