page 1	英國對華新借款之意義
page 5	襲擊三華Ｘ營經過
page 5	Ｘ迫鄉民組織偽會
page 5	粵財政不敷將增稅舶來品籌設財政員訓練所
page 5	春季畢業會考停止舉行
page 5	海南酣戰雷州緊張粵南抗戰軍事配備就緒桂軍精銳開到扼防韋雲淞任南路指揮Ｘ機Ｘ艇頻擾各地七八兩區實行聯防
page 5	七八兩區切實聯防
page 5	Ｘ機Ｘ艦頻擾各地
page 5	廣西軍隊源源開到
page 5	Ｘ軍週來增兵實情
page 5	潮汕防務佈置
page 5	東路我軍已下總攻令初期反攻分路進撲增城新四軍在游擊區之收穫
page 5	我分路圍增城
page 5	各路游擊活動
page 5	我砲兵轟毀河清Ｘ彈藥庫Ｘ又大部退去餘Ｘ夜集紅樓警戒Ｘ誘無知婦女小童作間諜被發覺
page 6	北山墟昨被劫
page 6	粵省軍管區羅致軍事人材
page 6	印花稅人員附逆汪局長飭屬嚴防混銷
page 6	Ｘ軍入村
page 6	設宴款待
page 6	眾槍齊發
page 6	三屍尚陳
page 6	順德新縣長定期到縣履新各界聯合組餞舊令尹
page 6	更調縣長
page 6	新會民眾簽訂抗日鋤奸公約定總理逝世紀念日舉行
page 6	四邑船舶實施戰時合作管理昨在江開航業代表會已決定各項進行辦法
page 6	先指定受惠者漁民貧戶及團丁
page 6	遂溪麻章電台昨已開始　務
page 6	徐聞縣府禁止船舶駛瓊由瓊開來者扣留核杳
page 6	順德北溪自衛團決定抗戰Ｘ知　備不敢來犯
page 6	五區司令部槍決漢奸
page 6	勒流便衣勇士衝入偽會槍擊四傀儡一聲喊殺四傀儡三死一重傷全墟鄉民懼Ｘ搜村狼狽逃難
page 6	出任傀儡
page 6	時到騷擾
page 6	省行政人員訓練所已開學
page 6	肇慶各界組前方慰勞團
page 6	粵鹽務局恢復寶惠兩縣鹽政
page 6	深圳被炸後近況商民　清　街道免礙衛生　各鄉警局聯絡　防飛機
page 7	港督羅富國昨參觀平民宮
page 7	英后輪今離港
page 7	新年節約運動僅二百餘家遵行
page 7	東院當局訪新總理勸駕
page 7	港府決增厚空軍實力徵募中西市民組空軍義勇隊增調戰鬥機及高射炮隊駐港
page 7	工廠瓦面何來重傷少婦該廠人事前曾聞重墜聲查問鄰近住戶均不識其人
page 7	賑濟博羅難民中賑會捐助大批衣藥
page 7	中環街市五月一日開幕
page 7	茶香室日顧客被殺案被告李炳津改控謀殺罪
page 7	英賑難會會議擬假中環街市賣物籌賑
page 7	徵募義勇隊
page 7	佈置防空網
page 7	女青年會募捐
page 7	保育會昨會議
page 7	復旦同學會香港分會成立
page 7	留港中委陳策等電請中央再撥款散賑瓊崖既被蹂躪雷州復迭遭狂炸災區愈廣難民愈多待濟亦愈亟
page 8	腦脊炎症流行極烈
page 8	居民擠擁至易傳染
page 8	發現病徵須即延醫
page 8	娛樂場空氣須流通
page 8	粵國防公債開始付息粵債勸募會港分會之通告
page 8	索償保險費案押候下星期再審
page 8	華商會餐舞會今晚在思豪酒店舉行
page 8	抗戰漫畫班續辦
page 8	英國新貸款
page 8	醫務局通告腦脊炎症流行極烈患者之多為二十年來所罕見頃刻可以死人市民亟宜預防
page 11	小　球協會出發徵求會員定十五日截止
page 11	網球因雨無戰事星期一日繼續舉行
page 11	記者會為被判停賽三球員再向籃球聯會申辯列舉三點理由證明當日之誤會
page 11	籃球聯會今晚舉行女籃球冠軍頒獎屆時由梅芳對抗女聯隊男子聯賽同時開始
page 11	芬蘭如何籌備第八屆世界運動大會四
page 11	十萬游客將使小城擠到爆裂的程度
page 11	赫星福斯真正成了一個旅館
page 11	特別銀牌準決賽今日掃桿埔場南南戰東方工力悉敵定有好看頭得勝隊將與警察決賽
