page 2	我欲謂　句良心話為爭　　陳是非者發
page 3	湯薌銘八日晚或九日到漢口各界預備歡迎但聞劉承恩因虧官錢局款十　萬擬先離任以蕭耀南反對始罷現有十日交替說
page 3	北京電黎元洪電請孫中山北上並因孫派代表謁黎將可構成孫黎之諒解
page 3	北京電孫洪伊張繼各有代表到京現方與政府疏通關於國會之意見其主張之要點以為倘不能構成南北妥協則南方議員北上頗費躊躇並謂孫中山為護法派之領袖現於南方各省尚有勢力不能捨去其人而成就南北妥協云
page 3	楊永泰五日抵滬即已北上
page 3	上海電保定來電謂孫中山代表謁見曹錕謀疏通意見現聞黎元洪因此已派員南下迎迓各方面頗為注目
page 3	七月六號北京電廣東省議會贊成統一之通電為北京各界注意各公共團體如教育會商會聯合會等代表已表決致電孫逸仙表示讚頌孫之護法功績但續謂自舊國會恢復　已解散過渡政府時期故應　銷臨時總統之職
page 3	七號倫敦電泰晤時報對報告廣東省議會通電于張撤銷廣州之政府而贊成中央政府著有論說謂廣東係中國革命之生產地若該省議會要求承認中央政府則中國統一可謂為有四份三之勝利不論附於孫逸仙之激烈黨　如何言論動作也此等入於岐途之人無論飾詞如何及與黎元洪直接關係如何其之人無論飾詞如何及最後之大打擊至於廣東　會議員允否赴北京雖未得完全保證但該省議會之舉動足決斷大多數人之態度而能使國會在北京歸結將得足法定人數　會也
page 3	海圻等艦與粵軍壹致行動
page 3	省城加緊戒嚴之原因粵軍決於日內攻取取長洲
page 3	搶劫案日記
page 3	黃埔方面之軍事消息
page 3	陳永善香山勦匪續記
page 3	廣州要聞
page 3	　繳　餉
page 3	風訊
page 6	王懷慶被告熱奉軍撤退
page 6	　報對中國政局之危言
page 6	王正廷謀收復西南海軍
page 6	顏惠慶　　就職　過電
page 6	日本撤銷在華郵局之先聲
page 6	粵來議員　陳炯明索賠
page 6	旅滬國會議員宣言兩通
page 6	李樹芬醫　回港
page 6	銀價
page 6	官地出投
page 6	被控拐帶
page 6	業主倒裝水喉
page 6	中華聖教總會舉定新職員
page 6	商務局報告
page 6	銀行發幣月報
page 6	改訂付滇　裏郵費
page 6	不入屋租則例之屋
page 6	華商籌辦新銀行
page 6	結志街劫案續聞
page 6	松秀西街命案
page 6	被控開三合會案再押候
page 6	在水坑沐浴被罰
page 6	打磨工人被車輾斃
page 6	義務平夜　令館招生
page 6	被控阻街
page 6	被控用刀傷人
page 6	被解未滿期回港案
page 6	被控醉酒滋事
page 6	　朱兩　在外之言論
page 6	關　中法銀行要聞
page 6	英國派兵駐　國
page 6	德國馬　大跌償
page 7	鎗決運動軍隊匪犯
page 7	殺氣滿天之廣西兩廣同一運
page 7	昨日　城之砲
page 7	英德城之軍事消息
page 7	兵房被放火焚燬
page 7	粵商團軍之要函
page 7	吳飛對於省長問題之意見
page 7	軍警聯合巡察處簡章
page 7	廣州市最近之蕭條景況
page 7	王和　赴任廣西沿江招撫　
page 7	擊散南屬民軍
page 7	槍決搶犯
page 7	江門亦槍決運動軍隊犯
page 7	獵德河面之槍聲
page 7	商　議請禁軍人強迫兌現
page 7	執獲放火物兩宗
page 7	仙羊街搜獲炸彈炸藥
page 7	瑣聞一束
page 7	台山
page 7	海關焚煙
page 7	南番兩縣佈告市　境界
