page 1	日內閣總辭職與新閣產生
page 8	增僱伕役洗街衛生局昨日議決
page 8	清糞工人被控斬傷苦力
page 8	監獄命案提堂死者為毆林柏生之陳錫林
page 8	難婦仰藥自殺
page 8	閩省名茶初上市
page 8	夏令籃球賽飛鷹不敵警察
page 8	今日小型球賽
page 8	南遊日記廿六
page 8	加拿大籃球隊今晨乘輪抵港南華整陣會客軍中青會準備作熱烈之歡迎
page 8	小童總會昨日舉行水運各區參加者達二百餘人
page 8	利便戰時運輸英法政府昨徵用商船頒佈統制商船緊急法令已有數輪中途停航候命
