page 1	遠東交通史之新紀元
page 3	胡故主席昨舉行國葬全國各地開會祭悼並下半旗停止娛樂誌哀
page 4	一失足華臣喪師
page 4	干尼路一腳回天
page 4	文員隊先開紀錄
page 4	九華會在廣州之戰二對二戰和警察隊員分兩批已先後返港葉九皋語此行印象甚佳
page 4	今日學界籃球賽高級英皇對中南
page 4	奮鬥之下華隊佔先
page 4	兩隊球藝大有變異
page 4	陸軍反攻依然不利
page 4	完場時屆結果和局
page 4	加時再賽華聯獲勝
page 4	海軍場上一段奇緣新仔奮鬥陸軍聯也非其敵華聯加時內得勝陸軍聯忽然遜色華聯全場領先最後柯永遠射打成三對三和局加時再賽陳德輝更進一球奠定江山
page 4	在九龍球場舉行之麗華杯初賽四比一文員淘汰海軍聯地諾士獨取四球干尼路打破光蛋
page 5	一五五師部暫設揭陽漳各界歡迎黃師
page 5	四路總部各處長新定官級
page 5	中央大員到粵後之行蹤北返期多尚未定
page 5	蔣軍　之英留粵勸辦海防續訊張氏暫緩北上考察四路軍復聘張充高級參議余總司令等聯荐張任某要職
page 5	胡主席國葬之情形
page 5	幻中學潮請孫科回邑調處
page 5	事前佈置
page 5	禮壇一瞥
page 5	行禮情形
page 5	市面情形
page 5	本省軍運已完畢行營運輸處駐粵辦事處
page 5	粵閩邊境公路均有興築
page 5	余總司令決派員會往各區
page 5	中央派遣工程師多人來粵
page 5	總部軍墾處惠陽糖廠廠長官　辭職
page 5	總部審計處
page 5	鎢業管理處長馬育航
page 5	鹽運使唐萱
page 5	德宣分局段內惠愛中路九十二號莫記乳豬店
page 5	軍委會電余漢謀完成全粵國防交通網特委陣章甫任交通處長
page 6	廣州籌款購機訊
page 6	商界勸捐展期
page 6	三路職工捐款
page 6	省港歌伶籌款
page 6	入口貨蓋嘜列號問題二影響農稅局收入各行商仍請改善報關行抄發海關布告
page 6	粵漢鐵路撞車慘案續聞
page 6	汕綢緞布業防私會函香港各辦庄協助防私
page 6	　　商再請維持習慣營業
page 6	撥款發展農村訊
page 6	社會局取銷小學合作社組織
page 6	存款利息所得稅准展期開征
page 6	筵捐風潮完全解決筵捐佣金歸還工人收入財廳允予改善罰則昨日酒菜照常開市
page 7	難填慾壑
page 7	捕獲疑犯
page 7	祭胡代表紛返港
page 7	未婚夫婦大比武
page 7	華商出品入口稅財部允磋商改善
page 7	貨車撞傷一路人
page 7	文藝界追悼魯迅擬假青年會為會場
page 7	本港義軍飛行員入學時須繳按金
page 7	汽車互撞之慘劇死一人傷三人
page 7	瞽女數十作旅行石澳引吭高歌為狀至樂
page 7	東華萬善緣法會請各界參觀開幕禮
page 7	兩少婦服毒獲救
page 7	城皇街搶匪猖獗
page 7	顏甘棠談粵電政
page 7	天一快船恢復航期
page 7	李杜氏昨已返港
page 7	狂風折野花灣仔乍非道裸體豔女墮樓死難填慾壑暴客施威失足魏樓阿嬌絕命
page 8	捐款今日匯京
page 8	全僑獻機六架
page 8	醉漢石擊日商店
page 8	協恩新校舍奠基
page 8	械劫案傷者出院
page 8	鐘聲勸捐員撮影紀
page 8	吳凱考得飛行執照
page 8	西婦乘車遺失珍飾
page 8	無牌小販被捕受傷
page 8	購機捐款今日匯京當押行昨捐二千元
page 10	港廠商組考察團考察南洋各地商務
page 10	廣州古玉展覽港訊
page 10	贈送蔣委員長近照
page 10	農人食河豚中毒
page 10	患瘧症者已銳減衛生局防　得宜
page 10	羅旭和今日返港
page 10	精武會友聯歡會紀
page 10	孔教學院昨日講學
page 10	高陞院七十週紀念
page 10	優生與節育關係華人慈善會定期演講
page 11	會城五顯沖劫案擊斃警察刺傷事主
page 11	海陸豐漁民請撤銷海味捐
page 11	辦理禁煙進行近訊
page 11	新會江門戲院閘口糾紛
page 11	縣府舉辦乞丐登記
page 11	汕頭華僑互助社電蔣院長俯恤僑艱請收回種痘費令以示護僑之至意
page 11	防軍驅退伍兵出境
page 11	組巡查隊梭巡各鄉
page 11	縣府不准撤銷樑捐
page 11	農民請取銷鹽池捐
page 11	縣府整理各築路會
page 11	兇徒狙擊鄉長續聞
page 11	觀瀾車場火警傷人
page 11	汕市籌備國民經濟建設支會現已開始籌備調查出產物品
page 14	陣地堅固
page 14	我方軍隊
page 14	魯迅遺骸在萬國殯儀館大殮每日瞻仰遺容者五千餘人
page 14	逮明上訴案平高法院觀審記逮明當庭落淚大有悔不當初之概劉景桂消瘦減容光態度劫很大方
page 14	乘隙越境
page 14	李守信部
page 14	警衛彈壓
page 14	戰雲瀰漫之綏東我軍兵力雄厚陣地堅固王英匪部時入陶林搶劫
page 15	法庭佈置
page 15	審訊情形
page 15	最新科學化的美國火警偵探術
page 15	律師辯論
page 15	逮劉裝束
