page 1	日外交煙幕之醞釀與吹散
page 11	番禺各區公所定期裁撤之續訊聯鄉辦事處主任已委出定本月十六日就職鄉人　送第三區區長
page 14	到豐台去看看
page 14	日方藉口進兵
page 14	日鮮人設賭場
page 14	太陽旗的飄揚
page 14	東北軍移防豫皖各部隊分批運輸中于學忠將駐節蚌埠
page 14	日方擬建機場
page 14	如入異域之感
page 14	滄石路建築將實現中日人員在津迭次會議建築費向滿鐵會社貸借
page 14	赴綏慰勞之陳波兒七日返抵上海在前線演戲觀眾踴躍
page 14	交通經濟軍事樞紐華北生命線之豐台日軍擬建築營房子餘間那裏埋藏著巨大危機
page 15	四獨裁政治是北條足利之復活
page 15	五大皇親政即立憲政治
page 15	政黨之腐敗乃日本全體之罪
page 15	日本之將來二
