page 1	失學難童教育運動
page 6	廣東三年來綏靖概況余主任漢謀在省參會報告
page 6	剿撫盜匪
page 6	組自衛團
page 6	李務滋巡視新開鶴線勗所部團隊殺Ｘ
page 6	省防空司令部派員視察潮梅
page 6	揭陽潮安兩縣易長
page 6	台山海面現無Ｘ艦縣府勸民眾毋自擾
page 6	粵財廳繼續裁減苛雜在廣羅連三縣設處收買金沙禁包征營稅訂整理稅務綱要
page 6	粵省厲行根絕Ｘ貨策動各縣市區組會推行修正根絕Ｘ貨實施辦法
page 7	開會理由
page 7	共同目標
page 7	始終一貫
page 7	我政府在港澳舉辦戰時衛生人員登記醫生護士均須據實填報不　例登記者決予懲罰
page 7	衛生人員登記辦法
page 7	不登記者取銷執照
page 7	美大使昨已離港赴渝陸軍武官麥曉隨行
page 7	實施時期
page 7	精神動員
page 7	港九百餘社團昨舉行國民宣誓典禮實踐三個共同目標五大綱領掃除萎靡腐敗習慣抖起精神
page 8	港府修正無線電則例利便公務員查禁私設電站
page 8	紅樓夢閨秀名流以今晚義演
page 8	孔聖會賣花籌得六千餘元
page 8	留港英僑遷移登記法例
page 8	廠聯會續發國貨證書手續略有變更較前為嚴密定本月十五日起繼續簽發
page 8	衛生局之議案六日開會討論
page 8	昨日賽馬之成績熱門馬果不負眾望全日十場冷門馬均失敗騎士晏加那生共勝四次
page 8	暴客誘劫導遊女鋼線灣頭大施毒手掠金指環三枚逃
page 8	學賑會將會議討論出席世界學聯會問題
page 8	水警署服務員勒索疑案押候三被告證據不足已獲釋
page 8	九龍紅磡區防空工作開展
page 8	學賑會女學團昨舉行夕陽會
page 8	皇后碼頭一部份禁止船艇停泊
page 8	洪流劇團將來港
page 8	七姊妹發現浮屍
page 8	我最高法院扣押政記公司六輪船謂張本政等圖將輪讓與日本此舉有犯刑章現正依法查辦
page 10	嶺南與國民校友小型足球義賽續誌
page 10	南華泳場動態組織游泳訓練班及水球賽
page 10	籃聯會昨開會議議決要案多項
page 10	學界排球賽
page 10	記者體特會為準備應付將來與伶星作排球義賽起見
page 10	南華體育會舉辦之男女會友排球賽會
page 10	精武音樂部近訊
page 10	復日籃球隊征港
page 10	棒球聯賽兩華隊今碰頭南華經新陣勢應戰友啤昨重創香港會
page 11	開始反攻
page 11	行近前線
page 11	理教會中尚有外藉教士
page 11	炮彈落地
page 11	蕩然無存
page 11	從事耕種
page 11	約略望見
page 11	日軍控制下內蒙之惡劣狀態商業與金融悉為日軍操縱偽蒙政府由日方顧問支配綏遠各城市常遭華軍襲擊
page 11	內蒙情況
page 11	日人統制
page 11	盜賊橫行
page 11	西線游擊在西線上獲得了新的勝利
page 11	政治局勢
page 11	大見惡化
page 11	華正規軍
page 11	隨縣前線視察記中日兩軍傷亡數為七與十比
