page 1	取消冀東偽組織問題
page 4	電影界注重體育南粵辦銀牌比賽由明星黎笑珊捐贈獎品五日開始兩隊對壘四場
page 4	普通界籃球賽南華南出戰港大
page 4	倫敦銀價昨回升
page 4	上週港市英美匯價表西人市近期賣價
page 4	四比二擊敗協會隊總會隊獲督憲杯惠堂桂成缺場協會實力大受影響亞輝布力先後受傷退出戰事劇烈布力留醫九龍醫院腳骨斷否尚未悉
page 5	改善機構保安司令部改組訊擬增設副司令及參謀長
page 5	民食會案禁攻計省府已派員澈查
page 5	孫宋中旬南下訊
page 5	吳主席鐵城就經建分會會長後將由省府推動國民整個經濟之建設增設經濟調查室協助進行需要調查
page 5	洋穀米同運入口續訊湘米前有操縱意現又運粵謀競爭
page 5	洋穀運省
page 5	洋米續到
page 5	湘米競爭
page 5	江門情形
page 5	獎勵人民墾殖建廳擬定辦法
page 5	李白黃電林主席
page 5	劉維熾抵滬即入京任務在完成粵重工業在京逗留三天赴滬候輪南返
page 5	根本救濟粵省糧食華南米業公司擬在粵籌設碾米工廠購運各省穀石推展國米銷場實業部增加粵糧生產擬專設機關辦理
page 5	監誓及視察司法覃振昨乘車抵省吳主席改革就職原因另一說省府改組政院有明日決定訊
page 6	桂請減鹽稅理由
page 6	市財政局計劃手車收歸市營限三年內辦理完成改善車伕生活近訊
page 6	廣州各行商分配稅額之結果未配妥者廿五行
page 6	新電廠開始焙爐下月試機七月供電
page 6	廣三路將加快車
page 6	黃埔大道限八月完成通車下水道計劃候核
page 6	河南舊鳳凰鄉演戲開賭賣狗肉
page 6	湘女被拐來粵為警察截獲
page 6	燕塘軍分校於昨二日上午七時
page 6	廣州市開辦保甲
page 6	龍津西路二百八二四號
page 6	羅卓英電告
page 6	廣九焚車難屬已赴局登記者卅餘人據難屬聯會常委言此案尚不免有枝節
page 6	追維積欠數年之娛樂業營業稅問題娛樂場　股東數易新股東不允代舊商人繳納欠稅稅局原諒將電呈財部解釋准山廿六年開征
page 7	互惠重要
page 7	現目狀況
page 7	屬土市場
page 7	本港方面
page 7	我國長途飛行家許啟興由荷國飛抵本港明日北飛考察祖國航空事業胡文虎等昨設宴為許氏洗塵
page 7	船員打架被斫傷
page 7	香港飛剪機五日可抵港六日飛美開始載客
page 7	電池廠開始遷徙
page 7	水塘中撈獲浮屍原來是因貧自殺
page 7	少年自縊幸獲救
page 7	澳門白銀塘五洲酒店男客被兇徒以鐵鎚擊斃頭有傷痕頸口鼻均用繩纏縛三客同來投宿事後兩客失蹤
page 7	婦女界祝勞動節
page 7	女青年會
page 7	女聖保羅
page 7	覃振昨乘車上省鄒敏初陳耀祖同行
page 7	五月份免稅洋米粵各海關開始登記九龍關改善登記手續登記完畢始填申請書
page 7	東院召特別會議
page 7	省府聘建築專家計劃各項偉大工程
page 7	去月份本港氣候
page 7	改進港商務建議應與其他英屬土訂互惠約貨物項下加糖與水泥兩種
page 8	瓊崖心影錄三中央通訊社記者馮華熙
page 8	繁盛街市商店林立
page 8	瓊崖八珍飽嘗其半
page 8	瓊崖十利不讓台灣
page 8	黃強放影問黎影片
page 8	青山道汽車傷人
page 8	莊文共擬在瓊設菜油廠
page 8	美梵鈴家上省演奏
page 8	通濟公會徵求會員
page 8	兩副警司例假返國
page 8	紅香爐峰特寫私娼二
page 8	尋芳選色
page 8	寨中女傭
page 8	洞裡藏春
page 8	社會關係
page 8	警官舊地重遊述四十年前之香港故事慶祝維多利亞皇后銀禧　生慘劇西人乘坐舳舨必有警官隨艇保護霍亂症流行時居民飲威士忌代水
page 10	閻模楷祭宋帝陵提議建亭立碑供後人憑弔
page 10	暹霍亂症仍肆虐
page 10	姚　考察日絲業
page 10	女青年會組廣州教育觀光團定本月十三日出發
page 10	此行目的
page 10	觀光程序
page 10	孔教學院昨日講學
page 10	新發明之無線電機
page 10	美人搜購澳首次航空郵票二分郵票現已值港幣三元
page 11	計劃繁榮北海
page 11	赤坎市商會討論或稅申報
page 11	粵北牛瘟甚烈農林局派員注射
page 11	桂洲選三屆自治員
page 11	土菸放款增加廿萬
page 11	惠樟路上捕獲劫匪
page 11	反對征工修圍被拘
page 11	舖宅捐又展期裁撤
page 11	擊斃圍毆隊兵匪徒
page 11	九江協治隊已停辦
page 11	通令依時升降國旗
page 11	食老鼠肉毒斃兩命
page 11	令區鄉錄用退伍兵
page 11	潮陽派員督辦煙民登記
page 11	淩屋排鄉火警斃人
page 11	縣立戒煙醫院成立
page 11	匪徒圖燬龍山糖廠
page 11	九江米價陸續低跌
page 11	惠州截獲大幫出口穀船
page 11	改良廣東地方會計之意見三
page 11	開平水口市緝私處搜獲大宗私貨詳誌
page 14	賑災辦法
page 14	賑款籌劃
page 14	急賑辦法
page 14	平糶辦法
page 14	工賑辦法
page 14	農貸辦法
page 14	進行情形
page 14	長沙之新聞事業
page 14	日報概況
page 14	晚報現狀
page 14	經費拮据
page 14	記者團體
page 14	軍事政治完全解決後陝北災民待賑孔亟業已決定四項根本辦法何紹南赴綏德辦理一切
page 15	江南三月採茶忙龍井茶製作概況三獅峰十八棵禦茶世界第一新菁採摘炒焙手法要敏捷
page 15	工資甚低微
page 15	綠茶與紅茶
page 15	刺汪宋案判決書四
