page 1	捷克第二度事變
page 7	商界精神動員華商總會將領導實行
page 7	帝航機決在河內設站經多次接洽已得越政府批准中航公司仰渝線月底可通航
page 7	麻華機工起程歸國
page 7	傷兵難民待救正殷賑聯會精神忽轉散漫昨因出席人數不足又宣告延會望會員諸君繼續努力免失眾望
page 8	輪之一轉王正廷在扶輪會演講
page 8	教育家謝飛烈借地開會救護會議變嚮導會議鐘聲慈善社認手續不合今晚召開大會提出討論
page 8	文化界中人
page 8	蘇安平劉君任夫婦對簿公庭蘇謂劉戀新歡虐待妻室請求判令解除夫婦關係
page 8	勒索疑案押候
page 8	毀結婚相片
page 8	竟無情至此
page 8	不道德之事
page 8	文咸東街中和庄今晨發生血案兩伴酣睡中被斫重傷兇手行兇後跳樓殞命
page 8	教員周世聰
page 8	四賊械劫住戶斫傷婦人一名
page 8	窮　音九龍馬頭涌平民宮　　僑樂村環境清優設備完善惜　舍不多為審查住客資格改十九日開幕
page 11	榮業準決賽健光今戰威靈頓
page 11	中華體協會決為英賑會舉行足球義賽星洲中華球隊月底來港能否參加義賽屆時決定
page 11	公開男籃賽今有三場舉行甲組培英對警察
page 11	今日足球聯賽東方迎戰光華南華兄弟之戰改明日舉行
