page 1	維里斯之聲明
page 5	蔣委員長令各戰區嚴禁軍人包庇走私四邑加緊封鎖淪陷區域
page 5	江會日偽勒收禾票豬捐外海豬商　市
page 5	嚴懲軍人庇運資日
page 5	高明縣　患關係各縣米價
page 5	呂逆擴編偽軍偽師長已內定
page 5	黨員不得購用日貨
page 5	旅美華僑犒勞粵北將士余副長官司去致謝
page 5	寶安我軍昨再奏捷攻入深圳日軍死傷五百餘翟司令率部衝入蚊洲機場劇戰我攻克大頭嶺擊毀日戰車一輛
page 6	日犯馬村遭我痛擊
page 6	神岡激戰我克西湖
page 6	石角日偽突　被殲
page 6	廣州日軍拉伕一萬五千名調赴南路及瓊崖充當軍事工役市區及附市鄉村連日騷擾不堪
page 6	擇其少壯
page 6	馬路拉伕
page 6	附市鄉區
page 6	提前走避
page 6	蕭條情況
page 6	每區五百
page 6	某商販談西江木油商業
page 6	廣東省府會議定安萬家易長
page 6	澳鉅劫案破獲
page 6	從化日蠢動受挫我掃蕩神岡克復西湖馬村楓圍竟日激戰日重創潰竄粵路日窺長嶺我圍攻石角奏捷
page 7	大批偽鈔發現經過
page 7	真偽鈔票鑑別方法
page 7	商振會徵求傷友運動尚在廿餘人未繳報成績商會去函督促早清手續
page 7	淡水魚竟絕市內地絕無運來
page 7	新靚就演劇籌賑東江難民
page 7	渣華輪船公司華人代理擴充營業
page 7	葡議員今日向立法局質問疏散婦孺計劃律政司請通過兩法案財委會討論追加政費
page 7	強制疏散
page 7	附加政費
page 7	藍塘道謀殺案兇犯盧九伏法盧患痘症故延至昨日始受刑巡理府循例開堂研究其死因
page 7	商會演劇籌賑本週末在太平戲院舉行
page 7	疏散人口聲中富人紛紛搜求美鈔歹徒乘機推出偽幣傳有兩銀號已被騙偽幣票甚多屬百元
page 8	肇事海面
page 8	慘案發生
page 8	漁船赴救
page 8	十人失蹤
page 8	莫秀英在菲患病拍電來港延請名醫王子傳應聘昨飛菲
page 8	港政府無加徵酒稅意
page 8	達但納爾海峽問題一英國情報部遠東局廣播
page 8	各界賑聯會決緩辦難民工業社因開辦費尚未籌足
page 8	崇正救難會續賑新界難民昨赴馬草壟施米
page 8	赴津客免種痘
page 8	去年全港商務調查一建造首飾生意一落千丈柴米鋼鐵等行多獲厚利
page 8	金山庄行
page 8	洋貨行
page 8	織造行
page 8	留營難民略增
page 8	糖薑行
page 8	柴行
page 8	麵粉行
page 8	豬肉行
page 8	鮮魚行
page 8	建築行
page 8	訊美機昨離港
page 8	大學聯誼會討論國際問題明日在女青年會開會
page 8	兩人被控拐帶同居少女女童陳敬好述被拐經過
page 8	醫校舉行畢業禮
page 8	博寮洲海面貨船誤觸水雷慘劇全船粉碎十榜人失蹤料已殉難漁船救回五人一少女因傷殞命
page 10	宵來乙組籃球賽康元擊敗保羅青乙壓倒精勵
page 10	夏令籃球賽今日僅有一戰高級鷺星抗僑星
page 10	高級學籃賽鑰智正式退出亞軍賽程今日重編
page 10	中華二次水藝月底舉行
page 10	友誼水球戰訊
