page 1	　歐亞大局
page 8	傳Ｘ又截擊歐亞機德籍機師受傷迫得降落但歐亞公司未接到報告
page 8	中旅劇團義演下月四日五日兩晚
page 8	婦女會今賣花
page 8	許念曾昨抵港
page 8	兒童保育院徵求圖工教員
page 8	楊壽昌追悼會明日午刻舉行
page 8	有利銀行年報
page 8	酒樓茶室工會決增設婦女部
page 8	萊輔特讀書會十七日召開首次會議
page 8	少年突被狙
page 8	去月所得雨水
page 8	匪徒入店搶劫
page 8	失業海員激增
page 8	青年服務隊今日開始訓練
page 8	一人墮樓重傷
page 8	汕輪搭客未准自由登陸
page 8	北河街昨晨火警
page 8	後海灣與九針島海盜截劫貨客艇兩艘各城均持犀利槍械兇悍異常掠木油數百罐價值二千餘元
page 11	港澳埠際足球賽定明日在澳舉行滬將江善敬效力澳隊實力不弱
page 11	籃球聯會新訂秩序
page 11	網球昨無戰事
page 11	今晚三場籃球
page 11	南華泳場今開放
page 11	小型球友誼戰績
page 11	甲組尋杯冠軍誰屬決於今日之戰海軍新人新陣迎擊南南縱和亦得錦標大戰下午四時半爆發于海軍場
