page 1	新生活運動與香港
page 5	越南僑胞辦米平糶
page 5	請改檢驗湘米標準
page 5	商善界辦平糶未成
page 5	全省土菸專員將採官督商辦制昨日菸酒稅局會議結果由煙商擬辦法限五日內呈局
page 5	開發瓊崖之積極英國準備投資續訊英大使赴瓊否未定或派參贊前往調查
page 5	土製煤油商議應付整理辦法工人亦籲請救濟
page 5	粵市外商之調查
page 5	市商稅研會審查勻攤營稅記
page 5	區委員兆榮暢談兩粵所得稅進行近況外商有美孚等多間遵限申報繳稅廣西已托財廳長黃宗岳就近辦理中央所派視察所得稅專員昨日北進
page 6	建廳負責人談甘竹灘短期內可罷封宋子文劉維熾之　程　民族渡案由法院專責辦理展限徵集炸灘意見之原示
page 6	李祿超談今後廣九路政進行行車指導辦法已擬定
page 6	李局長談
page 6	行車指導
page 6	消除對內競爭聯合對外發展航業范伯器等擬定意見書準備向航會提出討論
page 6	火柴業公會建亭紀念范其務
page 6	　檢局呈請減征蠶絲改良費
page 6	鄒魯任教部長說尚未能證實
page 6	筵捐之包商承辦財廳批示難行
page 6	張仲新談查辦省營案近情陳任案　在分類澈查中研究撤銷士土代理制
page 6	省政府主席黃慕松養　溫泉
page 6	江省民族渡死難家屬
page 6	上將朱培德在京逝世
page 6	前數日廣州市港幣市值由加五三五四之平穩　
page 6	農貸不欲虛有其名農合會提前討論屆時請各行長局長參加
page 7	全場布置
page 7	到會人數
page 7	開會情形
page 7	主席致詞
page 7	大會視詞
page 7	各界慶祝
page 7	大失威化原意
page 7	陳氏致詞
page 7	焚屍慘案三誌死者為從良妓女張三姑疑兇趙旭輝昨已被捕張氏姘夫某富翁及傭婦均被傳問死者所佩金飾盡失疑是謀財害命
page 7	緝拿疑兇
page 7	削髮易服
page 7	香巢一瞥
page 7	結交富翁
page 7	死者身世
page 7	傳問富翁
page 7	殺機未明
page 7	本港各界昨舉行慶祝蔣委員長脫險大會到各團體代表千餘人李星衢主席蔣氏駐港特派員陳其尤到場致謝
page 8	熊氏談話
page 8	會議緣起
page 8	出席代表
page 8	開會程序
page 8	討論結果
page 8	防軍兵力頗為雄厚
page 8	雙方對峙戰機危逼
page 8	軍事演習定期開始敵軍密派漁船偵察防務被獲防軍聯絡北軍增厚作戰能力
page 8	第三提案
page 8	第二提案
page 8	第四提案
page 8	第五提案
page 8	第六提案
page 8	那魯麟氏
page 8	海陸空軍同時並進
page 8	銅鑼灣謀殺少女棄屍疑案死者父母被警拘留查究
page 8	租用舟車運送糧食
page 8	展品概況
page 8	賽花會昨開幕何東璇出品最鮮豔三盆麝香花壓倒群芳何路夫婦亦分奪盆花剪花錦標何東夫人手植洋蔥得菜蔬冠軍
page 8	金舖鉅劫案詳臬
page 8	如此斗膽兩匪光顧南昌街紙莊白晝假冒差人挾械登樓搜索廿分鍾劫去現款三百餘元臨去反閉樓門　鐵線緊紮門環
page 8	被劫地點
page 8	偽稱搜煙
page 8	港督參加
page 8	頒獎典禮
page 8	各組評判
page 8	比賽結果
page 8	廣州觀客
page 8	本港米行公所主席楊永庥綏遠視察記二友邦間諜機關中之地圖
page 8	三善院施政方針周兆伍之談話
page 8	外商籌辦影戲院
page 8	港督昨宴陳其尢
page 8	兩賊在逃
page 8	施行搜劫
page 8	東禁販婦孺會議決各案裨益我國最多販賣婦孺奸徒不能再在租界活躍各口岸船公司此後可與政府合作熊希齡等昨過港返國發表之談話
page 10	出席代表
page 10	哀悼黎氏
page 10	主席報告
page 10	討論結果
page 10	李卓權談合法核數員問題
page 10	市政衛生局會議
page 10	絲髮店被匪入竊失綢緞四下九匹
page 10	中華醫學會昨晚公宴李樹芬
page 10	九龍商會將開幕
page 10	加冕會景籌委會議決舉行日景巡遊三天夜間景色交回政府辦理對黎乙真逝世表示哀悼
page 11	聯鄉辦事處公文民廳訂定程式
page 11	毆人兇徒在押潛逃
page 11	取締盜花求子陋俗
page 11	玄妙觀准改建兵房
page 11	掘山泥三人被壓斃
page 11	會議組民食調節會
page 11	大澤華艇擱淺被劫
page 11	岡合兩公路將完成
page 11	四省特展開幕中贛省瓷業遠觀近述歷史悠久見于史乘環宇稱譽瓷質天賦分工精細允稱藝品
page 11	歷史悠久見于史乘
page 11	民元以後瓷政廢弛
page 11	製瓷程序繁細一斑
page 11	陶瓷原料產地用途
page 11	圍捕海盜殲殺匪首
page 11	禁各區擅理煙毒案
page 11	陶瓷經營可分三種
page 11	分工精細允稱藝品
page 11	目前仍在手工時代
page 11	盜鄭　琦墓匪被捕
page 11	載杉民船涸困山坑
page 11	順德籌辦二屆集團結婚
page 11	惠州總工會籌設惠陽勞資聯合救濟所呈候當局准予先行成立籌備處
page 14	豐台日軍不放棄建機場計劃藉建練兵場遂其欲現邱運磚石並添津營房華北當局準備交涉制止
page 14	藏相結城
page 14	日本新閣人物剪影鹽野被稱為鬼檢事米內治家儉樸可風
page 14	西北近影十一
page 14	日本中央公論竟謂中華不能與日戰爭政府財政全靠發公債支持戰時必公債暴落金融崩潰試問日本國家財政情形又如何
page 15	河原田氏
page 15	商相伍堂
page 15	海相米內
page 15	鹽野法相
page 15	農相山崎
