page 1	我國糧食國防問題
page 3	行政院議決任命吳鐵城為粵省委兼主席滬市長職務由滬市府秘書俞鴻鈞暫代呈請國府明令褒揚黃慕松並准予公葬
page 4	青年會繼續舉辦六項運動比賽今日開始報名一日止截
page 4	今晚籃球賽祗一場南華南對勵行勵行名將不齊恐失敗
page 4	華僑小球隊勝傑志
page 4	征菲之前東方會廿七日先征廣州在廣州與強華警察海軍對仗星期六戰中華商妥提前比賽
page 5	林主席今日抵粵黃紹雄電告啟節期歡迎代表赴韶候駕
page 5	黃林來電
page 5	代表赴韶
page 5	恭候行旌
page 5	華僑歡迎
page 5	抵省行蹤
page 5	財廳佈告減輕稅率後營業稅潮更形動盪稅制委員全體辭職鄒殿幫對官方之表示行商議定進行請願辦法不得已時以消極態度應付商會定今日再開大會
page 5	四路縮編辦法四月間將可實行
page 5	營稅局之函復
page 5	各行商之議決
page 5	注意保護外人對某人行動須隨時報告
page 5	廣州改為特別市行政院批復尚未獲准許
page 5	吳鐵城來粵就職訊吳氏昨與某長官電談海員會聯義社之電迎
page 6	嚴禁售米店短秤
page 6	洋米入口滿額後
page 6	英大使昨遊從化
page 6	省府秘書長代行
page 6	建設廳定期召開全省公路會議定四月一日開會孫院長南下消息檢私會抽費問題湯澄波與記者談
page 6	定期召集各機關商議防空演習之籌備
page 6	車渡兩難屬對控訴進行
page 6	銀市章程核准限制經紀入市不得超過六十人
page 6	保安各隊長委定後連日由處長召見訓示各縣府指揮之權責
page 6	舉辦所得稅步驟
page 6	粵鹽加稅後粵路鹽運全停
page 6	五十萬蠶絲貸款月底開始
page 6	增城鄉長控縣長案之批復
page 6	粵漢廣九兩路設導遊分處
page 6	工務局督拆河南涌邊建築物
page 6	第十甫路發生匪擲炸彈拒捕傷警案匪徒潛懷危險物被便衣警察發覺大隊警察追捕拋擲炸彈拒捕傷警
page 6	礦砂船馬口沉沒
page 6	陝西省政府顧問吳伯藩博士
page 6	昨日兩廣鹽業商人四團體
page 6	廣東全省第十四次運動會縣聯賽
page 6	救濟糧食之最近要訊
page 7	羅旭和談弭盜安良
page 7	事實勝過雄辯
page 7	天福損失五千餘元
page 7	苦力入店圖搶金飾
page 7	陳意齋
page 7	精良國貨
page 7	承辦洋莊
page 7	中華醫學會第四屆大會將在滬舉行三學術團體同時召開年會周錫年等決月底北上出席
page 7	港方代表
page 7	分組討論
page 7	四主要組
page 7	致僑商會函
page 7	致公安局函
page 7	愛慕都市繁榮村姑失身後幾被鬻往越南入境手續未辦妥被關員截獲昨日護送回鄉並緝拿各拐匪
page 7	安德立
page 7	高枕無憂
page 7	許閣森今午來港港府以官式接待
page 7	香港拒毒會昨宣告成立劉景清李求恩任副會長第一步工作注意宣傳勸導
page 7	劉氏致詞
page 7	選舉職員
page 7	日向英大購鋼鐵
page 7	華人代表促港府弭盜安良天福金舖損失實值五千餘元愚苦力竟效尤圖搶華珍金舖
page 8	出席各行代表
page 8	何廿棠開會詞
page 8	三行頭搭牌樓
page 8	參加巡遊景色
page 8	請求免出口稅
page 8	代政府辦夜景
page 8	籌委代辦景色
page 8	電協會擬助興
page 8	貨車輾斃四命案昨判決司機駕駛不慎處罰二百元並須賠償補卹金與死者家屬
page 8	新任名單
page 8	交代儀式
page 8	保良局新舊總理定今午正式交代
page 8	嬸姪不睦
page 8	死者身世
page 8	　嬸劫款案初審
page 8	大批新飛機運粵
page 8	未出席之行商
page 8	副律政司詳述案由死者被毆斃肋骨斷五條首被告不務正業平日與嬸不睦無力繳交屋租遂與姘婦等行劫
page 8	港汕廈貨運增價
page 8	兩男女投海自殺女死去男獲救
page 8	被告就捕
page 8	搜賭窟捕十餘人
page 8	誤殺親女案詳臬
page 8	米甕藏銀
page 8	黑夜劫殺
page 8	因借不遂
page 8	積欠屋租
page 8	紅丸案詳臬定讞
page 8	偉男子截搶傷人
page 8	三輪車載重限額華民司未准變更
page 8	國醫會歡迎林主席
page 8	後備華警為曹餞行
page 8	會景籌委會昨會議四巨龍將參加巡遊鮮魚豬肉雞鴨等行向會報告華南電影協會亦擬加入助興
page 10	第一日
page 10	第二日
page 10	第三日
page 10	第四日
page 10	修復艦離英返港
page 10	施利民在港酬酢廿八日上省觀光
page 10	兩團體電賀吳鐵城
page 10	截搶善款匪徒入獄
page 10	轉贈婢女不報被罰
page 10	賑綏美展第三日
page 10	佛教徒籌建公墓
page 10	改建荔枝角泳場
page 10	皇仁舊生會新職員
page 10	於仁水艇公司年會
page 10	港商廣州考察團定期出發在省參觀酬酢秩序已編定
page 11	台開等七縣請免加鹽稅呈財廳轉部收回成命聯合停止配鹽待解決
page 11	財廳監督各縣財政省府分令各縣府遵照
page 11	欖鎮劫案獲匪二名
page 11	農人開渠掘得古錢
page 11	從化裁六種雜捐
page 11	檻鎮農業一喜一憂
page 11	防軍設壯丁軍訓營
page 11	鍾邊大鎮醞釀械鬥
page 11	防軍槍決五個匪犯
page 11	鄉人轟斃放火匪徒
page 11	一蔗之微釀成械鬥
page 11	小欖蔗場工人絕粒
page 11	防軍槍決匪犯八名
page 11	剷除大批煙苗拘人
page 11	老沙發生劫殺重案
page 11	番禺縣府查封河南各鄉私塾
page 14	日方果伸手待握歟加藤之幽默談片對冀東顯存庇護之意華北事實殊不問可知
page 14	具體談商
page 14	味其語意
page 14	歸化連日之盛會汪閻參加追悼會並閱兵官民對於汪閻熱烈歡迎
page 14	追悼大會
page 14	閱兵典禮
page 14	臨別歡宴
page 14	歡迎大會
page 14	日對華北新策各武官會議推進兩日會議性質重要作成決案分別進行
page 15	法國的軍備
page 15	歐洲五大強國的軍備
