page 1	所得稅開征以後
page 5	陳誠趕速赴桂之任務商桂軍及翁部等之編組代蔣促白崇禧早日北上商討兩粵國防布置計劃返粵後代主理行營事務何應欽短期內未能來粵
page 5	廢除苛雜之近訊
page 5	保安司令部月中成立改編警衛隊結束警衛處令各綏署十日停止辦公
page 5	廣州長途電訊調中央軍分駐粵路各站海實兩部派員查東沙島派莫希德師駐防肇慶城粵禁煙一年內可望肅清
page 5	鄒魯已反校辦公蔣電鄒慰問
page 5	省銀行昨委各組收買白銀人員繁盛地方分為六區收買限六個月收竣鄉僻地方仍託郵局辦理
page 5	廣南船廠交回江防部接收
page 5	河南鄉民請展緩繳畝捐
page 5	香翰屏並未赴港考察團組織亦未決定
page 6	陳君樸談土糖統制之辦法征求糖業意見謀改善省營各工廠大有成績
page 6	糖業統制
page 6	發展工業
page 6	勸諭河南各鄉禁止養童媳陋習
page 6	請補助築廣韶路
page 6	警備令部結束
page 6	調十五軍駐邕垣
page 6	雙十節邕桂閱兵
page 6	梧州亦整理市容
page 6	杉業紗綢布疋等公會對再查資額意見昨函市商會提議
page 6	扣留走私電船
page 6	國醫之參加選舉以立案之公會為限學術團體不得參加
page 6	廣九鐵路定期試行新車
page 6	廣東江防司令部所轄之福安艦
page 6	省政府現以本省已開始禁煙
page 6	四路軍總部
page 6	東莞縣各界
page 6	第四路軍總司令設立軍官團
page 6	新任順德縣許縣　以該縣電話成立
page 6	聞新任第九區行政專員黃強
page 6	國立中山大學美術研究會
page 6	禁　督查處派艦搜查瞞稅煙土詳情共三十四萬餘兩已分別解回省城
page 7	歡迎人物
page 7	戴氏丰采
page 7	鄧宅小
page 7	酒家歡宴
page 7	焚香禮佛
page 7	菩薩心腸
page 7	抵省情形
page 7	明日飛滬
page 7	大選情形特誌
page 7	國選已止截報名
page 7	一華警飲彈自殺
page 7	滬上白銀源源運港法國郵船昨又運來二千箱海關巡輸運來紙幣九百箱
page 7	大宗紙幣
page 7	每箱容積
page 7	銀二千箱
page 7	張達等昨乘輪北上考察繆培南李振球展期出發香翰屏軍務忙不克偕行
page 7	日領勸僑民勿擅攝照片
page 7	不談時局祗佛法戴季陶昨午抵港即晚赴粵謂世人缺少慈悲心勸大家皈依我佛力行四攝法與眾為善世界自可昇平
page 8	勸捐團勸捐之成績
page 8	各行商募得之總數
page 8	戲劇界捐助之辦法
page 8	蔣壽辰決拍電祝賀
page 8	勸捐員又募八千元
page 8	兩戲院亦籌得巨款
page 8	各團體昨分別開會
page 8	各學校均踴躍捐輸
page 8	潮商會募得九千元
page 8	金銀場收捐款辦法
page 8	建英故皇紀念物羅旭和勸僑胞踴躍捐助
page 8	毆劫印婦案詳臬
page 8	名則師派路暴死
page 8	過海輪搭客投海
page 8	紅丸案昨日初審
page 8	警探昨搜埔歹徒獲疑犯八十一人
page 8	私藏軍械被重罰
page 8	女客跳車跌破頭顱
page 8	駕單車輾傷一路人
page 8	昨已達十三萬元潮州八邑商會募得九千元全僑勸捐團今日繼續出發
page 10	港英艦定期演習
page 10	南華會籌祝雙十節
page 10	娛樂映巴黎春光
page 10	遠東氣象家會議明春在本港舉行
page 10	定例局今日開會
page 10	初組法庭案彙誌聚賭
page 10	潛回
page 10	強搶
page 10	皇后　安兩院影訊
page 10	衛生醫官時症報告
page 10	警察司購緝逃伴
page 11	中山紀中潮平息學生已回校上課縣府派軍警保護
page 11	羅定國選之糾紛
page 11	港輪女客被擠溺斃
page 11	莞太路覆車傷多人
page 11	廣九車輾斃一聾人
page 11	教員戲水慘遭溺斃
page 11	槍決竊械潛逃犯兵
page 11	九江征船艇濬涌費
page 11	各界聯合紀念週中財廳報告征收所得稅內容二派熊理出席報告
page 11	所得稅之優點
page 11	四實施辦法
page 11	胞兄鬻妹當娼數年後兄妹重逢事有湊巧可作小說讀
page 11	推事被控昨被拘究
page 11	陳村火警與塌屋記
page 11	九江火警燒屋一間
page 11	中順兩縣聯合修理基圍
page 14	平津咽喉豐台現狀
page 14	西安商定剿共計劃先防川陝兩路合股對陝甘寧邊仍暫取包圍形勢隴南陝南軍事分由胡關負責
page 14	日本謀積極侵綏東池示墨圖攫取平津田中隆吉派往張口設特務機關青海雅王受煽惑謀成立偽組織
page 15	失竊真象
page 15	舊案可稽
page 15	會同勘查
page 15	實地視察
page 15	孫樹棠呈
page 15	古物遷京
page 15	文整工程
page 15	故宮失寶案真相錢糧庫失物係十七年舊案古物點收十一月中可完竣故宮博物院招待記者席上報告
