page 1	歐戰之新階段
page 8	陳述案由
page 8	劫艇案昨判決被告兩獲釋三入獄
page 8	殺人兇犯李錫文伏法裁判署循例研究其死因
page 8	聖約翰救傷班定正月三日開課
page 8	馮華熙昨抵港調查僑校狀況
page 8	車輛失事統計去週死二人傷四十一人
page 8	汛美機昨抵港
page 8	罪名成立
page 8	少年跳車慘死
page 8	商賑會昨例會
page 8	北大同學今聚餐
page 8	東安輪若力跌傷
page 8	孔聖會定期賣花
page 8	李鴻飛將開畫展
page 8	旅港比利時僑民決擁護政府繼續抗戰對比王單獨與敵言和決不承認本港政府對比僑照常予以保護
page 10	宵來籃球激戰星島出師告捷廣大敗在後勁不繼乙組南商國民勝仗
page 10	昨日學排戰績
page 10	東方南征足球隊在菲三戰三捷詳情一
page 10	九龍高級籃球今日開始角逐
