page 1	巴爾幹之將來
page 7	兩大善團演劇為英慰勞會籌款
page 7	防空處之通告北高任防空處副處長
page 7	小童突告失蹤
page 7	日艦截劫貨艇貨物損失共六千餘元
page 7	嶺大員生均為傷兵之友募得捐款三千餘元
page 7	法大使昨抵港
page 7	滇越路已修復照常通車無阻
page 7	立法局初讀通過修正防止迫遷法例下次會議可望宣佈實行戰稅法案昨已審查完竣
page 8	中國國貨產銷協會香港分會今日成立參加者均我商業巨子現已有會員五十餘名
page 8	劉履吉談
page 8	中英文協會請羅伯遜演講
page 8	殷商捐款賑濟四會難胞
page 8	馬彩糾紛案傭婦余阿嬌上訴得直取消罪名領回罰金廿五元被控收規之印警恢復自由
page 8	運銷菲律濱貨物　廠聯會接菲島華僑通告
page 8	購鞋捐款匯桂
page 8	假冒擦鞋童匪徒伺機搶竊貧童生活大受影響
page 8	普羅刁士輪船員獲救抵港該輪脫險希望甚微
page 8	流彈轟斃艇主
page 8	徐偉卿任澳僑選舉監督
page 8	殷商黎永熹逝世
page 8	開本港新紀錄保險銷貨場出現
page 8	竊匪墜樓斃命
page 8	收規疑案
page 8	清節離奇酒店住客深夜失蹤祇見其入不見其出房中遺下衣履等物
page 8	會員如下
page 8	四圍島海面英艦截獲　威煤　船將由該艦押解來港扣留本港現扣留丹挪輪廿艘
page 10	籃球聯會今開代表大會商討比賽事宜
page 10	九龍區學籃戰訊
page 10	南華會國術部明晚開聯誼會敦請南北著名拳師表演
page 10	征越人選未決延期發表
page 10	學界排球賽五月六日開始
page 10	菲娘子軍籃球隊犯港秩序擬定明晚首次出戰學生軍協聯會宵來歡讌菲隊
