page 1	羅斯福將提新中立法案
page 8	耶誕郵件初次空運
page 8	准許法機在港設站
page 8	瓊僑總會資遣難民赴星
page 8	Ｘ機狂炸汕市港汕輪昨停航
page 8	暹僑胞募得大批藥品價值暹幣三萬餘元現已付輪起運回國
page 8	少年謝文波控賴婚白圭己玷潘氏女索償千金被告不到堂官判原告得直
page 8	蜜語甜言坫污清白
page 8	若非完璧難再適人
page 8	侍我十年然後迎娶
page 8	夫婦夜行遇盜被掠紙幣百餘元
page 8	中青服務團明日行授旗禮
page 8	景光街械劫案疑犯詳臬定讞
page 8	兩紅丸案詳臬
page 8	一九三八年本港航空事業之進展由九月份起一等郵件悉改空運中航機被Ｘ擊落最為不幸事件
page 10	下星期一日徐家兄弟鬩牆為爭取單打冠軍
page 10	籃球聯賽秩序略有更改申報杯定明日止截報名
page 10	澳足球隊犯港東方整軍準備迎擊明日下午四時半戰於香港會
page 10	華人游泳會本屆徵求成績甚佳明日舉行游泳表演
page 10	許承基察惠泉同時告捷
page 10	菲行瑣記二
page 10	太古華人體育會選出本屆職員
page 10	南華歌詠班近訊
page 10	公開棒球賽今日揭開戰幕西洋會對友啤隊
