page 1	日加緊進迫與我提出反要求
page 5	廣東紡織廠參觀記各種設備已甚完整規模雖尚未足言大已足為織業之前導
page 5	翁照垣等部復駐欽靈防候改編集中三縣候中央頒發改編翻號宋德培昨返省請示再復任靈山縣長
page 6	河南下渡鄉河面警隊誤殺鹽販案收買工鹽誤為走私喝查跳水槍擊斃命
page 6	河南南村花鞋山昨晚之大火詳情焚去茅寮木屋共一百一十八間被災難民登記者三百八十七人將南村泰山廟作難民收容所救濟難民辦法准將蓬寮搭回
page 6	方念祖請款安裝肇和艦新機
page 6	美人局騙案解院
page 6	鄒魯抵省情形
page 6	各行商昨日請願紀稽查進口貨物運銷章程有種種窒礙改善辦法
page 6	水利局局長楊華日
page 6	廣州商品檢　局自蔡無忌來粵籌備就緒後
page 6	代表集中
page 6	聯名上書
page 6	稅司答覆
page 6	桂駐粵辦事處成立劉為章昨乘機　桂
page 6	美國駐遠東艦隊司令高路夫乘坐緬連波號淺水艦南來
page 6	中央練習艦隊司令官王壽瓊氏
page 7	獻機會昨分發捐冊
page 7	華商會成立勸捐隊
page 7	李星衢獨捐一萬元
page 7	各行商今日開會議
page 7	酒菜館撥利潤充捐
page 7	陳其尤談蕭態度
page 7	羅渣士昨午赴滬就聘中國財政顧問
page 7	從今不用鎖雙眉
page 7	中國行代收各捐款
page 7	勸捐隊議決四要案
page 7	應瑞艦昨晨北返
page 7	航空學校訪問記
page 7	日貴族院議員來華南各地視察
page 7	王寵惠昨日赴滬擬於下旬再度南下
page 7	英兵強姦案押候
page 7	印護勇兩罪受懲
page 7	九龍關佈告一則
page 7	鄒魯昨晨返廣州胡文燦等同行
page 7	本港對長江保險未加價
page 7	愛　之心豈敢後人獻機祝壽會昨召開緊急會議沿門勸捐隊今日開始動員李星衢首捐萬元以為之倡
page 8	混合推選
page 8	限期呈報
page 8	西環強劫案押候
page 8	夫妻打架妻受傷
page 8	一粒提子哽死嬰孩
page 8	藏　火油未領執照
page 8	參加國大選舉之團體名冊限一星期內填報如逾期不報作棄權論總會催促推舉候選人
page 10	老翁老婦被車撞傷
page 10	去週車輛失事統計
page 10	油漆匠跌下受重傷
page 10	皇后開映歌樂巨片
page 10	夫妻被控行使偽幣
page 10	持刀劫款案待訊
page 11	南海佛山卅夜火警三宗
page 11	三水一五二師派隊接防
page 11	九江匪徒行劫傷人
page 11	嚴催土地業主登記
page 11	請撤銷粵省水坭統制部令省營士敏土亦須征收統稅
page 11	縣城之匪徒劫殺案
page 11	匪徒縱火燒公路橋
page 11	禪警破拐良為娼案
page 11	各屬請解釋禁賭例外人開賭應依法取締軍憲警均應協助禁賭
page 14	豐台事件解決經過雙方當局盃酒解嫌本月中日軍大演習
page 14	某方將在包頭建飛機庫辦定期航空兼作營業擬佔民屋修築汽車房
page 14	王景儒談冀省建設事業復興農村開發農田水利年撥二十萬元為建設經費
page 14	還田歸河消弭水患
page 14	五河撤防安瀾可慶
page 14	閘北情形外弛內緊日軍在花園街築防禦工事惟各馬路安靜無日兵崗位巡查
page 15	視察仁壽灌溉工程
page 15	著名歐美的中國女才子鄺如絲女士原籍是廣東卻生長於澳洲在英國曾拒絕主演大地她和朱桂芳學了舞劍明年五月再回中國來
