page 1	羅斯福廣播與美海軍策略
page 5	省行計劃大量植桐五年行可獲千萬元
page 5	惠屬海面日艦去而復返日仍不放棄寶安據點
page 5	巡查水陸
page 5	瓊崖日軍犯大成市慘敗我猛烈反攻儋縣城旦夕可下文昌方面克復波羅聲威大振邁號會文白延近郊在混戰中
page 6	佛山日軍紛紛西上蘆苞方面我有大軍防守
page 6	邱昌渭電告桂南情形　思縣災情較他處為重省府　續撥款救濟災區
page 6	廣州灣米荒日趨嚴重越米萬二千包運赤坎平糶
page 6	粵籌設日用品供銷處資金定十萬元已分股招認並組消費合作社避免避奇
page 6	桂都安發現古代煤層並獲珍貴化石甚多
page 6	廣西農金促進會成立起草調整促進金融方案先設臨桂等十五縣分會
page 6	日機連日炸中山八區我當局下令加緊疏散物資四邑河道封鎖線重新佈置
page 7	除夕各方動態舟軍延長行走時間各大商店均開夜市
page 7	港九商店均開夜市
page 7	慶祝新年燃炮時間
page 7	大批越米今日到港又有一米店違統制令被罰
page 7	劫殺案昨提堂定下月八日公審
page 7	僑商回粵考察短期內可成行
page 7	學生賑濟會元旦開同樂會
page 7	沙田之禪悅林已定明日開幕
page 7	寶靜法師圓寂
page 7	沙魚涌竟成銷金窩酒色煙賭無所不備過往客商多受其害
page 7	小學生年更會今日下午舉行
page 7	法大使戈思默抵港對國際局勢不願發表意見
page 7	元日郵局辦公時間
page 7	水陸交通延長時間
page 7	水警追捕劫艇海盜勒馬洲海面發生劇戰一賊中彈死四賊被擒贓物截回艇主無損失
page 8	夢中被斫
page 8	拾獲兇刀
page 8	金銀貿易場節儲運動已銷儲券卅餘萬元
page 8	青年協進會首次理事會議即　選出各部職員
page 8	六邑同鄉會匯款回鄉振災
page 8	移民法決如期實施華民司已批覆華商總會
page 8	兩人冷斃路上
page 8	募衣運動圓滿結束又募得捐款十餘萬限期匯交重慶總會
page 8	賭敗虛報被劫少年被處罰
page 8	轉換軍械牌照
page 8	警局嚴密防盜今日起增派警探出勤
page 8	居居住地畫展會明日上午開幕
page 8	吳鼎新今日招待報界
page 8	渣甸山平民屋居民實行自治組織察部查緝歹徒
page 8	屏山慈幼院參觀記
page 8	據航政署昨公佈稱據水警輪報告前日上午十一時十分
page 8	太古輪船公司佛山號輪
page 8	我的倫敦城
page 8	　夢方　白　頸油莊廚子深夜被告　雖重救護迅速可無性命危險店門虛掩雜役失蹤警察探嚴密緝究
page 10	海軍健將三人歸隊今後實力當更強橫
page 10	港記者球隊四路大軍明日訪澳一行四十餘眾軍容頗盛
page 10	在澳秩序
page 10	公開女子籃球賽下月一日開始秩序正式排定
page 10	南華會擬舉辦三角田徑對抗
page 10	昨日學界籃賽西南輕取香江
page 10	鴨　洲青體會慶祝九週年紀念
page 10	廣東體車同學籌組旅港同學會
page 10	南華附中籃球隊征澳四戰四捷
page 10	各方歡迎
page 10	全隊名單
page 10	港滬埠際賽不成總會新排秩序農歷元旦舉行麗華杯賽對賽隊及場地下月決定
