page 1	閩浙海疆之戰事
page 8	報際象棋賽本報今日對華僑南中昨日勝朝報循環日勝循環晚
page 8	水警署屬員被控勒索煙館案昨日續審兩煙館主人極力指證押候下月六日再審訊
page 8	中市浪租攤位昨日重新開投
page 8	李迪俊昨放洋
page 8	僑港中學會攷第一區已竣事
page 8	南遊日記一
page 8	南華主辦網球義賽準期二日舉行增加男女老少混合雙打一場鄧祿普報效網球及名貴球拍
page 8	派報公會定期改選職員
page 8	澳門各界紀念七七辦法
page 8	一汽車突自焚
page 8	記者排球隊今明均有戰事
page 8	公開水球賽今有兩場舉行
page 8	南華口琴班七月　日開課昨日止截報名
page 8	港府授權立法局延長三仔發行紙幣權但延長期限每次不得過十二個月新例並規定將來須修改發幣辦法
