page 1	意希戰事的前途
page 5	委座令檢舉虐待新兵對壯丁新兵不得任意虐待在途中如受虐待作憑舉發
page 5	酒類牌照以跌打酒為限財廳飭各稅務局遵照
page 5	寶安縣府奉令整理沙魚涌交通衛生依照陳專員計劃開闢新路線由各界組織委員會負責辦理
page 5	我游擊隊夜襲高塘日營日軍傷亡共十餘人高塘社學東廊被焚
page 5	陸豐匪徒截劫郵件搶去國幣一萬三千餘元
page 5	增城日軍強迫鄉民繳械
page 5	全國高考明年一月廿日舉行
page 5	我大軍源源開抵新鶴線前哨越過木塱戰事一觸即發我在周郡佈水雷封鎖日河道中山日艦昨又砲擊　涌北卡
page 6	粵黨務人員分區認諸粵北各縣儲額分配妥當
page 6	各縣衛生院紛紛成立東江增駐救護隊
page 6	僑民師訓班招攷學員十日截止報名十八日考試
page 6	江門日軍戒嚴附日軍散兵
page 6	廣州日軍萬餘出海華北日軍一師團南來候命海南島集中大批　船應用
page 6	台山肅清歹徒
page 6	四邑爭取僑匯
page 6	港澳學生暫免參加集訓師範生亦可暫免
page 6	南海石灣陶業衰落原因
page 6	征收積欠地稅
page 6	順德盜患近誌
page 6	廣州日軍進駐白沙鄉　　　　建壘砲築
page 6	粵南沿海日艦　集日機連日轟炸烏石港及廉江當局加緊疏散沿海一帶船隻
page 7	警察局奉令嚴查零售米價有超過公價者決將店主拘控法庭可處以一千元以下罰金
page 7	警察嚴查零售米價
page 7	港府曾擬派員辦運
page 7	吳鐵城將返國取道仰光直接返渝
page 7	大批越米由澳運港
page 7	海口日軍突扣留康樂輪藉口檢查國籍諸多留難港巴拿馬領事已提出抗議
page 7	砲兵演習日期
page 7	代督赴粉嶺巡視義軍露營下星期一巡視痳瘋院
page 7	港政府委任令
page 7	本港移民民法例展期明年一月施行小去即回市民可不必領證書移民局已實行憑籌發證辦法
page 8	港僑商組回粵考察團預算明年一月出發省府將派專機來迎
page 8	六邑賑難會昨選出新職員開始籌賑　鄉早
page 8	兩潛回犯行竊分別判處徒刑
page 8	港華籍西醫簽證權短期間內可望恢復醫務處有圓滿答覆
page 8	鎗斃大批癲狗
page 8	救傷隊同人昨追悼司徒宗
page 8	德輔西保衛團正副隊長選出
page 8	少青團擴大年更會兒童劇場二次公演定本月廿四日舉行
page 8	貨艇擅載煤油榜人多名被罰
page 8	東江災民待救果販救護隊之呼籲
page 8	封閉屋蘭士道布政司之通告
page 8	澳籍僑民可自由返澳洲
page 8	警探破獲賭局七賭徒被懲罰
page 8	贈咭運動開始希望各界踴躍購銷
page 8	女看護後備隊歡迎華人參加
page 8	中國科學社首次徵文辦法以後每年徵求一次
page 8	獎金名額
page 8	徵文辦法
page 8	首次徵文
page 8	男女夜遊遇盜財物掠一空
page 8	三行紙幣統計
page 8	一間商店破產
page 8	區大原等組織孔道大同學社
page 8	西區小販分會戶內獻花籌款
page 8	王遜志失巨款一人被控行竊
page 8	希特勒的宣傳術史塔斯女士演講英遠東情報局紀錄
page 8	中華書局貨倉慘殺案疑犯何崇僖昨晨提堂警探搜查時何內衣褲均有血蹟箱篋中血衣裏有該局夾萬鎖匙
page 10	東星足球大戰今日如期上演下午四時會師加山雙方戰陣正式公佈
page 10	四四金市穩定較　收市僅升一仙
page 10	國幣市情穩靜收市二四二貳五
page 10	昨日聯賽三場戰績南華光華九龍齊捷
page 10	三比零南華破蘇軍
page 10	滬外匯市盤旋
page 10	英銀漲半個咽
page 10	各國幣價伸算
page 10	本港股份市價續漲昨日買家仍極活躍
page 10	公開女子排賽仿林再　星島
page 10	昨日學籃戰績
page 10	友誼籃球賽記者對擴大教職
page 10	四比一九龍勝約瑟
page 10	四比三光華挫香港
page 10	港市美匯轉淡申電平穩銀行沽二十餘萬
page 11	墨索里尼的迷信
page 11	四用機關砲
page 11	防衛美洲的堡壘烏拉圭
page 11	蘇聯的降落傘大師
page 11	意大利的政治機構
