page 1	特種蕭條與軍備擴張
page 3	吳鐵城定一日補行就職典禮
page 3	津特三區福祿全飯館
page 3	宋子文函劉湘謂俟摒擋就緒
page 3	戈林與意相會談尚無具體結果
page 3	太平洋風雲險惡日海軍發表第三次補充計劃要求日本海軍成為精銳無比之艦隊準備在敵艦未發動前一舉將之繫滅美艦隊在太平洋舉行大演習
page 3	西叛軍繼續前進比爾波危在旦夕西叛軍對外國船隻橫加干涉挪威瑞典丹麥等國提出抗議
page 3	英皇家美術院繪展中有中國畫家出品一為壽碧楊女士一為邱君
page 3	法在喘息期間決採保守經濟政策凡屬較鉅社會改革事業暫綏實施國會各派代表對此議案均表同情急進社會黨提議實行短期政治休戰
page 3	美下議院提陸軍預算案
page 3	意大使覲林主席呈遞國書主席當午設宴款待並邀各院部長作陪下午主席派參軍長呂超赴意使館回拜
page 4	網球巨人鐵梵今年再過港潘萊亦至在港比賽草地網球會今午年會去年網球界大事回溯入不敷出虧損四百餘元
page 4	埠際比賽
page 4	名流表演　
page 4	各項冠軍
page 4	會中財政
page 4	參加隊伍
page 4	單打網球錦標都是林家天下昨日準決賽小林珍勝芬渣不日由林氏兄弟決賽冠軍
page 4	普通界籃球賽華南大勝南華華乙組三場皆棄權改期無舉行
page 4	華雄會友籃球賽耀森兆華同積分已轉入第二循環以後競爭更烈
page 4	繁華消歇足球賽本週結束
page 4	英銀價再縮半咽
page 4	壓軸好戲總會隊選手產出二日與體協會隊決賽督憲杯
page 5	黃謙益談
page 5	開墾資本
page 5	水利建設
page 5	三局商會
page 5	程氏赴瓊
page 5	免稅洋米到省續詳廣九籌開專車運米申請登記昨仍擠擁
page 5	首批到省約八千包
page 5	廣九籌開專車運米
page 5	由請登記昨仍擠擁
page 5	民食會派員查售價
page 5	財廳改三科續訊江英志辭會計室主任
page 5	鹽商代表已赴湘
page 5	爪哇華僑飛行家許陳下週北返
page 5	吳主席視察警局
page 5	糖商檢私處呈建廳請協助處務進行並解釋省營蔗糖廠誤會
page 5	檢私會設立之原因
page 5	二檢私費征收之原因
page 5	三蔗糖價漲之原因
page 5	四蔗糖短銷之原因
page 5	五檢私會未收效之
page 5	根本救濟粵糧食會議中之重要問題水利專家黃謙益談建廳三局昨再會議程天固定今日赴瓊程氏昨對記者談話
page 6	地方會計規程
page 6	商明船民被苛勒留省公會為民請命
page 6	營業稅款須依期限清繳稅局函市商會轉知
page 6	財廳提議豁免舊糧案原文湯德民談豁免原因
page 6	湯德民談豁免原因
page 6	征收臨時地稅簡章
page 6	菜商一再聯請撤銷蔬菜出口稅
page 6	汕商請撤農產稅
page 6	河南沙園鄉發生警隊槍擊苦力案誤會苦力為竊匪開槍射擊傷甚重
page 6	挑選救濟院壯者送往開發瓊崖劉石心之談話
page 6	昨據財廳某秘書語稱莊秘書　遐奉命南來
page 6	記者昨晤市立銀行行長江英智
page 6	西南民航公司改組辦法業經擬定已呈省府核示
page 6	昨據理髮工會消息
page 6	黃強將晉京受訓　周兩志哀同南返訊
page 6	　制度暫行規程　明日起　省務會議討論
page 7	大會會場佈置華麗
page 7	史美致詞視賀成功
page 7	畢士璧謂此為偉舉
page 7	到場觀禮者千餘人
page 7	拉爾保持致詞道謝
page 7	徐昌成祝促進友好
page 7	命名典禮隆重舉行
page 7	載來郵件千四百磅
page 7	今晨九時離港飛菲
page 7	九龍關洋米入口證昨日僅發出一張其餘今日續發米商仍可登記江門三水昨已運去二千餘包
page 7	寶安縣兩鄉械鬥
page 7	長洲海賊劫貨艇捕獲嫌疑犯五名
page 7	中美航空史最光榮之一頁香港飛剪號機昨抵港盛況歡迎大會假座啟德機場舉行觀禮者眾命名典禮由珠易絲女士主持甚為隆重
page 8	摩登男女相率登樓
page 8	突聞女子悲呼救命
page 8	趙兄聞呼取水救火
page 8	火堆之中發現女屍
page 8	濃煙繼起滿佈樓中
page 8	工人送炭未獲登樓
page 8	火光熊熊謂鎔爛鐵
page 8	阻滅火員入廚視察
page 8	方欲查問趙已失蹤
page 8	逃居妾寓一連兩日
page 8	被告房中尋回金飾
page 8	新衣袋內搜獲一匙
page 8	證人台上譒譯藥名
page 8	五月一日起二號巴士增設貳等座位六號路線延長至赤柱並增設各線通用月票
page 8	婦孺慈善會年會經亨利夫人報告去年工作
page 8	知行中學舉辦義學
page 8	臬庭續審焚屍案鄰婦謂目擊趙與死者登樓樓門甫閉即聞悲呼救命金舖司櫃證明呈堂之金飾確死者遺物趙母兄供詞與在裁判署所述大致相同在　衣袋搜獲之匙與火堆之鎖敵相合
page 10	遊摩洛哥
page 10	特　森城
page 10	名勝古蹟
page 10	交通便利
page 10	狂漢投海幸遇救
page 10	均益倉股東年會
page 10	夜星輪之起絞難
page 10	廣意輪昨日復航
page 10	暹羅霍亂症流行夏利士輪兩客染此症斃命
page 10	英艦一艘昨日抵港
page 10	扶輪會舉行婦女日紀念會孟他濟演講摩洛哥風景之優美
page 11	整理全省沙田辦法
page 11	台山美南村謀財害命兇匪已捕獲
page 11	僑委歐陽漢　汕
page 11	匪夥限期自新
page 11	華僑籌建古兜農村
page 11	扣留捕賭慘案主要
page 11	英龍堂首領昨就擒
page 11	匪黨圖洗劫之激
page 11	沉溺九江貨船一艘
page 11	汕旅業會劃一星檳船票價格後仍有暗中操縱票價華僑互助社再請舉辦出國登記
page 11	財廳整理全省沙田辦法一
page 14	會場佈置
page 14	舉行慶祝
page 14	王曉籟詞
page 14	潑倫脫詞
page 14	正式開航
page 14	加暴記者嚴獨鶴案兇徒金甦犯不可思議病症突起於十年前病發時神志不清嚴代表吳之屏縷述被紀纏過
page 14	推事傳訊
page 14	施用法術
page 14	致嚴于死
page 14	神志大異
page 14	金甦供稱
page 14	殷逆近在平發表荒謬談話任何方面不能取消冀東派其留日同學江逆駐偽滿
page 14	　美通航成功　祝中美關係　發售紀念信封　及郵票
page 15	海軍條約廢棄以後太平洋海軍形勢上
page 15	素味平生
