page 1	太平洋上未來烽火
page 7	洋米入粵問題至今尚無切實解決辦法程天固南下調查粵糧食米商擬派代表向程請願
page 7	勤求民隱努力以赴
page 7	長庚血案仍押候
page 7	李江昨來港轉瓊
page 7	討論商務
page 7	今日離港
page 7	議決要案
page 7	郝督今日離港返英紳商界昨開會歡送普樂羅旭和代表市民致歡送詞郝督力勸本港人士勿虐待畜牲
page 8	集中　出投
page 8	韓漢英今日北返瓊　商
page 8	八年來本港衛生之回顧二衛生醫官靈彤報告書
page 8	一九二九年之情形
page 8	潔淨局可統管一切
page 8	同屬衛生不同主管
page 8	衛生行政組織錯誤
page 8	潔淨局教總之要點
page 8	衛生局議員李樹芬對電池工廠搬遷案之意見愛護港新興工業予以極大同情湯特主張遷往銅鑼灣九龍等地
page 8	夜星輪仍未絞起
page 8	惠保公司減股本
page 8	空樓中發現女屍
page 8	八百餘兩私煙案裁判署昨日提審
page 8	英艦兩艘先後離港
page 8	江寧輪船今日復航
page 8	郝德傑美術院近訊
page 8	九龍建神經病院港府已在籌備中
page 8	汽車又輾傷兩人
page 8	新督巴波沙親自監視下澳門番攤餉碼昨午已開投最高者一百八十二萬七千元白鴿票商日開投底價六十萬
page 8	港粵滬瓊崖實業攷察團定期集中廣州乘艦出發港團員定廿日乘午車晉省孫科劉維熾或遲兩日飛瓊
page 10	營業狀況
page 10	進支統計
page 10	山頂酒店
page 10	初級法庭彙誌行兇
page 10	香港大酒店去年獲厚利山頂酒店陳舊決予改建
page 11	汕歹徒勾結外人設販煙毒窟被破獲捕獲人犯共十餘人
page 11	順屬桂洲築圍修閘續訊
page 11	縣兵開赴余村圍捕
page 11	大山鄉迎神開賭潮
page 11	縣禁煙會協緝私煙
page 11	餘糧將准輸運出口
page 11	歹徒串拐誘姦少婦捕獲男女匪犯四名
page 11	派員查填屬內壯丁
page 11	校長砌詞捏報械鬥
page 11	汕市土製煤油廠籌備大聯合之通電
page 14	兇犯名單
page 14	犯罪事實
page 14	兩次刺蔣
page 14	余等罪證
page 14	預徵田賦增充軍備
page 14	某方對李漸失信任
page 14	察北匪偽軍政會議結果擬五月間再西犯部隊分向大青溝移防運彈械糧秣至嘉卜寺
page 14	緝捕重懲
page 14	偽組織之媚外醜態
page 14	行刺宋汪案首都地方法院開審檢察官張維東之起訴書
page 15	變更組織
page 15	派員整理
page 15	營業概況
page 15	比來一病輕於燕扶上雕鞍馬不知
page 15	佔地面積
page 15	設備調查
page 15	潮汕鐵路過去及現在狀況二民十一由日人手中收回辦理不善傳將收歸國營
