page 1	國米與洋米
page 6	中華畫師陳天嘯
page 6	廣九路燒火工走私被緝私員兵破獲後李祿超嚴誡所屬
page 7	根本解決粵省米荒
page 7	洋米運粵尚有問題
page 7	改善華南合作事業
page 7	米商請願痛陳苦況
page 7	李樹芬為保護兒童會請命昨日下午作播音演講
page 7	再電當局懇予解決
page 7	會中經費月需二千
page 7	掃除文盲胡文虎計劃五年內建小學一千所先在粵閩等省建二百九十所餘體察需要續建決依期完成
page 7	中美空航定期開始廿一日由舊金山起飛港澳郵費已訂定公布
page 7	辦托兒所開幕在即
page 7	指導貧民養兒方法
page 7	實次程天固昨過港晉省允將米商痛苦電陳中央中央對粵糧問題決定標本兼治辦法本港米商昨再電吳主席余主任呼籲
page 8	搶匪光顧大道東寶源金舖假冒顧客入店搶金戒指兩枚
page 8	李江定今日返瓊願協助開發瓊崖
page 8	廣九路車增加班次黃漢傳昨奉派來港商妥焚車案三月後可望解決
page 8	引渡虧空疑犯案永發司　述拘　被告經過
page 8	電影商邵仁枚來港
page 8	新發明之兩用油燈
page 8	準備起訴
page 8	郝德傑爵士昨離港中西官紳熱烈歡送史美暫代港督職務
page 10	夜星輪今日起絞
page 10	警探破獲一賭窟
page 10	胡惠　等昨返港
page 10	九龍居民會會議
page 10	車輛失事之統計
page 10	瓊崖考察團決改期出發廿二日乘美南輪船
page 11	番禺鹿步夏園兩鄉械鬥情形續詳昨日拘去兩鄉耆老三人
page 11	一五七師破匪巢
page 11	台山撤銷兩捐費
page 11	　台交界發現鎢礦　
page 11	江門銅元價格穩定
page 11	再度啟釁釀成械鬥
page 11	林辛兩姓積不相能
page 11	軍警聞訊馳往彈壓
page 11	澄海浮隴鄉林辛兩姓之劇鬥詳記駐汕防軍派隊彈壓
page 11	輕罰未登記之田主
page 11	西人被控行竊法幣
page 11	商民反對續征租捐
page 11	兩更夫被火藥炸斃
page 11	縣兵破獲兩私賭窟
page 11	食鹽價格日昨回跌
page 11	囚犯深夜奪槍逃遁
page 11	撥回豬行墟租辦學
page 11	偷運銅仙鎢礦處極刑潮汕軍政機關佈告民族重於個人大害生於小利勸人民遵令並助緝
page 14	永綏苗民暴動湘省府已確定對策實行廢屯升科裁撤屯務處組苗民參觀團謀苗漢同化
page 14	劉文輝談西康現狀自赤匪竄擾後全康已殘破不堪經陸續整理漸次恢復各縣治安
page 14	湘贛皖組織國米銷粵考察團洋米免稅入口米糧過剩赴粵實地考察調劑產銷
page 14	平　界舉行公宴傳主席準備返綏痛　之餘破戒浮一大白致詞極謙撝力避言功
page 15	有河套穆桂英名的二老財訪問記個性剛強是巾幗英雄對王英匪行深為痛心
