page 1	桂局之曙光
page 14	發展邊疆教育
page 14	會場佈置
page 14	致祭情形
page 14	各界追悼
page 14	日侵略華南之陰謀以五千萬鉅金設立移民會社移民十萬興辦漁農畜牧等業
page 15	追掉會詞
page 15	梅蘭芳夫婦二日飛抵北平留平一個月即返滬將再出國對記者談改革中國舊劇意見
page 15	機場歡迎人滿
page 15	豐采不減當年
page 15	留平一月返滬
page 15	湘西綏請工作肅清匪患撫地方上湘省府令陶廣辦理
page 15	清剿散匪
page 15	國防前線之綏遠
page 15	制止仇殺
page 15	懲辦豪劣
page 15	收繳槍枝
page 15	北海開放
