page 1	外交上之兩大喜訊
page 5	Ｘ攻南鵬孤島詳情鄧龍光令陽江縣長抗戰並趕調部隊赴該島增援
page 5	莞太Ｘ調汕增援後廿四日莞龍Ｘ兵又增加我團隊即召開軍事會議寶安南頭拿攻傀儡一名Ｘ機連向東路各也偵察
page 5	Ｘ限禮樂組自警團
page 5	三江睦洲昨又被擾
page 5	中山沿境尚安三灶島壯士深夜襲ＸＸ機炸古鎮小欖
page 5	三灶壯士襲Ｘ成功
page 5	古鎮小欖被Ｘ轟炸
page 5	西路Ｘ軍渡江襲ＸＸ艇圖在青岐登陸被我守軍掃射退去
page 5	Ｘ在梅溪隔河頑抗
page 5	再犯東湖無法前進
page 5	福和正面展開激戰
page 5	四基圍Ｘ仍被夾擊
page 5	增城羅崗Ｘ趕築防
page 5	侵汕Ｘ再犯東湖不逞我在梅溪隔河擊Ｘ福和仍有激戰增城Ｘ趕佈防
page 5	省黨部頒發七七紀念辦法
page 5	粵戰工隊赴前線設傷兵招待所
page 5	廣東市南Ｘ軍紛開北路增援川島荒木等部之Ｘ開赴黃沙集中出發
page 5	省徵募會徵集蚊帳藥品由六月十五起以兩個月為限
page 5	中山九區沿岸各沙被Ｘ艦騷擾在天九廣東等沙登陸搜索後即去
page 5	萬山Ｘ艦窺伺香洲
page 5	Ｘ防我軍反攻中新開新鶴兩路發生激戰Ｘ增兵赴江藉壯聲援
page 6	Ｘ母艦離去圍洲島
page 6	沿海Ｘ艦調動頻頻
page 6	商船被焚損失重大
page 6	限期堵塞重要港口
page 6	容奇Ｘ軍勒收賭餉
page 6	私藏槍械者應參加游擊抗戰第四區司令部佈告
page 6	中山各界團體為縣長張惠長呼冤昨致電省府主席及各機關等
page 6	南海游擊隊夜襲邵邊Ｘ軍
page 6	省振會撥款賑濟粵南災民
page 6	順德游擊隊截擊Ｘ艇擊沉Ｘ三艘斃Ｘ兵卅餘人
page 6	廉江各界決定懲辦呂逆春榮沒收呂逆財產開除縣籍懸重賞生擒或擊斃呂賊
page 6	粵南沿海警戒仍嚴Ｘ母艦駛汕海助戰粵南多日已不聞警報當局下令堵塞各海口
page 7	全港工界
page 7	燈火管制演習無期須候行政當局核准始決定
page 7	印刷工潮未了資方今晚討論應付辦法
page 7	破獲私鑄機關搜出偽鎳幣藥料等甚多
page 7	鶴僑籌賑會議第五批賑米將付寄
page 7	富勵士的約晤洪流劇團團員
page 7	吳氏訓詞
page 7	福建僑胞
page 7	國民精神總動員工界及閩僑分別宣誓工界方面參加者凡二千餘人吳鐵城解釋精神動員之意義
page 8	女學團之工作大綱
page 8	各團體通知同人函
page 8	汽車撞傷小童兩人跳車受傷
page 8	學賑會服務團徵集慰勞物品並續招團員　國服務
page 8	苦力墮井溺斃
page 8	昨日棒球聯賽25中華不敵友啤五比十二南華亦告敗績
page 8	餐室職工總會昨舉行成立禮
page 8	香港單車會定期舉行單車比賽
page 8	水球賽今開始
page 8	中華游泳場昨晚首次水藝各項成績甚佳
page 8	對南華征貢慘敗這觀感一
page 8	蘇聯舉辦中國藝展會藉溝通文化增進邦交葉恭綽負責徵集出品
page 8	蒲崗村迫遷案住客請商會援助
page 8	英商船自由航行港汕Ｘ不敢干涉放棄封鎖政策
page 8	祖國抗戰中的僑港學生
page 8	賑聯會賣花之通啟
page 8	紀念抗戰二週年賑聯會今日　給賣花昨已發出通　勸各僑團踴躍購銷肉行決七七停屠實行素食運動
