page 1	日本外交之彷徨
page 7	海盜騎劫貨艇一榜人幸脫險
page 7	英國飛船試航將由越南來港
page 7	法大使昨抵港
page 7	孔聖堂兒童保康院各部組織與實施計劃教養兒童體育衛生並重聘請義務醫師隨時指導
page 8	發生地點
page 8	突來七賊
page 8	可疑女童
page 8	警探出動
page 8	損失統計
page 8	女飛行家壯舉環球飛行下月過港
page 8	紅磡和豐雜貨店劫殺案昨開審司數員梁洪驗得係窒息殞命一賊到警署自首引捕各被告
page 8	糾黨行劫
page 8	犯謀殺罪
page 8	夥伴六人
page 8	夾萬存款
page 8	梁鳳離職
page 8	教聯會昨會議決定慶祝兒童節儀式
page 8	駐港葡領更調
page 8	違法運銀出口半　充公四被告受儆戒
page 8	美髮工會將成立
page 8	港僑救護團第五隊將出發
page 8	賑聯會今會議港府撥十萬元　輕工業
page 8	旺角上海街七強盜白日械劫金舖入門先嗚鎗兩響示威然後搜劫擊破飾櫃掠去金飾值銀千餘元
page 11	昨晚公開籃球賽港大苦戰敗於南華乙組廣中勝太古南華壓倒青支
page 11	昨
page 11	次
page 11	昨日成績
page 11	昨日網球繼續舉行今有三場
page 11	歡迎星洲足球界的同僑
page 11	星華足球隊乘波音機抵港比原定日期早到四天
