page 1	日要求我減稅共防走私
page 3	英下院否決反對黨抨擊外交政策議案反對黨抨擊政府秘密外交擴充軍備艾登答辯擴充軍備為維持國際和平
page 4	德權鼎小型足球賽昨在陶園酒家開代表大會報名參加共廿六隊分兩組比賽各項獎品在先施公司再為陳列
page 4	昨晚男子籃球南華一勝一敗南隊戰勝英華華隊敗於印警乙組鑰智鐘聲勝仗
page 4	英京銀價略報漲
page 4	南華徵求將結束
page 4	華仁書院今日開運動會
page 4	港外匯市情仍滯
page 4	八九金市價回跌
page 4	省西紙價昨狂跌港方銀行大量沽出
page 4	滬外匯市情平穩
page 4	省法幣一再趨升
page 4	舊中紙桂幣仍起
page 4	為促進智育而南遊周德裕抵星洲棋會總理及記者多人往歡迎廿五晚起業在南天舉行比賽
page 5	各方米石源源運到廣州米價仍未大跌調節會請速取締米商居奇
page 5	兩粵更改幣制訊
page 5	省銀行函促商會清理商庫券
page 5	焚車案之死難家屬呈請鐵部償卹究辦焚車案與沉渡案應一視同仁撥國幣廿萬元為死難者卹金建立公墓以表哀思而慰群情
page 5	潮汕之救濟米荒設調節會與限令儲糧洋米半稅之日期問題
page 5	反對征收濬河費昨訊
page 5	謝作民陳請推廣港澳華僑教育
page 5	軍當局鞏固地方治安防範歹徒混跡市面昨召憲警等機關會商嚴密防範辦法議定管理公共處所辦法由警局執行
page 6	禁煙監督處請暫停執行憑照吸煙售吸所仍須照認額銷膏督緝主任董仲鼎對記者談
page 6	南菲華僑代表晉京請願之結果外部表示以解除華僑為主要以促進中菲商務為次要訓令駐南非總領辦理
page 6	官商合辦銀行續訊資本額定一千萬元黃陳分頭聯絡之成績
page 6	市商會審查各行分認營稅續誌進行尚覺順利
page 6	粵市體育訓練生昨日大檢閱情形
page 6	提倡國貨會徵國貨曲譜製片
page 6	柴油按稅案粵海關追補按金報關公會具函駁復
page 6	冬防撤銷後河南警隊復訓練
page 6	粵海關監督署所屬之粵海九龍拱北
page 6	禁賭委員會
page 6	駐紮韶關之第四路軍教導旅旅長維梓材
page 6	養鴿專家古柏年
page 6	廣東省會警察局長李潔芝
page 6	短期小學過額各校請添派教員
page 6	解決娛樂捐案近訊社會局調處後官方已允減至抽百分之五商方祇願繳百分之三俟北上請願代表南返後乃可解決財局張科長之談話
page 7	余漢謀七日抵港華商繼會八日開會歡迎
page 7	華人代表發起歡宴
page 7	華商　會籌　歡迎
page 7	關係方面電告行期
page 7	余氏電港懇　簡便
page 7	英當局增厚遠東防衛力港星增調滅魚雷艦隊以備必需赴星參戰艦隊昨七艘駛返本港
page 7	七艘艦隊駛返港
page 7	增調滅魚雷艦隊
page 7	海軍宿將之談話
page 7	廣九鐵路增開快車中英已同意須向英京增購機車始能實行將來開行時間約在上午七時
page 7	參加橋校教職員講學會暹區代表團已首途歸國團員十一人下週可抵港本港僑教會將開會歡迎
page 7	民航機遇霧停航
page 7	英艦九艘昨抵港
page 7	保心安油復加舊價另送保心安膏壹月
page 7	殺人焚屍案疑兇趙旭輝今晨提堂死者名張玉清不是雲花
page 7	大失威化原意
page 7	大威建輪昨擱淺
page 7	輪船出入口統計
page 7	防毒展覽會參觀記有消毒所防毒室被轟炸村落情景逼真置身其中宛在戰地
page 8	集團婚登記辦法
page 8	黎乙真昨日出殯執紼者數百人
page 8	港　行公所主席楊永庥綏遠視察記三包　廠軍機場耗資五百萬金平地泉民團約十萬軍容甚盛
page 8	傳
page 8	歸
page 8	主
page 8	宋
page 8	黃
page 8	彼
page 8	繼
page 8	趙
page 8	大
page 8	又破獲紅丸機關
page 8	鬥毆傷人案押候
page 8	熊希齡昨在港大及青年會演講盼大學畢業生應從事普及教育歷來被誘為娼之婦女多係文盲
page 8	聽講　眾
page 8	兩被控行使偽幣
page 8	五男女意外受傷
page 8	三點貢獻
page 8	基本教育
page 8	兩種願望
page 8	一種感想
page 8	韓氏致謝
page 8	販賣婦孺
page 8	杜鵑無　正黃昏香港賽花會閉幕過沅熙氏對該會之批評並談廣州園林建設計劃
page 10	出席委員
page 10	開會理由
page 10	討論結果
page 10	英造幣廠鑄英皇加冕紀念章
page 10	英警官告老歸國
page 10	港砲兵定期演習
page 10	洋紙業日有起色
page 10	誤殺親女案過堂
page 10	偽幣案詳臬定讞
page 10	電話公司年會紀
page 10	衛生醫官時症週報
page 10	九龍居民會開年會
page 10	建場籌委今晨出發勸捐盧榮傑顏鏡海等昨各捐千元
page 11	南海大洲警隊與潘拱匪黨激戰
page 11	汕旅業會請船公司減低星檳客票價
page 11	五區專署通令改裝木炭車
page 11	莫師長之訓練部屬
page 11	談保安經費經理處
page 11	高要肅清金利墟賭徒記
page 11	疏濬玉帶河之進行
page 11	賭徒擊斃隊長餘聞
page 11	竊匪挾恨槍傷鄉人
page 11	穀米價格近復高漲
page 11	警隊擊走私船劇戰
page 11	煙民登記折衷辦法
page 11	新運工作進行不懈
page 11	豬頭山河面兩渡相撞之虛驚
page 11	烏珠沙海邊謀殺案
page 11	匪徒深夜截劫魚艇
page 11	槍決痳瘋人十二人
page 11	　府計劃改良監獄
page 11	省行禪辦事處兩種貸款蠶絲貸款該處有代辦可能是
page 14	塞外之春
page 14	綏遠
page 14	戰鬥要點
page 14	中國郵票史略
page 14	津市美術館主辦世界郵票展覽收到展品一百餘組
page 14	熱血奔流
page 14	世界各國郵票
page 14	舊郵票之價值
page 14	西北近影十二闖過六盤山
page 14	綏新交通即恢復大批汽車準備開新疆綏東前線已恢復常態惟國軍準備未嘗稍懈
page 15	平民軍事家
page 15	濟等問題矣神秘之人物
page 15	危機在西方
page 15	蘇聯紅軍四騎士
