page 1	礦務發展與華僑投資
page 8	躉船私載火油案押候今日上午再審
page 8	魚販打架被斫傷
page 8	擅搜民居案初審原告力證被告會危詞恐嚇
page 8	各水塘存水統計
page 8	搜紅丸拘一少婦
page 8	學界參觀城門水塘
page 8	民忠輪搭客投海
page 8	露宿救濟會週年大會紀主席報告一年來之會務
page 10	牛池灣墳場開用阿文田骨殖限期他遷
page 10	千兩私煙案判決被告入獄兼重罰
page 10	定期公宴羅旭和
page 10	初級法庭案彙誌私甑燒酒
page 10	乘霸王車
page 10	身　偽幣
page 10	追悼魯迅會結束
page 10	美法艦隊之行蹤
page 10	拳師慶祝白鶴仙師
page 10	台師中大兩攷察團昨抵港
page 11	李漢魂派員到汕開各界談話會商軍民合作事宜
page 11	來往廣州四邑統一輪渡觸礁沉沒搭客幸皆獲救
page 11	更換選舉區監督
page 11	警隊叛變傷斃員兵
page 11	中山第三區警隊起擄及擒匪之詳情
page 11	縣府取締庸醫女覡
page 11	獅山械鬥可望平息
page 11	江門商會派員赴京
page 11	石灣陶工定期罷工
page 11	九江後備隊長被扣
page 11	防空展覽會籌備開幕防空處發表告民眾書二防空應有之認識
page 14	淩氏談話
page 14	亟謀改善
page 14	何成濬報告刺楊案真相大白一俟偵訊終結當即公布
page 14	旅客聯運
page 14	設班訓練
page 14	滬日紗廠未接納工人條件工人赴滬市府請願社會局派員調查謀商解決辦法
page 14	市社會局派員特訪船津晤談
page 14	滬各日商紗廠舉行大班會議
page 14	各廠工頭會議堅持五項條件
page 14	市總工會討論商討援助辦法
page 14	大康暫告停車東華解決復工
page 14	淩鴻勛在漢談粵漢路改善黃埔支線六個月內可完成工廣九是否接軌尚在考慮中
page 15	統制中的德國新聞事業三
page 15	海洋通訊社
page 15	四川謠諑已消散劉顧晤面後談洽圓滿財政軍費均商得辦法
page 15	紗廠區域以內戒備頗為嚴密
page 15	小通訊的趨勢
page 15	女工受傷一人男工一人失蹤
