page 1	日內閣改組的意義
page 5	僑委會優待回國僑胞以努力救運者為限
page 5	粵糧管局公佈湘米配銷價格
page 5	寶安日軍準備撤退廣九路我軍進迫布吉沙頭角日軍前日又擾鹽田附日軍三百餘昨開抵深圳
page 5	我軍迫近布吉日軍
page 5	日軍數十又擾鹽田
page 5	附日軍三百抵深圳
page 5	韶郊大火
page 5	台開推行儲蓄運動成立勸儲委員會
page 5	新軍人社發動獻機定名新軍人號
page 5	韶關積極辦理善後中振會資助市民疏散通融貸款手續撫卹災民空襲救濟處發給撫卹金
page 5	振濟會之救濟辦法
page 5	積極加強防護力量
page 5	死傷人數姓名詳查
page 5	湘北大捷一週年紀念聲中日軍返兵再圖粵湘之疑雲粵漢路沿線我大軍已嚴陣以待軍事家推測日不放棄南進政策
page 6	中山日軍紛調廣州
page 6	江會各線現仍沉寂
page 6	伍觀淇談禺北游擊戰硬　已不下二百多次日掃蕩不了誘騙亦不成
page 6	一八七次省務會議通過舶來物產專稅章程改善征收查驗方法明年元旦開始施行
page 6	韶勸儲會發動元旦送禮認儲茶會長官發起邀請各界參加
page 6	日炸龍川老隆
page 6	韶關籌設物品供銷處擬定資金百萬即計劃開辦
page 6	台城三埠金融近況設法推行舊中中及交農券僑匯激增社會經濟轉活動
page 6	東增日軍槍殺附日鄉長
page 6	容良日軍突增　　畸形發達
page 6	中山日艦犯大小赤坎不逞鬥門安謐謠言雖多人心甚鎮定日傅我冬季反攻紛紛調兵廣州
page 7	街童慶祝耶誕耶教　聯會將領導舉行
page 7	遠東英屬土經濟會議注重以物質助英抗戰現　度與澳洲出力最多更羅斯勉本港人士努力
page 7	女學生文協會招待徵求委員
page 7	防空隊昨大操代督岳桐蒞場檢閱並勸各界踴躍參加
page 7	學生賑濟會元旦開同樂會非會員學生亦可參加
page 7	港府暫停執行節省陽光法例輔政司昨正式公布
page 7	中華貨倉血案再押候一星期
page 7	海面三個禁區不准船艇駛進
page 7	大批果菜到港
page 7	港泰購米談判大致成功泰國米石將大量運港緬當局亦源源運來接濟本港米價短期內可平復
page 8	領移民證須防棍騙移民局長警告市民
page 8	本港開埠百年紀念郵票尚未運抵本港
page 8	北菲洲的勝利大道
page 8	港府增發五仙輔幣利便 歲晚商人交收禁錢銀店加水兌換
page 8	海盜截劫漁船船主中彈幸獲拯救夥伴六人生死未卜
page 8	兒童劇場公演今晚七時在青年會
page 8	各區保衛團下月底可出勤
page 8	華人賑災會昨日賣花成績
page 8	港韶貨運銳減因日機　頻轟炸
page 8	九月份本港稅收統計較去年同月增九十萬
page 8	合法之種痘師
page 8	韓地西氏退休
page 8	港府增訂付郵條例寄包裹必須填寫報關單
page 8	元朗大開埔征戰時產業特稅
page 8	聯安公會各銀號決星期日休業由今日起實行
page 8	砲兵明日演習
page 8	民間畫會畫展今晚十時閉幕
page 8	明年航務考試日期已訂定
page 8	堂皇富麗之四屆國展會今午開幕攤位二百餘個目不暇給港滬名廠出品應有盡有
page 10	今日足球義賽好戲連台上演兩幕均由華聯對西聯頭場二時半尾場四時正
page 10	聯賽東方勝米杜息其他三場均成和局
page 10	東米之戰
page 10	其他三場
page 10	昨日總賬
page 10	港澳埠際乒乓賽港隊獲得冠軍
page 10	公開女子排賽南華再逢星島
page 10	學界籃球戰績
