page 1	一年來之中日關係
page 8	破獲紅丸機關捕獲疑犯一人
page 8	兩個女性服毒
page 8	兇徒深夜劫奪警槍印警摩堪勿甸被毆重傷
page 8	少婦接贓被罰
page 8	富豪熱心
page 8	南洋僑胞購債成績遠勝香港萬隆僅五十人購債六萬餘海外募債專員趙昱之　鴻
page 8	　屬南洋
page 8	寡婦捐產
page 8	華工赴星益難三等船票竟售至二百七十元下月客額減少仍有續漲趨勢
page 10	滬輪船免入禁海
page 10	薛史美上校退休
page 10	遠東各埠之時症
page 10	梅樂和獲德勳章
page 10	駐華英艦停泊地點各艦長官略有遷調
page 10	旅滬粵人南返又一批今日到港
page 10	港督夫人檢閱女護士隊
page 10	全國國語教育會調查留港會員
page 10	兩賊夜劫小販
page 10	戰地攝影展覽將再在華商會所舉行
page 11	陷落半月的平遙晉南前線視察記之三
