page 1	希特拉考慮德國復辟問題
page 6	省營糖石經理昨日補行就職情形在市頭總石舉行劉維熾派呂秘書監誓遍請軍政長官觀禮當地農民搭牌樓歡迎定今日開農民大會司徒錫就職後之重要布告三
page 6	航商推代表北上請願請求撤銷輪渡電船年季餉推定謝仲箎趙藝夫等北上
page 6	禁煙總檢舉辦法下月施行
page 6	進貨蓋嘜緩行港貨進口復舊觀
page 6	警察局取銷竊匪捺印辦法
page 6	經已解決之油市屈蛇案因催欠款官商發生糾紛行政署令市府查具覆
page 6	鐵道部專員陳登高
page 6	中大法科經濟主任黃元彬
page 6	范其務決令一區所屬
page 6	國立北平大學藝術院教授單次剛
page 6	經建總會
page 6	革命老黨員歐陽昭伍蕃關玉成等二十餘人
page 6	省府主席黃慕松
page 7	國大初選開票期已公佈並宣佈解決九龍選藉問題辦法
page 7	輔政司否認英擬在西沙島闢航空站因我國向不准外機在境內降落且港星相距匪遙不須添配燃料
page 7	督署前交通新例
page 7	深水　塘尾村發生大火焚大小屋宇十餘間
page 7	各社團電蔣祝嘏
page 7	焦易堂昨日抵澳
page 7	英軍操演高射炮
page 7	施救困難
page 7	損失調查
page 7	澳門兩黨部合併
page 7	碧士庇等之遊蹤
page 7	廣州警察攷察團昨日參觀總警署
page 7	抵港酎酣酢
page 7	參觀總部
page 7	分赴各區
page 7	省港走私問題未可忽視上水為私梟根據地走私隊數百人夜間分批進發日貨鹽糖運粵鎢砂煙酒運港
page 7	天一快船恢復航期
page 7	團員任務
page 7	省輪又醞釀競爭
page 7	機關組織
page 7	晚間活動
page 7	走私辦法
page 7	私貨種類
page 7	港華商出品運內地不准另訂優待稅率財政部已批復華商會謂世界各國均無此例
page 7	抵港 酢
page 7	善後辦法
page 7	醬料商會否認參加投票
page 8	蔣法賢醫師演講優生與節育之關係在個人社　案立場言節育均有提倡之必要
page 8	象棋賽會成績
page 8	下月二日結束
page 8	僑工獲獻一機
page 8	文藝界追悼魯迅下月十一日在青年會開會
page 8	中灣發現裸女屍
page 8	七姊妹昨發生小火
page 8	堅特艦離港返英
page 8	廣州古玉展覽會訊
page 8	僑工購機會獨購一機目的已達京購機祝　會允撥款補助港僑獻機會下月二日結束
page 10	紳商界籌備迎黃
page 10	領付貨證書新例
page 10	初級法庭案彙誌
page 10	陳福善畫展會消息
page 10	佛學會贈醫施藥訊
page 10	小帆船遇風沉沒
page 10	香港旅行會九龍會所昨開幕
page 11	新會縣府派隊捕獲劫匪與轟斃警察案有關
page 11	中山縣長餽犬
page 11	請撥款修厚福患圍
page 11	農民祈雨天不如願
page 11	縣府準備遷回舊署
page 11	縣府開辦冬耕布告
page 11	湯坑紅白旗之械鬥
page 11	市頭蔗農大會詳情
page 11	天旱後又繼以虫患
page 11	被擄人之計脫匪巢
page 11	擊走私艇斃四匪徒
page 11	佛山米店被劫詳情
page 11	鄉渡中途被匪截擊
page 11	封存各煙室之器具
page 11	台山城中和路火警焚店一間
page 11	汕市禁煙會決定一日起舉行煙民登記
page 11	中山翠亨鄉人擬建選烈紀念亭請孫科撥款興築
page 11	台山縣府頒佈紅丸人犯自首辦法
page 14	伊盟防務仍吃緊沙王由綏返旗召開冬防會議行前對綏蒙會全體職員訓話
page 14	駐華北日軍大操演之程序日軍擴充後之首次舉行北平天津能州為演習地操演後在平西閱兵宿營
page 14	敦槃影語一中日外交之側面談
page 14	韓復　由京返濟暢談與蔣會見經過對　事前途甚樂觀
page 14	沙王訓話
page 14	共同努力
page 15	名譽顧問
page 15	抵吉隆坡
page 15	新定行程
page 15	檳城展覽
page 15	附英屬馬來亞限制外貨情形
page 15	南洋商業攷察團由星抵暹京廿四日離暹過檳城棉蘭返星下月七日由星乘法郵船回國
page 15	答謝僑胞
page 15	車抵怡保
