page 1	美國與遠東
page 5	泊石岐河面日艦前夜突駛到睦洲發砲轟擊我加緊策動民眾增加防守力量江會各線我日接觸戰事漸劇烈
page 6	花縣我軍克兩龍
page 6	從化以北仍激戰
page 6	李卓元師之戰績
page 6	粵北日軍潰敗後收集殘餘組衝鋒隊廣州日軍警備部執行夜間戒嚴條例
page 6	趙其休抵港詳談計克睦洲古井之經過所有偽軍一網成擒獲日艦艇多艘趙氏昨向四邑商會報告籌募補充
page 6	苦肉計成
page 6	擔任發動
page 6	直撲那伏
page 6	請纓反攻
page 6	偽軍總帥
page 6	完全克復
page 6	日淺水艦
page 6	粵慰勞團出發良口續詳袁晴暉代李主席致詞僑胞梁運聰馬前獻金
page 6	物輕情重
page 6	偽中山縣長途中遇剌倖免
page 6	以示崇敬
page 6	日偽截劫太平沙貨艇槍斃貨主五人
page 6	捕獲日偽官兵解抵粵北
page 6	南僑慰勞團抵梅赴韶
page 6	迎日軍入南寧漢奸經已被捕南寧組偽義勇軍
page 6	花懸我軍克兩龍墟進攻龍口平山石角日軍增援被截從化我越茅圍攻街口石坑狗母嶺
page 7	實行增加戰鬥人員
page 7	德僑離境辦法變更
page 7	住聯會贈醫所已成立十九間
page 7	伍伯就組中國合唱團月內將舉行音樂大會
page 7	徵求傷兵之友運動學界已匯出三萬餘元其餘限十日以前匯渝
page 7	連日大雨後各水塘皆滿溢昨晨得雨水將達三寸本年內可無制水之虞
page 7	偷渡美歌女寶娜昨已赴菲
page 7	捐金購債彙誌
page 7	衙前圍道破獲女賭場婦女十一人一網成擒
page 7	海關截獲鑽戒二十五枚價值五萬元
page 7	駐港荷領組難民救濟會
page 7	琴齋書舍同人書法展覽昨日起在金陵酒家舉行
page 7	士丹頓街槍彈橫飛一看更人受傷
page 7	本港服役人員百二十人編入戰鬥組站立原有崗位保衛本港英僑請纓回國仍被拒絕
page 8	藏手鎗案詳臬
page 8	孕婦所需之食品
page 8	旺角喪居失火損失千餘元未傷人誦經尼姑倉皇走避
page 8	國際攝影展覽我國攝影家卅餘人獲獎
page 8	現代畫展定廿七日開幕
page 8	三千餘元偽幣案詳臬四被告昨在初級法庭自辯
page 8	剌繡展覽會定十五日開幕
page 8	游藝換物會今日正式開幕敦請馬鳳岐女士主禮
page 8	聯營公司請四行貸款完成西南國貨推銷網計劃在審核中將可實現
page 8	雨水沖斷小橋阻礙元朗青山交通
page 8	七姊妹海旁女游泳家蹈海被粥艇伴救起
page 8	賃車訟案判決香港大酒店得直
page 8	防空當局指定港九各區防空分站五千救護員亦已給予制服徽章九龍倉公司物業增加防空設備
page 10	今夕公開籃球賽甲組廣大逢培英乙組康元抗青乙勵行戰晨鐘
page 10	高級學籃戰績鑰智克英華
page 10	東方南征隊在星旗開得勝四比一挫軍聯
page 10	今日棒球聯賽南華對工程
page 10	域多利泳會舉辦港菲游泳對抗菲選手定十月上旬來港
