page 1	納粹之新攻勢
page 6	我軍猛烈炮擊潮城
page 6	建廳計劃增加土產輸出
page 6	台開兩縣發證限制壯丁出口
page 6	各界慰勞官褘部各將士
page 6	部派李家瀚抵粵視察社教
page 6	財部令禁行使日偽幣及軍票
page 6	禁止銅元輸出嚴防私運資日
page 6	湘桂米市價回跌台山分區舉辦平糶米額分配每人以斤半為極準
page 7	葡僑亦將覓地疏散
page 7	士蔑西報提出問題
page 7	欲回自由區者注意
page 7	港府未命美僑撤退
page 7	英籍老人舉行登記
page 7	兩機客位預售一空
page 7	擠提風潮已漸平息
page 7	七七僑胞素食一天紀念花已發出十六萬朵
page 7	時局動盪當中義演大會昨晚揭幕為中國國際和平醫院籌善款今晚壓軸戲伶星票友大集中
page 7	深圳北有劇戰久雨路壞日陷困境鯊魚涌貨運頗擠擁
page 7	三賊截劫農人捕獲疑犯兩名
page 7	梅蘭芳赴菲
page 7	中大服務團大批藥品被炸
page 7	東華義莊代葬欠租棺柩本月九日前仍可領回
page 7	第二批英婦孺昨撤退五十五歲以上英男子亦將登記美總領事謂港府未命美僑撤退深圳農村福利會主辦華人登記
page 8	美國郵船上歸僑踴躍捐款賑難片刻間募得萬餘元昨匯交蔣夫人支配
page 8	中山濟難會再撥鉅款振災二十萬元分配九區三委員定今日赴澳
page 8	分配九區賑款數目
page 8	三委員定今晨往澳
page 8	勸銷節建儲券首期成績定八日結算總數約達十餘萬元
page 8	失業失學員生三批審查完竣合格者共二十五人候發旅費赴韶報到
page 8	美大使尚在渝
page 8	老婦跳樓自殺
page 8	誤殺菜販案昨開審菜販買菜無端被指作賊菜欄夥伴一拳竟害一命
page 8	輪船相撞案忌廉公司得直
page 8	圖劫疑犯詳臬
page 8	二萬元鉅竊案竊犯入獄四月
page 8	拐匪判處徒刑
page 8	婦人報失鑽戒拘可疑女子一人
page 8	港大入學試昨日揭曉及格男生百卅一人女生六十人英文優異者頗多漢文僅得四名
page 10	今日棒球聯賽香港再逢水兵上次戰事爆出冷門今回岷隊定可雪恥
page 10	公開籃球賽今夕培英對抗星島鐘聲逢青甲勵行遇紅鷹宵來警察保羅精武奏凱
page 10	四川工業巡禮
page 10	中華游泳會今夕舉行水藝
page 10	記者體育動態籃球隊今日戰佳聯會游泳團明日開始訓練
page 10	白蘿仙杯明日舉行決賽
page 10	體協會挽留函發出後退出團體仍未有表示
