page 1	我國應取之外交態度
page 7	木刻展覽會今為最後一天
page 7	東華義學招生攪珠以定去取預算增收學生千名
page 7	本港英婦孺疏散後各商行營業大受影響英人呈請停止疏散港府至今仍未批覆
page 7	電鍍工會成立
page 7	基督教學生廿八屆夏令會改十七至廿四日舉行
page 7	婦人販賣女童被判罰五十元
page 7	帆船一艘遇風沉沒搭客五十餘人被溺斃多屬由港疏散入內地之婦孺兩人飄流數小時幸遇救返澳
page 7	工人慘遭滅頂
page 7	珍廬書法展覽
page 7	港區統考試卷初步審閱完竣
page 8	大埔塌屋慘劇續誌七死者未掘出附近山石尚搖搖欲墜獲救備發傷勢極危重
page 8	輔助消防隊配備救火機械並在尖沙嘴設消防局
page 8	廣九鐵路五號隧道修復今日可望照常通車
page 8	各區保衛團將成立將由警察當局負責指揮
page 8	新界農業會請求增撥荒地墾殖俾將來增加農品生產以廳港九兩地之需求
page 8	七旬老叟作新郎不讓熊鳳凰專美
page 8	深圳日工事全被沖毀日機接濟糧食誤落我陣地沙頭角日軍昨增二百餘人
page 8	景光街劫案疑犯二次提堂
page 8	紫羅蘭將赴美任中國小姐主角
page 8	戰稅局催促填報店員薪額
page 8	長沙灣義學定廿三日開課司容學生三百餘名
page 8	兩人報告失竊
page 8	合義慈善社昨補行開幕禮請港紳葉蘭泉剪綵
page 8	主席致詞
page 8	葉氏演詞
page 8	騙的技巧
page 8	義軍加緊訓練在　園　設營房
page 8	道上拾獲三尸
page 8	中賑會撥給各省賑款粵桂各佔一百萬元賑務視察員孫亞夫返渝復命對粵贛施賑之努力大加獎許
page 10	棒球義賽昨日不果舉行因美艦隊臨時缺席聯賽港啤大勝南華
page 10	學籃亞軍決戰今日南華對光華
page 10	華人游泳會宵來檢討成績並舉行同人聯歡大會
page 10	昨日夏令籃球賽高級仿林勇克鮀青被級之戰洪流輕取知行
page 10	公開乙組籃球冠軍決賽後晚舉行補賽兩場同時角逐
