page 1	英王遊美之收穫
page 5	廣州市南我團炸毀Ｘ運輸車
page 5	韓江潦水暴漲續誌大埔城全市已成澤國交通梗阻
page 5	容桂各淪陷區民眾參加抗Ｘ武裝陣線一區二別動隊增編至九團
page 5	韶關民生路前夜大火Ｘ機昨四襲粵北
page 5	新會各鄉風睹極熾縣府嚴令查禁
page 5	省振濟會收支近況各縣市均已受振
page 5	請增撥免稅米救濟中山
page 5	南山青抗會籌款勞軍法國教士慷慨輸將
page 5	中山嚴防奸宄檢查各鄉槍照
page 5	粵北之戰利品展覽會
page 5	梅縣城東四女投河自殺
page 5	潮海Ｘ艦又漸減少Ｘ知我有備未敢進犯防緝Ｘ貨與整理民團改進防空從民眾著手
page 6	Ｘ以艦艇四出滋擾
page 6	Ｘ圖迂回進犯不逞
page 6	Ｘ艦炮擊中山大黃圃燬雁企沙東地農屋農民死傷者約五人沿岸團隊歃盟抗Ｘ
page 6	匪徒自稱禁煙稽查藉緝私截劫被獲三名壯丁捕匪發生激戰深圳警察協助捕匪
page 6	新會各鄉準備抗戰
page 6	江會一帶土匪披猖
page 6	中山沿邊昨告安謐
page 6	Ｘ調鮮軍增防廣三九江
page 6	張發奎等發表告瓊崖民眾書勉以全力保衛鄉土
page 6	中山各界團體聯請撤銷張惠長被劾案
page 6	Ｘ犯馬寧被殲
page 6	軍政部擬定推行苗民兵役辦法
page 6	省防空處頒佈防空注意事項令各縣佈告民眾遵守
page 6	一個民族鬥士彭福廷
page 6	省禁煙會派員分區巡視禁政東江煙苗勒令剷除
page 6	省府選派大員繼續視察縣政
page 6	瓊島我軍入定安城殲Ｘ
page 6	Ｘ圖迂迴進逼睦洲不逞再犯禮樂被我團隊擊退江會戰事沉寂土匪披猖
page 7	安居十年突遭迫遷
page 7	分　政要予以援助
page 7	婦女四聯會服務團再出發
page 7	美慈善賣物會已開幕巴黎賣物會改在英舉行
page 7	開會理由
page 7	保育會第二次游藝賣物會今日開幕假山頂何曉生住宅舉行汽車公司多派專車來往
page 7	紅十字會救護隊將赴粵北服務
page 7	熱烈捐輸
page 7	徵募物品
page 7	昨晚暴風大作海陸微有損失
page 7	拔萃中學校長函學生長解釋謂彼對於中國人士毒害極欽佩所指侮辱中國言語係屬誤解
page 7	梅樂和昨抵港
page 7	印商人突失蹤遺書謂往自殺
page 7	九龍城蒲崗村業主迫遷收回屋地三百餘居民將無家可歸昨聯請華民司設法救濟
page 8	諾貝爾賈乃錫昨赴星參加英法駐遠東將領會議
page 8	中央貨倉落成後將附設驗貨處檢驗運銷英屬之貨物
page 8	動員的精神高廷梓博士演講
page 8	香港仔突來空襲警報原來係警隊機黐線附近居民飽吃虛驚
page 8	　救濟力量緊急救難會擴大組織增設兩委員會分別處理賑務與滬粵漢紅十字會切實合作
page 10	女籃義賽壓軸戰今晚兩場西南對華雄中華抗知行
page 10	冠雲小型球隊今日出師征澳
page 10	南華會友排球賽今午三時開始有四場戰事
page 10	華人游泳會今夕舉行水藝大會並有音樂大家演奏名曲助興
page 10	友誼球賽彙誌
page 10	排籃球
page 10	南華南征足球隊四比三僅勝星中隊
page 10	中華泳場定期舉行首次水藝今日歡讌徵求得力人員
page 10	籃球聯會今日召開會議討論　風隊上訴事件
page 10	小型球
page 10	元朗伯裘杯賽訊
page 10	今日棒球聯賽中華重逢香港下午二時半會師
